  
       XFOIL         Version 6.96
  
 Calculated polar for: S3025 9.38%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.1267   0.03433   0.02971  -0.0850   0.9462   0.0831
  -4.000  -0.0607   0.02868   0.02375  -0.0892   0.9325   0.0996
  -3.500   0.0154   0.01806   0.01094  -0.0879   0.9184   0.0331
  -3.000   0.0799   0.01484   0.00747  -0.0886   0.9024   0.0344
  -2.500   0.1360   0.01323   0.00575  -0.0879   0.8804   0.0418
  -2.000   0.1881   0.01096   0.00444  -0.0871   0.8598   0.3027
  -1.500   0.2427   0.00901   0.00443  -0.0850   0.8396   0.9296
  -1.000   0.3330   0.00893   0.00387  -0.0918   0.8193   1.0000
  -0.500   0.3818   0.00909   0.00368  -0.0901   0.7970   1.0000
   0.000   0.4307   0.00929   0.00358  -0.0884   0.7745   1.0000
   0.500   0.4806   0.00952   0.00355  -0.0869   0.7534   1.0000
   1.000   0.5307   0.00975   0.00358  -0.0855   0.7314   1.0000
   1.500   0.5819   0.01000   0.00364  -0.0842   0.7107   1.0000
   2.000   0.6324   0.01025   0.00378  -0.0829   0.6883   1.0000
   2.500   0.6841   0.01052   0.00392  -0.0818   0.6673   1.0000
   3.000   0.7347   0.01078   0.00414  -0.0806   0.6437   1.0000
   3.500   0.7857   0.01106   0.00438  -0.0794   0.6198   1.0000
   4.000   0.8364   0.01134   0.00459  -0.0782   0.5940   1.0000
   4.500   0.8861   0.01164   0.00489  -0.0768   0.5651   1.0000
   5.000   0.9349   0.01197   0.00525  -0.0753   0.5328   1.0000
   5.500   0.9827   0.01238   0.00567  -0.0736   0.4966   1.0000
   6.000   1.0290   0.01289   0.00616  -0.0718   0.4553   1.0000
   6.500   1.0733   0.01356   0.00680  -0.0697   0.4100   1.0000
   7.000   1.1151   0.01441   0.00758  -0.0673   0.3594   1.0000
   7.500   1.1519   0.01553   0.00851  -0.0643   0.2961   1.0000
   8.000   1.1882   0.01679   0.00966  -0.0615   0.2424   1.0000
   8.500   1.2218   0.01823   0.01100  -0.0584   0.1918   1.0000
   9.000   1.2508   0.01994   0.01254  -0.0548   0.1372   1.0000
  10.000   1.2630   0.02611   0.01814  -0.0418   0.0368   1.0000
  10.500   1.2656   0.02951   0.02178  -0.0360   0.0317   1.0000
  11.000   1.2707   0.03315   0.02561  -0.0318   0.0286   1.0000
  11.500   1.2688   0.03808   0.03066  -0.0282   0.0262   1.0000
  12.000   1.2821   0.04213   0.03500  -0.0257   0.0248   1.0000
  12.500   1.2972   0.04660   0.03975  -0.0233   0.0238   1.0000
  13.000   1.3110   0.05167   0.04519  -0.0213   0.0229   1.0000
  13.500   1.3165   0.05778   0.05173  -0.0199   0.0225   1.0000
  14.000   1.3110   0.06471   0.05904  -0.0198   0.0216   1.0000
  14.500   1.3002   0.07261   0.06727  -0.0207   0.0209   1.0000
  15.000   1.2768   0.08273   0.07784  -0.0234   0.0208   1.0000
  15.500   1.2430   0.09535   0.09095  -0.0289   0.0210   1.0000
  16.000   1.1988   0.11168   0.10780  -0.0381   0.0215   1.0000
  16.500   1.1198   0.13967   0.13637  -0.0569   0.0233   1.0000
  17.000   1.0525   0.17054   0.16737  -0.0761   0.0260   1.0000
  18.000   0.8058   0.20538   0.20261  -0.0833   0.0539   1.0000
