  
       XFOIL         Version 6.96
  
 Calculated polar for: S4158                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1278   0.02978   0.02333  -0.0980   0.8880   0.0382
  -4.500  -0.0923   0.02693   0.01993  -0.0948   0.8792   0.0378
  -4.000  -0.0433   0.02350   0.01596  -0.0931   0.8737   0.0375
  -3.500  -0.0021   0.02120   0.01350  -0.0905   0.8648   0.0402
  -3.000   0.0447   0.02036   0.01258  -0.0886   0.8572   0.0491
  -2.500   0.0892   0.01875   0.01123  -0.0863   0.8491   0.1118
  -2.000   0.1212   0.01739   0.01128  -0.0829   0.8386   0.4459
  -1.500   0.1909   0.01599   0.01127  -0.0835   0.8344   0.8976
  -1.000   0.3458   0.01561   0.01053  -0.1027   0.8340   1.0000
  -0.500   0.3813   0.01593   0.01064  -0.0993   0.8217   1.0000
   0.000   0.4216   0.01615   0.01069  -0.0963   0.8102   1.0000
   0.500   0.4732   0.01586   0.01022  -0.0944   0.8039   1.0000
   1.000   0.5162   0.01605   0.01032  -0.0919   0.7913   1.0000
   1.500   0.5610   0.01617   0.01038  -0.0897   0.7792   1.0000
   2.500   0.6647   0.01551   0.00964  -0.0864   0.7611   1.0000
   3.000   0.7144   0.01523   0.00938  -0.0846   0.7482   1.0000
   3.500   0.7673   0.01450   0.00867  -0.0829   0.7344   1.0000
   4.000   0.8216   0.01367   0.00788  -0.0813   0.7195   1.0000
   4.500   0.8734   0.01312   0.00740  -0.0797   0.7009   1.0000
   5.000   0.9259   0.01259   0.00697  -0.0782   0.6786   1.0000
   5.500   0.9781   0.01224   0.00663  -0.0767   0.6492   1.0000
   6.000   1.0259   0.01223   0.00656  -0.0746   0.6022   1.0000
   6.500   1.0681   0.01271   0.00686  -0.0718   0.5415   1.0000
   7.000   1.1032   0.01364   0.00754  -0.0682   0.4722   1.0000
   7.500   1.1298   0.01493   0.00854  -0.0635   0.3991   1.0000
   8.000   1.1459   0.01654   0.00985  -0.0576   0.3225   1.0000
   8.500   1.1508   0.01852   0.01147  -0.0504   0.2509   1.0000
   9.000   1.1583   0.02097   0.01357  -0.0446   0.1833   1.0000
   9.500   1.1648   0.02392   0.01612  -0.0394   0.1216   1.0000
  10.000   1.1748   0.02694   0.01900  -0.0348   0.0883   1.0000
  10.500   1.1874   0.02997   0.02199  -0.0309   0.0716   1.0000
  11.000   1.2025   0.03303   0.02513  -0.0274   0.0602   1.0000
  11.500   1.2196   0.03619   0.02840  -0.0243   0.0513   1.0000
  12.000   1.2387   0.03964   0.03196  -0.0215   0.0443   1.0000
  12.500   1.2577   0.04291   0.03540  -0.0191   0.0385   1.0000
  13.000   1.2812   0.04708   0.03986  -0.0167   0.0340   1.0000
  13.500   1.2932   0.05120   0.04427  -0.0146   0.0305   1.0000
  14.500   1.2987   0.06415   0.05808  -0.0109   0.0268   1.0000
  15.000   1.2785   0.07217   0.06664  -0.0102   0.0260   1.0000
  15.500   1.2504   0.08183   0.07681  -0.0115   0.0253   1.0000
  16.000   1.2149   0.09389   0.08934  -0.0154   0.0249   1.0000
  16.500   1.1719   0.10890   0.10480  -0.0226   0.0250   1.0000
  17.000   1.1176   0.12870   0.12501  -0.0343   0.0261   1.0000
  17.500   1.0611   0.15242   0.14892  -0.0490   0.0275   1.0000
