  
       XFOIL         Version 6.96
  
 Calculated polar for: S7055 (10.5%) Flat-Bottomed                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1264   0.01776   0.01339  -0.0872   0.9130   0.0921
  -4.500  -0.0897   0.00792   0.00155  -0.0828   0.8995   0.0444
  -4.000  -0.0427   0.00566  -0.00136  -0.0806   0.8854   0.0495
  -3.500   0.0056   0.00448  -0.00279  -0.0788   0.8710   0.0621
  -3.000   0.0533   0.00372  -0.00359  -0.0772   0.8561   0.0804
  -2.500   0.1011   0.00315  -0.00421  -0.0754   0.8407   0.0987
  -2.000   0.1477   0.00257  -0.00459  -0.0736   0.8249   0.1579
  -1.500   0.1790   0.00166  -0.00344  -0.0690   0.8096   0.7133
  -1.000   0.2976   0.00144  -0.00352  -0.0794   0.7972   0.9847
  -0.500   0.3686   0.00139  -0.00388  -0.0828   0.7792   1.0000
   0.000   0.4130   0.00143  -0.00408  -0.0806   0.7609   1.0000
   0.500   0.4591   0.00149  -0.00426  -0.0787   0.7434   1.0000
   1.000   0.5049   0.00157  -0.00433  -0.0768   0.7226   1.0000
   1.500   0.5525   0.00165  -0.00443  -0.0751   0.7029   1.0000
   2.000   0.5998   0.00175  -0.00444  -0.0735   0.6813   1.0000
   2.500   0.6479   0.00186  -0.00447  -0.0719   0.6602   1.0000
   3.000   0.6954   0.00198  -0.00440  -0.0704   0.6373   1.0000
   3.500   0.7437   0.00213  -0.00436  -0.0689   0.6144   1.0000
   4.000   0.7914   0.00228  -0.00425  -0.0674   0.5894   1.0000
   4.500   0.8387   0.00246  -0.00409  -0.0659   0.5635   1.0000
   5.000   0.8857   0.00266  -0.00387  -0.0644   0.5368   1.0000
   5.500   0.9318   0.00290  -0.00364  -0.0628   0.5085   1.0000
   6.000   0.9769   0.00317  -0.00334  -0.0610   0.4786   1.0000
   6.500   1.0207   0.00351  -0.00302  -0.0591   0.4474   1.0000
   7.000   1.0619   0.00387  -0.00257  -0.0568   0.4122   1.0000
   7.500   1.1005   0.00434  -0.00210  -0.0542   0.3762   1.0000
   8.000   1.1353   0.00488  -0.00152  -0.0511   0.3360   1.0000
   9.000   1.1863   0.00645   0.00005  -0.0425   0.2453   1.0000
   9.500   1.1942   0.00760   0.00109  -0.0360   0.1969   1.0000
  10.000   1.1961   0.00928   0.00261  -0.0298   0.1453   1.0000
  10.500   1.1937   0.01183   0.00503  -0.0244   0.0991   1.0000
  11.000   1.1830   0.01582   0.00885  -0.0194   0.0571   1.0000
  11.500   1.1542   0.02272   0.01568  -0.0146   0.0297   1.0000
  12.000   1.1315   0.03063   0.02378  -0.0118   0.0240   1.0000
  12.500   1.1174   0.03877   0.03221  -0.0103   0.0211   1.0000
  13.000   1.1042   0.04761   0.04128  -0.0096   0.0190   1.0000
  13.500   1.0908   0.05693   0.05079  -0.0095   0.0177   1.0000
  14.000   1.0860   0.06532   0.05933  -0.0080   0.0166   1.0000
  14.500   1.0841   0.07317   0.06753  -0.0081   0.0162   1.0000
  15.000   1.0738   0.08201   0.07678  -0.0093   0.0158   1.0000
  15.500   1.0525   0.09186   0.08705  -0.0122   0.0156   1.0000
  16.000   1.0166   0.10219   0.09782  -0.0170   0.0155   1.0000
  16.500   0.9788   0.11333   0.10938  -0.0235   0.0157   1.0000
  17.000   0.9382   0.12627   0.12270  -0.0319   0.0161   1.0000
  17.500   0.8947   0.14123   0.13796  -0.0420   0.0165   1.0000
  18.000   0.7791   0.18157   0.17867  -0.0650   0.0218   1.0000
