  
       XFOIL         Version 6.96
  
 Calculated polar for: S8025 (8%)                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5258   0.01391   0.00631  -0.0038   1.0000   0.0619
  -4.500  -0.4757   0.01255   0.00521  -0.0029   1.0000   0.1390
  -4.000  -0.4257   0.01136   0.00435  -0.0019   1.0000   0.2168
  -3.500  -0.3759   0.01029   0.00366  -0.0009   1.0000   0.3181
  -3.000  -0.3269   0.00938   0.00320   0.0005   1.0000   0.4397
  -2.500  -0.2795   0.00862   0.00294   0.0026   1.0000   0.5739
  -2.000  -0.2334   0.00803   0.00279   0.0052   1.0000   0.6912
  -1.500  -0.1899   0.00758   0.00272   0.0088   1.0000   0.7991
  -1.000  -0.1350   0.00735   0.00277   0.0105   1.0000   0.9168
  -0.500  -0.0237   0.00738   0.00275  -0.0005   1.0000   0.9928
   0.000   0.0766   0.00736   0.00263  -0.0100   0.9247   1.0000
   0.500   0.1364   0.00762   0.00242  -0.0096   0.7786   1.0000
   1.000   0.1794   0.00808   0.00237  -0.0064   0.6811   1.0000
   1.500   0.2258   0.00854   0.00241  -0.0041   0.5970   1.0000
   2.000   0.2744   0.00902   0.00252  -0.0023   0.5218   1.0000
   2.500   0.3244   0.00952   0.00274  -0.0010   0.4562   1.0000
   3.000   0.3753   0.01006   0.00303   0.0002   0.3980   1.0000
   3.500   0.4267   0.01063   0.00343   0.0011   0.3442   1.0000
   4.000   0.4783   0.01127   0.00387   0.0020   0.2951   1.0000
   4.500   0.5301   0.01196   0.00447   0.0028   0.2509   1.0000
   5.000   0.5818   0.01275   0.00515   0.0036   0.2102   1.0000
   5.500   0.6333   0.01360   0.00600   0.0044   0.1722   1.0000
   6.000   0.6842   0.01463   0.00699   0.0052   0.1370   1.0000
   6.500   0.7345   0.01582   0.00822   0.0060   0.1070   1.0000
   7.000   0.7832   0.01747   0.00992   0.0070   0.0839   1.0000
   7.500   0.8312   0.01927   0.01184   0.0081   0.0665   1.0000
   8.000   0.8774   0.02189   0.01472   0.0095   0.0563   1.0000
   8.500   0.9208   0.02529   0.01841   0.0109   0.0490   1.0000
   9.000   0.9640   0.02769   0.02113   0.0121   0.0415   1.0000
   9.500   0.9989   0.03167   0.02579   0.0135   0.0346   1.0000
  10.000   1.0234   0.03671   0.03126   0.0149   0.0290   1.0000
  10.500   1.0291   0.04347   0.03891   0.0166   0.0261   1.0000
  11.000   1.0042   0.05129   0.04732   0.0175   0.0253   1.0000
  11.500   0.9522   0.06489   0.06136   0.0071   0.0266   1.0000
  12.000   0.8937   0.08590   0.08258  -0.0097   0.0287   1.0000
  12.500   0.7815   0.12757   0.12410  -0.0312   0.0395   1.0000
  13.000   0.6203   0.14662   0.14338  -0.0380   0.0658   1.0000
  13.500   0.6347   0.15410   0.15091  -0.0383   0.0621   1.0000
  14.000   0.6136   0.15980   0.15660  -0.0455   0.0567   1.0000
  14.500   0.6438   0.16757   0.16445  -0.0437   0.0506   1.0000
  15.000   0.6297   0.17339   0.17024  -0.0507   0.0496   1.0000
  15.500   0.6293   0.17966   0.17654  -0.0557   0.0443   1.0000
  16.000   0.8072   0.20417   0.20052  -0.0685   0.0383   1.0000
  16.500   0.8188   0.21196   0.20829  -0.0739   0.0340   1.0000
  17.000   0.8361   0.21877   0.21511  -0.0769   0.0314   1.0000
  17.500   0.8610   0.23014   0.22653  -0.0769   0.0297   1.0000
  18.000   0.8687   0.23611   0.23246  -0.0836   0.0293   1.0000
