  
       XFOIL         Version 6.96
  
 Calculated polar for: S9033 (7.5%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5521   0.01395   0.00605  -0.0041   1.0000   0.1115
  -4.500  -0.5027   0.01277   0.00502  -0.0029   1.0000   0.1471
  -4.000  -0.4533   0.01171   0.00417  -0.0017   1.0000   0.2004
  -3.500  -0.4042   0.01075   0.00352  -0.0004   1.0000   0.2715
  -3.000  -0.3557   0.00990   0.00307   0.0011   1.0000   0.3665
  -2.500  -0.3084   0.00910   0.00275   0.0029   1.0000   0.4824
  -2.000  -0.2633   0.00835   0.00260   0.0055   1.0000   0.6154
  -1.500  -0.2203   0.00772   0.00252   0.0090   1.0000   0.7480
  -1.000  -0.1664   0.00739   0.00265   0.0112   1.0000   0.9018
  -0.500  -0.0475   0.00748   0.00271  -0.0011   1.0000   0.9941
   0.000   0.0000   0.00741   0.00260   0.0000   1.0000   1.0000
   0.500   0.0476   0.00748   0.00271   0.0011   0.9941   1.0000
   1.000   0.1663   0.00739   0.00265  -0.0112   0.9021   1.0000
   1.500   0.2203   0.00772   0.00252  -0.0090   0.7481   1.0000
   2.000   0.2633   0.00835   0.00260  -0.0055   0.6154   1.0000
   3.000   0.3556   0.00990   0.00307  -0.0011   0.3665   1.0000
   3.500   0.4041   0.01075   0.00351   0.0004   0.2715   1.0000
   4.000   0.4533   0.01171   0.00417   0.0017   0.2004   1.0000
   4.500   0.5027   0.01277   0.00502   0.0029   0.1471   1.0000
   5.000   0.5521   0.01395   0.00605   0.0041   0.1115   1.0000
   5.500   0.6012   0.01531   0.00738   0.0054   0.0857   1.0000
   6.000   0.6506   0.01673   0.00886   0.0067   0.0652   1.0000
   6.500   0.6986   0.01907   0.01139   0.0083   0.0545   1.0000
   7.000   0.7445   0.02277   0.01532   0.0098   0.0486   1.0000
   7.500   0.7909   0.02559   0.01872   0.0115   0.0443   1.0000
   8.000   0.8312   0.03020   0.02400   0.0133   0.0419   1.0000
   8.500   0.8645   0.03549   0.02994   0.0149   0.0398   1.0000
   9.500   0.6448   0.07858   0.07528  -0.0053   0.0582   1.0000
  10.000   0.6163   0.09693   0.09359  -0.0126   0.0761   1.0000
  10.500   0.6263   0.10690   0.10358  -0.0123   0.0739   1.0000
  11.000   0.5881   0.11988   0.11646  -0.0237   0.0705   1.0000
  11.500   0.5951   0.12693   0.12355  -0.0257   0.0641   1.0000
  12.000   0.6190   0.13551   0.13216  -0.0237   0.0612   1.0000
  12.500   0.6004   0.14429   0.14092  -0.0315   0.0603   1.0000
  13.000   0.5900   0.15085   0.14748  -0.0372   0.0549   1.0000
  13.500   0.6238   0.15935   0.15603  -0.0344   0.0490   1.0000
  14.000   0.6159   0.16508   0.16178  -0.0394   0.0487   1.0000
  14.500   0.5991   0.16879   0.16549  -0.0465   0.0459   1.0000
  15.000   0.6073   0.17447   0.17120  -0.0496   0.0407   1.0000
  15.500   0.6356   0.18486   0.18163  -0.0486   0.0376   1.0000
  16.000   0.6319   0.18962   0.18639  -0.0539   0.0372   1.0000
  17.000   0.6389   0.20047   0.19728  -0.0633   0.0316   1.0000
  17.500   0.6528   0.20652   0.20335  -0.0655   0.0290   1.0000
  18.000   0.6705   0.21692   0.21377  -0.0669   0.0278   1.0000
