  
       XFOIL         Version 6.96
  
 Calculated polar for: SIKORSKY SC1094R8 AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4416   0.05237   0.04806  -0.0333   1.0000   0.0654
  -4.500  -0.4144   0.04710   0.04292  -0.0312   1.0000   0.0678
  -4.000  -0.3896   0.04253   0.03771  -0.0285   1.0000   0.0771
  -3.500  -0.3638   0.03808   0.03344  -0.0254   1.0000   0.0812
  -3.000  -0.3347   0.03420   0.02916  -0.0222   1.0000   0.0923
  -2.500  -0.3000   0.03128   0.02589  -0.0196   0.9998   0.1060
  -2.000  -0.2160   0.02667   0.02114  -0.0256   0.9891   0.1256
  -1.500  -0.1202   0.01787   0.01046  -0.0260   0.9822   0.0533
  -1.000  -0.0314   0.01535   0.00780  -0.0307   0.9723   0.0560
  -0.500   0.0507   0.01372   0.00631  -0.0341   0.9513   0.0657
   0.000   0.1123   0.01236   0.00511  -0.0330   0.9163   0.0844
   0.500   0.1397   0.00891   0.00456  -0.0253   0.8780   0.8415
   1.000   0.2340   0.00878   0.00425  -0.0279   0.8244   1.0000
   1.500   0.2772   0.00875   0.00380  -0.0238   0.7494   1.0000
   2.000   0.3221   0.00902   0.00348  -0.0203   0.6411   1.0000
   2.500   0.3672   0.00969   0.00339  -0.0173   0.5133   1.0000
   3.000   0.4143   0.01048   0.00353  -0.0151   0.4091   1.0000
   3.500   0.4634   0.01130   0.00381  -0.0133   0.3275   1.0000
   4.000   0.5136   0.01216   0.00421  -0.0118   0.2596   1.0000
   4.500   0.5648   0.01304   0.00473  -0.0104   0.2177   1.0000
   5.000   0.6165   0.01394   0.00541  -0.0090   0.1920   1.0000
   5.500   0.6682   0.01489   0.00618  -0.0076   0.1743   1.0000
   6.000   0.7200   0.01598   0.00715  -0.0063   0.1621   1.0000
   6.500   0.7714   0.01730   0.00829  -0.0050   0.1522   1.0000
   7.000   0.8240   0.01820   0.00928  -0.0037   0.1441   1.0000
   7.500   0.8753   0.01991   0.01086  -0.0025   0.1377   1.0000
   8.000   0.9271   0.02110   0.01226  -0.0011   0.1330   1.0000
   8.500   0.9782   0.02248   0.01373   0.0002   0.1282   1.0000
   9.000   1.0279   0.02489   0.01612   0.0013   0.1236   1.0000
   9.500   1.0761   0.02662   0.01821   0.0029   0.1209   1.0000
  10.000   1.1223   0.02887   0.02081   0.0045   0.1180   1.0000
  10.500   1.1667   0.03126   0.02347   0.0062   0.1152   1.0000
  11.000   1.2100   0.03364   0.02602   0.0078   0.1124   1.0000
  11.500   1.2442   0.03868   0.03138   0.0094   0.1102   1.0000
  12.000   1.2668   0.04289   0.03626   0.0123   0.1089   1.0000
  12.500   1.2705   0.04904   0.04314   0.0156   0.1075   1.0000
  13.000   1.2361   0.05755   0.05236   0.0192   0.1063   1.0000
  13.500   1.0274   0.09235   0.08790  -0.0004   0.1095   1.0000
  14.500   0.8731   0.15405   0.14971  -0.0380   0.1248   1.0000
  15.000   0.8418   0.16656   0.16222  -0.0494   0.1166   1.0000
  15.500   0.8641   0.17179   0.16748  -0.0496   0.1126   1.0000
  16.000   0.9080   0.17681   0.17259  -0.0445   0.1106   1.0000
  16.500   0.8740   0.18766   0.18343  -0.0588   0.1019   1.0000
  17.000   0.9058   0.19242   0.18825  -0.0569   0.0988   1.0000
  17.500   0.8955   0.20259   0.19842  -0.0666   0.0932   1.0000
  18.000   0.9157   0.20784   0.20372  -0.0681   0.0882   1.0000
