  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA SC(2)-0610 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3622   0.01532   0.00741  -0.0548   1.0000   0.1089
  -4.500  -0.2903   0.01378   0.00628  -0.0598   1.0000   0.1733
  -4.000  -0.2062   0.01195   0.00653  -0.0675   1.0000   0.6307
  -3.500  -0.1635   0.01286   0.00743  -0.0639   1.0000   0.6775
  -3.000  -0.1210   0.01376   0.00828  -0.0604   1.0000   0.7058
  -2.500  -0.0843   0.01466   0.00921  -0.0556   1.0000   0.7246
  -2.000  -0.0560   0.01576   0.01038  -0.0486   1.0000   0.7456
  -1.500  -0.0228   0.01658   0.01125  -0.0432   1.0000   0.7661
  -1.000   0.0168   0.01714   0.01185  -0.0398   1.0000   0.7839
  -0.500   0.0636   0.01746   0.01222  -0.0386   0.9993   0.7947
   0.000   0.1631   0.01755   0.01233  -0.0479   0.9854   0.8039
   0.500   0.2675   0.01684   0.01174  -0.0567   0.9609   0.8093
   1.000   0.3791   0.01536   0.01041  -0.0662   0.9325   0.8141
   1.500   0.4748   0.01386   0.00908  -0.0724   0.8980   0.8185
   2.000   0.5411   0.01289   0.00797  -0.0716   0.7610   0.8229
   2.500   0.5669   0.01628   0.00848  -0.0657   0.2037   0.8286
   3.000   0.6188   0.01796   0.00955  -0.0658   0.1150   0.8340
   3.500   0.6667   0.01906   0.01060  -0.0643   0.0926   0.8387
   4.000   0.7209   0.02035   0.01188  -0.0643   0.0768   0.8438
   4.500   0.7772   0.02203   0.01356  -0.0647   0.0647   0.8493
   5.000   0.8278   0.02408   0.01569  -0.0637   0.0565   0.8544
   5.500   0.8834   0.02598   0.01773  -0.0639   0.0501   0.8599
   6.000   0.9376   0.02992   0.02213  -0.0637   0.0470   0.8647
   6.500   0.9827   0.03365   0.02657  -0.0615   0.0443   0.8701
   7.000   1.0229   0.03909   0.03277  -0.0593   0.0430   0.8765
   7.500   1.0364   0.04951   0.04434  -0.0538   0.0461   0.8815
   8.500   1.0084   0.08466   0.08101  -0.0464   0.0701   0.8913
   9.000   0.9520   0.09175   0.08870  -0.0423   0.0695   0.8973
   9.500   0.7326   0.10476   0.10205  -0.0428   0.0725   0.8915
  10.000   0.7667   0.10809   0.10534  -0.0336   0.0702   0.8972
  10.500   0.7070   0.12594   0.12322  -0.0481   0.0698   0.8984
  11.000   0.6662   0.13766   0.13491  -0.0583   0.0654   0.9002
  11.500   0.6606   0.14373   0.14100  -0.0604   0.0622   0.9040
  12.000   0.6789   0.14763   0.14494  -0.0583   0.0594   0.9098
  12.500   0.6751   0.15540   0.15272  -0.0597   0.0582   0.9147
  13.000   0.6448   0.16121   0.15852  -0.0674   0.0553   0.9172
  13.500   0.6465   0.16666   0.16400  -0.0700   0.0521   0.9224
  14.000   0.6562   0.17170   0.16908  -0.0710   0.0499   0.9292
  14.500   0.6849   0.18013   0.17754  -0.0690   0.0483   0.9389
  15.000   0.6659   0.18430   0.18172  -0.0751   0.0478   0.9446
  15.500   0.6594   0.18888   0.18634  -0.0795   0.0442   0.9543
  16.000   0.6675   0.19348   0.19098  -0.0815   0.0417   1.0000
  16.500   0.6916   0.20098   0.19851  -0.0826   0.0402   1.0000
  17.000   0.6944   0.20803   0.20556  -0.0869   0.0397   1.0000
  17.500   0.6913   0.21315   0.21069  -0.0928   0.0375   1.0000
  18.000   0.7008   0.21943   0.21699  -0.0963   0.0353   1.0000
