  
       XFOIL         Version 6.96
  
 Calculated polar for: SIKORSKY SC2110 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3966   0.02597   0.02150  -0.0283   0.9823   0.0638
  -4.500  -0.3746   0.03576   0.03030  -0.0270   0.9847   0.0753
  -4.000  -0.3181   0.03138   0.02570  -0.0293   0.9779   0.0911
  -3.000  -0.1710   0.02078   0.01335  -0.0310   0.9666   0.0455
  -2.500  -0.0770   0.01756   0.00982  -0.0368   0.9558   0.0436
  -2.000  -0.0050   0.01591   0.00819  -0.0391   0.9412   0.0505
  -1.500   0.0503   0.01470   0.00705  -0.0381   0.9247   0.0640
  -1.000   0.0761   0.01145   0.00668  -0.0308   0.9065   0.8053
  -0.500   0.0957   0.01175   0.00710  -0.0184   0.8857   0.9266
   0.000   0.2074   0.01165   0.00679  -0.0250   0.8710   0.9864
   0.500   0.2762   0.01094   0.00593  -0.0266   0.8479   0.9988
   1.000   0.3177   0.01029   0.00517  -0.0233   0.8172   1.0000
   1.500   0.3582   0.00973   0.00448  -0.0198   0.7715   1.0000
   2.000   0.3980   0.00939   0.00370  -0.0156   0.6514   1.0000
   2.500   0.4410   0.01102   0.00374  -0.0139   0.3818   1.0000
   3.000   0.4865   0.01195   0.00417  -0.0128   0.3184   1.0000
   3.500   0.5326   0.01271   0.00463  -0.0116   0.2822   1.0000
   4.000   0.5819   0.01343   0.00516  -0.0109   0.2549   1.0000
   4.500   0.6331   0.01425   0.00578  -0.0105   0.2333   1.0000
   5.000   0.6855   0.01509   0.00649  -0.0104   0.2148   1.0000
   5.500   0.7383   0.01598   0.00731  -0.0103   0.1993   1.0000
   6.000   0.7911   0.01694   0.00821  -0.0102   0.1853   1.0000
   6.500   0.8442   0.01782   0.00912  -0.0101   0.1734   1.0000
   7.000   0.8967   0.01887   0.01027  -0.0100   0.1622   1.0000
   7.500   0.9487   0.02021   0.01165  -0.0099   0.1533   1.0000
   8.000   1.0003   0.02130   0.01280  -0.0098   0.1442   1.0000
   8.500   1.0507   0.02288   0.01461  -0.0095   0.1364   1.0000
   9.000   1.1009   0.02434   0.01608  -0.0093   0.1292   1.0000
   9.500   1.1481   0.02617   0.01830  -0.0087   0.1223   1.0000
  10.000   1.1958   0.02777   0.02001  -0.0083   0.1162   1.0000
  10.500   1.2379   0.03028   0.02293  -0.0073   0.1104   1.0000
  11.000   1.2795   0.03223   0.02518  -0.0063   0.1050   1.0000
  11.500   1.3167   0.03526   0.02847  -0.0052   0.1001   1.0000
  12.000   1.3438   0.03833   0.03212  -0.0029   0.0954   1.0000
  12.500   1.3801   0.03991   0.03375  -0.0016   0.0906   1.0000
  13.000   1.3863   0.04420   0.03861   0.0020   0.0866   1.0000
  13.500   1.3871   0.04689   0.04167   0.0061   0.0823   1.0000
  14.000   1.4122   0.04840   0.04308   0.0078   0.0774   1.0000
  14.500   1.3808   0.05458   0.04987   0.0104   0.0750   1.0000
  15.000   1.3460   0.06309   0.05885   0.0092   0.0726   1.0000
  16.000   1.3256   0.07757   0.07363   0.0029   0.0666   1.0000
  17.000   0.8973   0.20801   0.20425  -0.0761   0.0856   1.0000
  17.500   0.9185   0.21334   0.20967  -0.0779   0.0794   1.0000
  18.000   0.9234   0.22277   0.21911  -0.0850   0.0733   1.0000
