  
       XFOIL         Version 6.96
  
 Calculated polar for: SD7037-092-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3339   0.04358   0.03978  -0.0536   0.9866   0.0713
  -4.500  -0.2604   0.03606   0.03126  -0.0630   0.9758   0.0924
  -4.000  -0.1919   0.03005   0.02503  -0.0677   0.9661   0.1010
  -3.500  -0.1057   0.01795   0.01061  -0.0689   0.9612   0.0352
  -3.000  -0.0324   0.01614   0.00865  -0.0719   0.9501   0.0404
  -2.500   0.0445   0.01401   0.00664  -0.0759   0.9401   0.0751
  -2.000   0.1206   0.01161   0.00600  -0.0808   0.9308   0.4984
  -1.500   0.1749   0.01046   0.00585  -0.0785   0.9162   0.8122
  -1.000   0.2757   0.00983   0.00521  -0.0857   0.9057   1.0000
  -0.500   0.3341   0.00950   0.00462  -0.0855   0.8862   1.0000
   0.000   0.3848   0.00929   0.00419  -0.0836   0.8608   1.0000
   0.500   0.4370   0.00910   0.00381  -0.0820   0.8336   1.0000
   1.000   0.4894   0.00900   0.00352  -0.0804   0.8022   1.0000
   1.500   0.5423   0.00901   0.00332  -0.0790   0.7671   1.0000
   2.000   0.5943   0.00918   0.00328  -0.0776   0.7266   1.0000
   2.500   0.6460   0.00947   0.00336  -0.0762   0.6842   1.0000
   3.000   0.6972   0.00984   0.00354  -0.0749   0.6402   1.0000
   3.500   0.7478   0.01029   0.00379  -0.0736   0.5950   1.0000
   4.000   0.7979   0.01079   0.00414  -0.0722   0.5489   1.0000
   4.500   0.8472   0.01137   0.00456  -0.0709   0.5018   1.0000
   5.000   0.8956   0.01203   0.00507  -0.0694   0.4539   1.0000
   5.500   0.9431   0.01277   0.00567  -0.0679   0.4056   1.0000
   6.000   0.9898   0.01358   0.00640  -0.0664   0.3570   1.0000
   6.500   1.0352   0.01452   0.00722  -0.0648   0.3101   1.0000
   7.000   1.0792   0.01557   0.00818  -0.0630   0.2650   1.0000
   7.500   1.1221   0.01672   0.00927  -0.0611   0.2239   1.0000
   8.000   1.1628   0.01801   0.01049  -0.0591   0.1860   1.0000
   8.500   1.2019   0.01932   0.01175  -0.0569   0.1476   1.0000
   9.000   1.2396   0.02074   0.01321  -0.0546   0.1138   1.0000
   9.500   1.2723   0.02249   0.01491  -0.0517   0.0822   1.0000
  10.000   1.2909   0.02525   0.01756  -0.0470   0.0446   1.0000
  10.500   1.2944   0.02868   0.02105  -0.0404   0.0323   1.0000
  11.000   1.2990   0.03234   0.02494  -0.0350   0.0286   1.0000
  11.500   1.3070   0.03602   0.02880  -0.0311   0.0257   1.0000
  12.000   1.3113   0.04086   0.03382  -0.0277   0.0236   1.0000
  12.500   1.3213   0.04551   0.03883  -0.0252   0.0225   1.0000
  13.000   1.3273   0.05097   0.04466  -0.0233   0.0216   1.0000
  13.500   1.3257   0.05748   0.05157  -0.0223   0.0211   1.0000
  14.000   1.3144   0.06545   0.06000  -0.0227   0.0208   1.0000
  14.500   1.2924   0.07539   0.07041  -0.0253   0.0208   1.0000
  15.000   1.2588   0.08806   0.08358  -0.0309   0.0209   1.0000
  15.500   1.2153   0.10431   0.10032  -0.0402   0.0213   1.0000
  16.000   1.1630   0.12504   0.12149  -0.0538   0.0219   1.0000
  16.500   1.0975   0.15304   0.14982  -0.0726   0.0230   1.0000
