  
       XFOIL         Version 6.96
  
 Calculated polar for: SD7084 (9.6%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.3666   0.02438   0.01756  -0.0329   0.9865   0.0434
  -4.000  -0.2951   0.02029   0.01284  -0.0358   0.9780   0.0429
  -3.500  -0.2185   0.01706   0.00942  -0.0400   0.9703   0.0474
  -3.000  -0.1458   0.01564   0.00788  -0.0431   0.9586   0.0556
  -2.500  -0.0784   0.01319   0.00624  -0.0459   0.9462   0.2122
  -2.000  -0.0199   0.01116   0.00610  -0.0465   0.9329   0.6779
  -1.500   0.0872   0.01054   0.00600  -0.0542   0.9295   0.9316
  -1.000   0.2237   0.01030   0.00548  -0.0695   0.9252   0.9899
  -0.500   0.3016   0.00977   0.00476  -0.0736   0.9051   1.0000
   0.000   0.3442   0.00939   0.00422  -0.0703   0.8766   1.0000
   0.500   0.3866   0.00910   0.00378  -0.0668   0.8458   1.0000
   1.000   0.4303   0.00894   0.00346  -0.0636   0.8092   1.0000
   1.500   0.4762   0.00889   0.00321  -0.0608   0.7674   1.0000
   2.000   0.5228   0.00901   0.00310  -0.0583   0.7200   1.0000
   2.500   0.5692   0.00931   0.00315  -0.0559   0.6684   1.0000
   3.000   0.6152   0.00973   0.00332  -0.0536   0.6152   1.0000
   3.500   0.6608   0.01024   0.00358  -0.0513   0.5616   1.0000
   4.000   0.7063   0.01082   0.00397  -0.0492   0.5083   1.0000
   4.500   0.7518   0.01147   0.00442  -0.0471   0.4581   1.0000
   5.000   0.7973   0.01218   0.00500  -0.0452   0.4119   1.0000
   5.500   0.8429   0.01294   0.00564  -0.0434   0.3708   1.0000
   6.000   0.8882   0.01378   0.00639  -0.0416   0.3349   1.0000
   6.500   0.9338   0.01459   0.00722  -0.0399   0.3011   1.0000
   7.000   0.9785   0.01546   0.00810  -0.0381   0.2696   1.0000
   7.500   1.0216   0.01637   0.00906  -0.0361   0.2382   1.0000
   8.000   1.0630   0.01717   0.00995  -0.0340   0.2005   1.0000
   8.500   1.1019   0.01814   0.01085  -0.0317   0.1508   1.0000
   9.000   1.1340   0.01995   0.01244  -0.0286   0.0817   1.0000
   9.500   1.1395   0.02407   0.01620  -0.0218   0.0279   1.0000
  10.000   1.1402   0.02743   0.01973  -0.0145   0.0230   1.0000
  10.500   1.1491   0.03061   0.02316  -0.0090   0.0210   1.0000
  11.000   1.1600   0.03426   0.02707  -0.0046   0.0197   1.0000
  11.500   1.1717   0.03835   0.03141  -0.0011   0.0184   1.0000
  12.000   1.1800   0.04285   0.03615   0.0017   0.0171   1.0000
  12.500   1.1770   0.05027   0.04397   0.0041   0.0160   1.0000
  13.000   1.1664   0.05703   0.05119   0.0052   0.0159   1.0000
  13.500   1.1462   0.06563   0.06024   0.0043   0.0159   1.0000
  14.000   1.1189   0.07615   0.07118   0.0010   0.0161   1.0000
  14.500   1.0897   0.08763   0.08306  -0.0049   0.0161   1.0000
  15.000   1.0636   0.10001   0.09577  -0.0125   0.0163   1.0000
  15.500   1.0324   0.11534   0.11144  -0.0228   0.0166   1.0000
  16.000   0.9087   0.16328   0.15982  -0.0521   0.0215   1.0000
  16.500   0.7122   0.17304   0.16996  -0.0547   0.0302   1.0000
  17.000   0.8824   0.20501   0.20139  -0.0707   0.0448   1.0000
  18.000   0.7168   0.20238   0.19937  -0.0673   0.0428   1.0000
