  
       XFOIL         Version 6.96
  
 Calculated polar for: SG6051                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1575   0.01906   0.01132  -0.0934   0.9293   0.0729
  -4.500  -0.1036   0.01765   0.00972  -0.0930   0.9183   0.0815
  -4.000  -0.0488   0.01659   0.00860  -0.0929   0.9087   0.0942
  -3.500   0.0055   0.01543   0.00754  -0.0928   0.8996   0.1205
  -3.000   0.0543   0.01359   0.00697  -0.0926   0.8885   0.4228
  -2.500   0.1062   0.01308   0.00687  -0.0918   0.8787   0.5608
  -2.000   0.1555   0.01252   0.00681  -0.0899   0.8696   0.7105
  -1.500   0.1998   0.01228   0.00705  -0.0857   0.8584   0.9173
  -1.000   0.2975   0.01226   0.00681  -0.0942   0.8519   1.0000
  -0.500   0.3448   0.01233   0.00667  -0.0929   0.8403   1.0000
   0.000   0.3945   0.01251   0.00669  -0.0920   0.8282   1.0000
   0.500   0.4465   0.01269   0.00674  -0.0914   0.8171   1.0000
   1.000   0.5004   0.01275   0.00668  -0.0909   0.8077   1.0000
   1.500   0.5542   0.01290   0.00678  -0.0906   0.7956   1.0000
   2.000   0.6082   0.01305   0.00690  -0.0904   0.7827   1.0000
   2.500   0.6628   0.01313   0.00698  -0.0900   0.7693   1.0000
   3.000   0.7177   0.01313   0.00700  -0.0897   0.7551   1.0000
   3.500   0.7729   0.01308   0.00696  -0.0893   0.7395   1.0000
   4.000   0.8283   0.01296   0.00688  -0.0888   0.7223   1.0000
   4.500   0.8827   0.01291   0.00690  -0.0882   0.7016   1.0000
   5.000   0.9371   0.01279   0.00683  -0.0874   0.6772   1.0000
   5.500   0.9896   0.01274   0.00687  -0.0864   0.6452   1.0000
   6.000   1.0403   0.01284   0.00701  -0.0851   0.6035   1.0000
   6.500   1.0864   0.01323   0.00733  -0.0830   0.5374   1.0000
   7.000   1.1243   0.01429   0.00803  -0.0798   0.4379   1.0000
   7.500   1.1471   0.01639   0.00948  -0.0746   0.3093   1.0000
   8.000   1.1597   0.01909   0.01150  -0.0683   0.1886   1.0000
   8.500   1.1634   0.02202   0.01392  -0.0607   0.1123   1.0000
   9.000   1.1721   0.02496   0.01673  -0.0544   0.0803   1.0000
   9.500   1.1876   0.02777   0.01956  -0.0498   0.0639   1.0000
  10.000   1.2045   0.03072   0.02259  -0.0457   0.0529   1.0000
  10.500   1.2217   0.03396   0.02596  -0.0418   0.0445   1.0000
  11.000   1.2418   0.03756   0.02961  -0.0382   0.0379   1.0000
  11.500   1.2637   0.04064   0.03288  -0.0353   0.0326   1.0000
  12.000   1.2941   0.04494   0.03746  -0.0325   0.0292   1.0000
  12.500   1.3143   0.04940   0.04239  -0.0294   0.0270   1.0000
  13.000   1.3245   0.05384   0.04709  -0.0267   0.0249   1.0000
  13.500   1.3261   0.06189   0.05557  -0.0237   0.0235   1.0000
  14.000   1.3030   0.06938   0.06364  -0.0208   0.0233   1.0000
  14.500   1.2713   0.07860   0.07340  -0.0196   0.0232   1.0000
  15.000   1.2329   0.08956   0.08486  -0.0207   0.0232   1.0000
  15.500   1.1911   0.10258   0.09830  -0.0247   0.0234   1.0000
  17.500   0.7071   0.18355   0.18044  -0.0495   0.0598   1.0000
  18.000   0.6837   0.19207   0.18892  -0.0570   0.0547   1.0000
