  
       XFOIL         Version 6.96
  
 Calculated polar for: SM701                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1347   0.02066   0.01305  -0.1005   0.8821   0.0556
  -4.500  -0.0847   0.01937   0.01176  -0.1003   0.8727   0.0646
  -4.000  -0.0088   0.01543   0.00950  -0.1077   0.8699   0.3921
  -3.500   0.0405   0.01567   0.01012  -0.1062   0.8593   0.5702
  -3.000   0.1127   0.01606   0.01051  -0.1076   0.8548   0.6261
  -2.500   0.1627   0.01671   0.01113  -0.1053   0.8443   0.6572
  -2.000   0.2322   0.01691   0.01130  -0.1058   0.8383   0.6839
  -1.500   0.2832   0.01716   0.01149  -0.1038   0.8263   0.7039
  -1.000   0.3580   0.01657   0.01076  -0.1068   0.8183   0.7115
  -0.500   0.4197   0.01623   0.01028  -0.1081   0.8059   0.7199
   0.000   0.4766   0.01598   0.00996  -0.1082   0.7926   0.7267
   0.500   0.5367   0.01572   0.00962  -0.1089   0.7792   0.7338
   1.000   0.5994   0.01539   0.00919  -0.1103   0.7650   0.7414
   1.500   0.6567   0.01514   0.00891  -0.1102   0.7492   0.7481
   2.000   0.7147   0.01489   0.00859  -0.1107   0.7311   0.7571
   2.500   0.7673   0.01465   0.00836  -0.1096   0.7111   0.7641
   3.000   0.8247   0.01440   0.00803  -0.1097   0.6892   0.7739
   3.500   0.8686   0.01425   0.00794  -0.1071   0.6613   0.7827
   4.000   0.9151   0.01412   0.00778  -0.1051   0.6275   0.7928
   4.500   0.9562   0.01416   0.00772  -0.1021   0.5826   0.8050
   5.000   0.9906   0.01448   0.00782  -0.0978   0.5281   0.8170
   5.500   1.0209   0.01517   0.00823  -0.0931   0.4750   0.8306
   6.000   1.0473   0.01594   0.00881  -0.0879   0.4318   0.8470
   6.500   1.0737   0.01682   0.00953  -0.0829   0.3961   0.8670
   7.000   1.0988   0.01762   0.01030  -0.0777   0.3662   0.8910
   7.500   1.1191   0.01831   0.01100  -0.0716   0.3417   0.9291
   8.000   1.1583   0.01922   0.01186  -0.0702   0.3178   1.0000
   8.500   1.2043   0.02059   0.01310  -0.0704   0.2958   1.0000
   9.000   1.2453   0.02194   0.01442  -0.0695   0.2770   1.0000
   9.500   1.2831   0.02334   0.01580  -0.0680   0.2604   1.0000
  10.000   1.3201   0.02482   0.01727  -0.0664   0.2459   1.0000
  10.500   1.3553   0.02639   0.01883  -0.0646   0.2325   1.0000
  11.000   1.3897   0.02801   0.02047  -0.0628   0.2202   1.0000
  11.500   1.4179   0.02978   0.02242  -0.0604   0.2087   1.0000
  12.000   1.4483   0.03171   0.02445  -0.0584   0.1980   1.0000
  12.500   1.4795   0.03371   0.02645  -0.0567   0.1877   1.0000
  13.000   1.4988   0.03604   0.02901  -0.0539   0.1782   1.0000
  13.500   1.5213   0.03858   0.03170  -0.0518   0.1690   1.0000
  14.000   1.5466   0.04105   0.03417  -0.0502   0.1598   1.0000
  14.500   1.5535   0.04449   0.03798  -0.0475   0.1517   1.0000
  15.000   1.5697   0.04774   0.04131  -0.0459   0.1436   1.0000
  15.500   1.5731   0.05192   0.04577  -0.0442   0.1358   1.0000
  16.000   1.5779   0.05646   0.05050  -0.0430   0.1280   1.0000
  16.500   1.5781   0.06154   0.05574  -0.0425   0.1203   1.0000
  17.000   1.5713   0.06798   0.06249  -0.0426   0.1127   1.0000
  17.500   1.5688   0.07421   0.06876  -0.0433   0.1051   1.0000
  18.000   1.5529   0.08289   0.07784  -0.0456   0.0982   1.0000
