  
       XFOIL         Version 6.96
  
 Calculated polar for: TSAGI 12% AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3959   0.01750   0.00966  -0.0204   0.9482   0.0797
  -4.500  -0.3246   0.01519   0.00741  -0.0236   0.9282   0.0994
  -4.000  -0.2608   0.01382   0.00613  -0.0252   0.9049   0.1384
  -3.500  -0.2120   0.01269   0.00527  -0.0237   0.8773   0.2094
  -3.000  -0.1873   0.01095   0.00468  -0.0177   0.8499   0.4731
  -2.500  -0.0680   0.01068   0.00565  -0.0278   0.8325   0.8791
  -2.000   0.0205   0.01184   0.00646  -0.0325   0.8097   0.9119
  -1.500   0.1002   0.01257   0.00686  -0.0362   0.7860   0.9364
  -1.000   0.1942   0.01294   0.00697  -0.0435   0.7619   0.9539
  -0.500   0.3375   0.01276   0.00651  -0.0608   0.7364   0.9904
   0.000   0.4089   0.01223   0.00580  -0.0647   0.7100   1.0000
   0.500   0.4502   0.01216   0.00561  -0.0624   0.6845   1.0000
   1.000   0.4922   0.01216   0.00547  -0.0601   0.6597   1.0000
   1.500   0.5347   0.01221   0.00540  -0.0579   0.6348   1.0000
   2.000   0.5777   0.01230   0.00543  -0.0557   0.6102   1.0000
   2.500   0.6215   0.01245   0.00549  -0.0537   0.5882   1.0000
   3.000   0.6651   0.01260   0.00566  -0.0516   0.5657   1.0000
   3.500   0.7093   0.01280   0.00584  -0.0496   0.5455   1.0000
   4.000   0.7536   0.01303   0.00608  -0.0475   0.5262   1.0000
   4.500   0.7972   0.01327   0.00641  -0.0454   0.5055   1.0000
   5.000   0.8406   0.01354   0.00670  -0.0431   0.4845   1.0000
   5.500   0.8830   0.01386   0.00714  -0.0407   0.4624   1.0000
   6.000   0.9236   0.01418   0.00751  -0.0379   0.4355   1.0000
   6.500   0.9594   0.01446   0.00782  -0.0341   0.3951   1.0000
   7.000   0.9945   0.01483   0.00830  -0.0304   0.3509   1.0000
   7.500   1.0227   0.01561   0.00897  -0.0256   0.2713   1.0000
   8.000   1.0106   0.01917   0.01125  -0.0153   0.0845   1.0000
   8.500   1.0058   0.02198   0.01382  -0.0055   0.0462   1.0000
   9.000   1.0042   0.02393   0.01590   0.0038   0.0389   1.0000
   9.500   0.9810   0.02652   0.01853   0.0154   0.0355   1.0000
  10.000   0.9822   0.02902   0.02122   0.0221   0.0329   1.0000
  10.500   0.9880   0.03188   0.02418   0.0272   0.0301   1.0000
  11.000   1.0071   0.03581   0.02810   0.0313   0.0273   1.0000
  11.500   1.0316   0.03895   0.03154   0.0345   0.0262   1.0000
  12.000   1.0499   0.04277   0.03574   0.0378   0.0250   1.0000
  12.500   1.0564   0.04721   0.04056   0.0409   0.0236   1.0000
  13.000   1.0522   0.05299   0.04680   0.0436   0.0233   1.0000
  13.500   1.0337   0.06018   0.05449   0.0451   0.0238   1.0000
  14.000   1.0021   0.06905   0.06382   0.0447   0.0239   1.0000
  14.500   0.9661   0.07943   0.07461   0.0420   0.0248   1.0000
  15.000   0.9245   0.09169   0.08722   0.0367   0.0252   1.0000
  15.500   0.8758   0.10730   0.10314   0.0285   0.0257   1.0000
  16.000   0.8287   0.12512   0.12117   0.0186   0.0265   1.0000
  16.500   0.5775   0.13999   0.13649   0.0142   0.0365   1.0000
  17.000   0.5212   0.16254   0.15896   0.0035   0.0620   1.0000
  17.500   0.5433   0.16615   0.16262   0.0042   0.0570   1.0000
  18.000   0.7419   0.20084   0.19687  -0.0157   0.0467   1.0000
