  
       XFOIL         Version 6.96
  
 Calculated polar for: UNIVERSITY OF ALBERTA UA 79-SF-187 AIRFOIL MAIN 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4004   0.02498   0.01898  -0.0445  -0.0015   4.4565
  -4.500  -0.3705   0.02309   0.01686  -0.0416  -0.0015   4.4564
  -4.000  -0.3236   0.02268   0.01631  -0.0408  -0.0011   4.4574
  -3.500  -0.2998   0.02142   0.01508  -0.0380  -0.0001   4.4587
  -3.000  -0.2729   0.02073   0.01442  -0.0355  -0.0002   4.4563
  -2.500  -0.1698   0.02328   0.01962  -0.0360  -0.0004   2.2442
  -2.000  -0.0206   0.02690   0.02272  -0.0419   0.0010   2.1129
  -1.500   0.0446   0.02716   0.02275  -0.0424   0.0066   2.0429
  -1.000   0.0939   0.02712   0.02254  -0.0421   0.0153   2.0010
   0.000   0.1392   0.02583   0.02101  -0.0384   0.0379   2.0010
   1.000   0.1903   0.02478   0.01978  -0.0346   0.0692   2.0010
   1.500   0.2187   0.02425   0.01917  -0.0328   0.0915   2.0010
   2.500   0.2895   0.02335   0.01815  -0.0301   0.1294   2.0010
   3.000   0.3168   0.02287   0.01765  -0.0278   0.1567   2.0010
   3.500   0.3413   0.02240   0.01718  -0.0251   0.1873   2.0010
   5.500   0.4522   0.02024   0.01516  -0.0149   0.3266   2.0010
   6.000   0.4926   0.01941   0.01441  -0.0132   0.3507   2.0010
   7.000   0.5841   0.01710   0.01232  -0.0105   0.3906   2.0010
   8.500   0.7295   0.00908   0.00415  -0.0025   0.8360   2.0010
   9.000   0.7364   0.00911   0.00388   0.0026   1.1739   2.0010
   9.500   0.7257   0.00971   0.00420   0.0088   1.5365   2.0010
  10.000   0.7086   0.01063   0.00487   0.0149   1.9323   2.0010
  10.500   0.6847   0.01196   0.00583   0.0208   2.4979   2.0010
  11.000   0.6559   0.01374   0.00712   0.0261   3.3428   2.0010
  11.500   0.6349   0.01545   0.00858   0.0304   4.0254   2.0010
  12.000   0.6342   0.01636   0.00967   0.0336   4.0527   2.0010
  12.500   0.6336   0.01731   0.01085   0.0365   4.0634   2.0010
  13.000   0.6304   0.01845   0.01223   0.0392   4.0698   2.0010
  13.500   0.6244   0.01981   0.01382   0.0415   4.0729   2.0010
  14.000   0.6155   0.02142   0.01566   0.0435   4.0737   2.0010
  14.500   0.6045   0.02327   0.01773   0.0451   4.0735   2.0010
  15.000   0.5950   0.02512   0.01976   0.0464   4.0720   2.0010
  15.500   0.5921   0.02653   0.02128   0.0477   4.0691   2.0010
  16.000   0.6048   0.02690   0.02169   0.0500   4.0672   2.0010
  16.500   0.6304   0.02688   0.02165   0.0526   4.0877   2.0010
  17.000   0.7019   0.02684   0.02160   0.0565   4.0804   2.0010
