  
       XFOIL         Version 6.96
  
 Calculated polar for: ULTIMATE                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.4759   0.01169   0.00581   0.0298   0.9740   0.6643
  -2.500  -0.3986   0.01148   0.00571   0.0255   0.9612   0.7212
  -2.000  -0.3255   0.01127   0.00560   0.0223   0.9470   0.7712
  -1.500  -0.2593   0.01105   0.00545   0.0210   0.9304   0.8120
  -1.000  -0.2004   0.01083   0.00528   0.0215   0.9107   0.8464
  -0.500  -0.1449   0.01062   0.00509   0.0227   0.8881   0.8790
   0.000  -0.0792   0.01050   0.00497   0.0216   0.8636   0.9075
   0.500   0.0014   0.01061   0.00505   0.0170   0.8365   0.9276
   1.000   0.0846   0.01083   0.00523   0.0118   0.8055   0.9420
   1.500   0.1648   0.01113   0.00547   0.0072   0.7712   0.9539
   2.000   0.2416   0.01143   0.00569   0.0031   0.7331   0.9683
   2.500   0.3181   0.01175   0.00588  -0.0012   0.6895   0.9835
   3.000   0.4008   0.01206   0.00613  -0.0073   0.6496   0.9969
   3.500   0.4597   0.01205   0.00607  -0.0088   0.6103   1.0000
   4.000   0.5043   0.01200   0.00589  -0.0072   0.5570   1.0000
   4.500   0.5497   0.01210   0.00586  -0.0057   0.4955   1.0000
   5.000   0.5954   0.01243   0.00603  -0.0043   0.4150   1.0000
   5.500   0.6287   0.01531   0.00717  -0.0023   0.0999   1.0000
   6.000   0.6664   0.01730   0.00892   0.0003   0.0640   1.0000
   6.500   0.7040   0.01907   0.01068   0.0030   0.0536   1.0000
   8.500   0.8700   0.02993   0.02171   0.0118   0.0370   1.0000
   9.000   0.9050   0.03323   0.02571   0.0152   0.0355   1.0000
   9.500   0.9333   0.03849   0.03164   0.0190   0.0355   1.0000
  10.000   0.9527   0.04530   0.03899   0.0228   0.0365   1.0000
