  
       XFOIL         Version 6.96
  
 Calculated polar for: USA-35B AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0771   0.01873   0.01133  -0.0972   0.8640   0.0667
  -4.500   0.1312   0.01693   0.00912  -0.0957   0.8348   0.0679
  -4.000   0.1850   0.01549   0.00746  -0.0945   0.8057   0.0718
  -3.500   0.2388   0.01452   0.00638  -0.0934   0.7772   0.0769
  -3.000   0.2922   0.01360   0.00539  -0.0923   0.7483   0.0859
  -2.500   0.3460   0.01272   0.00454  -0.0914   0.7237   0.1277
  -2.000   0.3942   0.01100   0.00443  -0.0904   0.7023   0.5691
  -1.500   0.4622   0.01020   0.00437  -0.0912   0.6826   1.0000
  -1.000   0.5161   0.01050   0.00436  -0.0905   0.6648   1.0000
  -0.500   0.5703   0.01084   0.00444  -0.0898   0.6475   1.0000
   0.000   0.6246   0.01120   0.00461  -0.0893   0.6312   1.0000
   0.500   0.6789   0.01158   0.00482  -0.0887   0.6145   1.0000
   1.000   0.7332   0.01198   0.00509  -0.0881   0.5981   1.0000
   1.500   0.7871   0.01236   0.00539  -0.0875   0.5807   1.0000
   2.000   0.8402   0.01269   0.00561  -0.0867   0.5600   1.0000
   2.500   0.8923   0.01295   0.00573  -0.0855   0.5356   1.0000
   3.000   0.9441   0.01325   0.00603  -0.0845   0.5127   1.0000
   3.500   0.9959   0.01359   0.00635  -0.0835   0.4903   1.0000
   4.000   1.0469   0.01400   0.00672  -0.0824   0.4670   1.0000
   4.500   1.0969   0.01442   0.00716  -0.0812   0.4416   1.0000
   5.000   1.1457   0.01494   0.00767  -0.0798   0.4150   1.0000
   5.500   1.1923   0.01556   0.00822  -0.0781   0.3853   1.0000
   6.000   1.2360   0.01634   0.00892  -0.0760   0.3516   1.0000
   6.500   1.2779   0.01729   0.00981  -0.0738   0.3204   1.0000
   7.000   1.3174   0.01838   0.01086  -0.0712   0.2902   1.0000
   7.500   1.3537   0.01955   0.01200  -0.0683   0.2602   1.0000
   8.000   1.3879   0.02078   0.01326  -0.0652   0.2335   1.0000
   8.500   1.4166   0.02214   0.01464  -0.0613   0.2100   1.0000
   9.000   1.4397   0.02373   0.01627  -0.0569   0.1895   1.0000
   9.500   1.4588   0.02571   0.01830  -0.0526   0.1688   1.0000
  10.000   1.4702   0.02841   0.02101  -0.0483   0.1427   1.0000
  10.500   1.4744   0.03209   0.02468  -0.0445   0.1062   1.0000
  11.000   1.4711   0.03694   0.02945  -0.0413   0.0820   1.0000
  11.500   1.4654   0.04254   0.03508  -0.0392   0.0720   1.0000
  12.000   1.4592   0.04861   0.04130  -0.0379   0.0661   1.0000
  12.500   1.4452   0.05574   0.04848  -0.0371   0.0620   1.0000
  13.000   1.4423   0.06191   0.05488  -0.0366   0.0584   1.0000
  13.500   1.4368   0.06830   0.06133  -0.0360   0.0550   1.0000
  14.000   1.4384   0.07385   0.06703  -0.0350   0.0519   1.0000
  14.500   1.4406   0.07964   0.07297  -0.0348   0.0489   1.0000
  15.000   1.4540   0.08331   0.07662  -0.0323   0.0457   1.0000
  15.500   1.4504   0.09041   0.08406  -0.0335   0.0437   1.0000
  16.000   1.4490   0.09713   0.09100  -0.0346   0.0415   1.0000
  16.500   1.4610   0.10144   0.09535  -0.0332   0.0391   1.0000
  17.000   1.4395   0.11199   0.10637  -0.0378   0.0382   1.0000
  17.500   1.4165   0.12332   0.11812  -0.0433   0.0373   1.0000
  18.000   1.3917   0.13566   0.13086  -0.0503   0.0364   1.0000
