  
       XFOIL         Version 6.96
  
 Calculated polar for: USA 41 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2709   0.06166   0.05863  -0.0412   0.9909   0.0447
  -4.500  -0.1850   0.05133   0.04805  -0.0598   0.9806   0.0569
  -4.000  -0.0901   0.04137   0.03756  -0.0776   0.9701   0.0798
  -3.500  -0.0176   0.03567   0.03164  -0.0846   0.9595   0.0984
  -3.000   0.0655   0.02993   0.02543  -0.0930   0.9498   0.1252
  -2.500   0.1580   0.01780   0.01100  -0.0989   0.9411   0.0642
  -2.000   0.2349   0.01479   0.00753  -0.1026   0.9295   0.0657
  -1.500   0.3086   0.01307   0.00568  -0.1052   0.9146   0.0659
  -1.000   0.3765   0.01191   0.00448  -0.1066   0.8959   0.0694
  -0.500   0.4338   0.01123   0.00377  -0.1058   0.8691   0.0850
   0.000   0.4888   0.01084   0.00363  -0.1047   0.8387   0.2112
   0.500   0.5400   0.01048   0.00333  -0.1030   0.8008   0.2664
   1.000   0.6079   0.00879   0.00314  -0.1052   0.7594   1.0000
   1.500   0.6594   0.00908   0.00304  -0.1035   0.7140   1.0000
   2.000   0.7101   0.00947   0.00311  -0.1019   0.6703   1.0000
   2.500   0.7606   0.00994   0.00331  -0.1004   0.6309   1.0000
   3.000   0.8109   0.01044   0.00360  -0.0990   0.5947   1.0000
   3.500   0.8612   0.01100   0.00400  -0.0976   0.5624   1.0000
   4.000   0.9114   0.01160   0.00450  -0.0963   0.5321   1.0000
   4.500   0.9613   0.01219   0.00507  -0.0950   0.5032   1.0000
   5.000   1.0107   0.01278   0.00570  -0.0936   0.4745   1.0000
   5.500   1.0598   0.01336   0.00638  -0.0922   0.4470   1.0000
   6.000   1.1032   0.01374   0.00677  -0.0896   0.3945   1.0000
   6.500   1.1455   0.01440   0.00737  -0.0871   0.3309   1.0000
   7.000   1.1576   0.01850   0.00976  -0.0809   0.0575   1.0000
   7.500   1.1855   0.02134   0.01270  -0.0762   0.0344   1.0000
   8.000   1.2066   0.02441   0.01596  -0.0709   0.0287   1.0000
   8.500   1.2304   0.02753   0.01928  -0.0659   0.0261   1.0000
   9.000   1.2588   0.03112   0.02298  -0.0621   0.0232   1.0000
   9.500   1.3036   0.03770   0.02985  -0.0609   0.0216   1.0000
  10.000   1.3387   0.04310   0.03579  -0.0579   0.0220   1.0000
  10.500   1.3498   0.05044   0.04427  -0.0514   0.0258   1.0000
