  
       XFOIL         Version 6.96
  
 Calculated polar for: USNPS4 (smoothed)                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.0782   0.05045   0.04631  -0.0881   0.9291   0.0564
  -4.000   0.0049   0.04434   0.03949  -0.0966   0.9235   0.0674
  -3.500   0.0594   0.03822   0.03343  -0.0995   0.9117   0.0728
  -3.000   0.1281   0.03333   0.02808  -0.1033   0.9007   0.0871
  -2.000   0.2928   0.02266   0.01566  -0.1101   0.8848   0.0632
  -1.500   0.3835   0.01908   0.01157  -0.1155   0.8808   0.0643
  -1.000   0.4572   0.01670   0.00911  -0.1181   0.8676   0.0728
  -0.500   0.5330   0.01488   0.00732  -0.1213   0.8521   0.0913
   0.000   0.6019   0.01348   0.00599  -0.1234   0.8283   0.1297
   0.500   0.6739   0.01085   0.00538  -0.1257   0.7996   1.0000
   1.000   0.7369   0.01079   0.00492  -0.1266   0.7601   1.0000
   1.500   0.7910   0.01100   0.00474  -0.1258   0.7139   1.0000
   2.000   0.8404   0.01140   0.00475  -0.1241   0.6645   1.0000
   2.500   0.8853   0.01193   0.00492  -0.1216   0.6137   1.0000
   3.000   0.9282   0.01256   0.00520  -0.1189   0.5643   1.0000
   3.500   0.9702   0.01327   0.00558  -0.1161   0.5192   1.0000
   4.000   1.0118   0.01402   0.00605  -0.1133   0.4784   1.0000
   4.500   1.0536   0.01482   0.00660  -0.1107   0.4438   1.0000
   5.000   1.0954   0.01562   0.00721  -0.1082   0.4130   1.0000
   5.500   1.1377   0.01643   0.00790  -0.1059   0.3864   1.0000
   6.000   1.1796   0.01734   0.00863  -0.1036   0.3636   1.0000
   6.500   1.2213   0.01818   0.00946  -0.1012   0.3430   1.0000
   7.000   1.2622   0.01909   0.01034  -0.0988   0.3250   1.0000
   7.500   1.3018   0.02004   0.01126  -0.0963   0.3088   1.0000
   8.000   1.3426   0.02106   0.01230  -0.0940   0.2948   1.0000
   8.500   1.3835   0.02215   0.01340  -0.0919   0.2820   1.0000
   9.000   1.4247   0.02331   0.01457  -0.0899   0.2701   1.0000
   9.500   1.4625   0.02442   0.01581  -0.0873   0.2596   1.0000
  10.000   1.5020   0.02571   0.01726  -0.0852   0.2499   1.0000
  10.500   1.5451   0.02709   0.01866  -0.0840   0.2407   1.0000
  11.000   1.5767   0.02843   0.02029  -0.0806   0.2327   1.0000
  11.500   1.6204   0.03003   0.02198  -0.0796   0.2253   1.0000
  12.000   1.6445   0.03150   0.02376  -0.0752   0.2175   1.0000
  12.500   1.6656   0.03309   0.02552  -0.0708   0.2085   1.0000
  13.000   1.6819   0.03459   0.02709  -0.0660   0.1985   1.0000
  13.500   1.6844   0.03677   0.02967  -0.0598   0.1898   1.0000
  14.000   1.6934   0.03911   0.03220  -0.0553   0.1810   1.0000
  14.500   1.6956   0.04196   0.03528  -0.0508   0.1716   1.0000
  15.000   1.6951   0.04561   0.03931  -0.0470   0.1625   1.0000
  15.500   1.6926   0.04994   0.04391  -0.0443   0.1526   1.0000
  16.000   1.6847   0.05552   0.04979  -0.0426   0.1406   1.0000
  16.500   1.6693   0.06294   0.05756  -0.0424   0.1226   1.0000
  17.500   1.5791   0.08842   0.08322  -0.0471   0.0699   1.0000
  18.000   1.5225   0.10420   0.09916  -0.0521   0.0583   1.0000
