  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43015-2.48 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2730   0.02925   0.02296  -0.0333   0.9121   0.1215
  -4.000  -0.1008   0.00908   0.00169  -0.0355   0.8489   0.0708
  -3.500  -0.0413   0.00747  -0.00022  -0.0346   0.8118   0.0677
  -3.000   0.0156   0.00637  -0.00152  -0.0336   0.7711   0.0680
  -2.500   0.0654   0.00571  -0.00237  -0.0314   0.7232   0.0715
  -2.000   0.1106   0.00505  -0.00322  -0.0286   0.6731   0.0746
  -1.500   0.1505   0.00464  -0.00378  -0.0249   0.6219   0.0801
  -1.000   0.1868   0.00434  -0.00429  -0.0207   0.5726   0.0904
  -0.500   0.2226   0.00400  -0.00485  -0.0164   0.5257   0.1222
   0.000   0.2324   0.00259  -0.00379  -0.0062   0.4916   0.8226
   0.500   0.3104   0.00286  -0.00370  -0.0084   0.4467   0.9085
   1.000   0.4057   0.00329  -0.00367  -0.0149   0.4044   0.9326
   1.500   0.4866   0.00363  -0.00362  -0.0197   0.3714   0.9493
   2.000   0.5683   0.00402  -0.00357  -0.0250   0.3441   0.9658
   2.500   0.6435   0.00436  -0.00345  -0.0295   0.3235   0.9782
   3.000   0.7199   0.00467  -0.00333  -0.0344   0.3053   0.9899
   3.500   0.7965   0.00484  -0.00322  -0.0395   0.2907   1.0000
   4.000   0.8287   0.00522  -0.00287  -0.0360   0.2814   1.0000
   4.500   0.8612   0.00561  -0.00257  -0.0324   0.2727   1.0000
   5.000   0.8938   0.00610  -0.00207  -0.0287   0.2643   1.0000
   5.500   0.9271   0.00660  -0.00162  -0.0251   0.2565   1.0000
   6.000   0.9607   0.00731  -0.00090  -0.0216   0.2492   1.0000
   6.500   0.9934   0.00794  -0.00024  -0.0178   0.2418   1.0000
   7.000   1.0289   0.00890   0.00066  -0.0147   0.2349   1.0000
   7.500   1.0579   0.00965   0.00154  -0.0104   0.2276   1.0000
   8.000   1.0972   0.01081   0.00256  -0.0081   0.2209   1.0000
   8.500   1.1717   0.02401   0.01559  -0.0082   0.2158   1.0000
   9.000   1.2040   0.02502   0.01669  -0.0045   0.2098   1.0000
   9.500   1.2469   0.02665   0.01822  -0.0030   0.2040   1.0000
  10.000   1.2667   0.02774   0.01964   0.0026   0.1991   1.0000
  10.500   1.2948   0.02903   0.02106   0.0066   0.1944   1.0000
  11.000   1.3349   0.03050   0.02249   0.0083   0.1900   1.0000
  11.500   1.3515   0.03241   0.02468   0.0135   0.1860   1.0000
  12.000   1.3566   0.03403   0.02657   0.0205   0.1821   1.0000
  12.500   1.3730   0.03529   0.02793   0.0255   0.1780   1.0000
  13.000   1.4130   0.03723   0.02983   0.0264   0.1738   1.0000
  13.500   1.3931   0.03993   0.03295   0.0343   0.1712   1.0000
  14.000   1.3788   0.04327   0.03664   0.0396   0.1678   1.0000
  14.500   1.3780   0.04634   0.03990   0.0426   0.1645   1.0000
  15.000   1.4258   0.04748   0.04091   0.0428   0.1604   1.0000
  15.500   1.3483   0.05649   0.05052   0.0457   0.1582   1.0000
  16.500   0.7562   0.17175   0.16670  -0.0068   0.1349   1.0000
  17.500   0.5351   0.17304   0.16873  -0.0092   0.1296   1.0000
  18.000   0.8121   0.18292   0.17800  -0.0118   0.1141   1.0000
