  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL VR-14 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.4216   0.03555   0.03065  -0.0116   1.0000   0.0555
  -4.000  -0.3989   0.03147   0.02607  -0.0068   1.0000   0.0675
  -3.000  -0.2691   0.01904   0.01163  -0.0061   0.9905   0.0468
  -2.500  -0.1942   0.01614   0.00838  -0.0093   0.9843   0.0557
  -2.000  -0.1219   0.01460   0.00674  -0.0125   0.9755   0.0648
  -1.500  -0.0355   0.01301   0.00524  -0.0186   0.9628   0.0830
  -0.500   0.1830   0.00937   0.00430  -0.0379   0.9370   1.0000
   0.000   0.2268   0.00931   0.00409  -0.0346   0.9080   1.0000
   0.500   0.2682   0.00921   0.00386  -0.0306   0.8790   1.0000
   1.000   0.3107   0.00910   0.00361  -0.0269   0.8469   1.0000
   1.500   0.3554   0.00899   0.00338  -0.0235   0.8081   1.0000
   2.000   0.4015   0.00896   0.00317  -0.0205   0.7580   1.0000
   2.500   0.4489   0.00908   0.00302  -0.0179   0.6719   1.0000
   3.000   0.4926   0.01023   0.00303  -0.0152   0.4386   1.0000
   3.500   0.5395   0.01152   0.00361  -0.0140   0.3247   1.0000
   4.000   0.5879   0.01248   0.00428  -0.0129   0.2807   1.0000
   4.500   0.6365   0.01335   0.00500  -0.0118   0.2508   1.0000
   5.000   0.6852   0.01420   0.00577  -0.0106   0.2277   1.0000
   5.500   0.7337   0.01500   0.00658  -0.0095   0.2068   1.0000
   6.000   0.7822   0.01585   0.00746  -0.0083   0.1903   1.0000
   6.500   0.8304   0.01678   0.00847  -0.0071   0.1759   1.0000
   7.000   0.8779   0.01758   0.00938  -0.0058   0.1593   1.0000
   7.500   0.9239   0.01848   0.01029  -0.0045   0.1407   1.0000
   8.000   0.9697   0.01916   0.01125  -0.0031   0.1188   1.0000
   8.500   1.0132   0.02029   0.01249  -0.0014   0.0964   1.0000
   9.000   1.0543   0.02176   0.01403   0.0004   0.0762   1.0000
   9.500   1.0924   0.02386   0.01630   0.0027   0.0613   1.0000
  10.000   1.1258   0.02705   0.01959   0.0053   0.0520   1.0000
  10.500   1.1595   0.02974   0.02279   0.0079   0.0463   1.0000
  11.000   1.1838   0.03437   0.02768   0.0108   0.0414   1.0000
  11.500   1.1990   0.03887   0.03284   0.0146   0.0394   1.0000
  12.000   1.1984   0.04376   0.03833   0.0193   0.0375   1.0000
  12.500   1.1826   0.04913   0.04418   0.0234   0.0360   1.0000
  13.000   1.1578   0.05634   0.05182   0.0241   0.0350   1.0000
  13.500   1.1134   0.06821   0.06416   0.0190   0.0351   1.0000
  14.000   0.9893   0.10240   0.09888  -0.0056   0.0396   1.0000
  14.500   0.6420   0.14425   0.14063  -0.0125   0.0626   1.0000
  15.000   0.8174   0.17637   0.17253  -0.0424   0.0663   1.0000
  15.500   0.8462   0.18357   0.17983  -0.0391   0.0635   1.0000
  16.000   0.8293   0.19411   0.19025  -0.0514   0.0600   1.0000
  16.500   0.8429   0.20094   0.19714  -0.0546   0.0550   1.0000
  17.000   0.8732   0.20871   0.20501  -0.0517   0.0523   1.0000
  17.500   0.6158   0.18399   0.18048  -0.0301   0.0553   1.0000
  18.000   0.6477   0.19303   0.18962  -0.0280   0.0522   1.0000
