  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL VR-7 AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2071   0.02495   0.01798  -0.0616   0.8313   0.0559
  -4.500  -0.1571   0.02108   0.01324  -0.0590   0.8108   0.0483
  -4.000  -0.1045   0.01906   0.01082  -0.0574   0.7916   0.0476
  -3.500  -0.0536   0.01671   0.00837  -0.0561   0.7733   0.0509
  -3.000  -0.0033   0.01544   0.00700  -0.0545   0.7571   0.0550
  -2.500   0.0446   0.01431   0.00584  -0.0528   0.7421   0.0628
  -2.000   0.0886   0.01273   0.00477  -0.0506   0.7282   0.1980
  -1.500   0.1146   0.01070   0.00491  -0.0438   0.7149   0.7783
  -1.000   0.1861   0.01084   0.00517  -0.0446   0.7015   0.9202
  -0.500   0.2920   0.01123   0.00524  -0.0536   0.6868   0.9653
   0.000   0.3923   0.01130   0.00504  -0.0629   0.6716   0.9901
   0.500   0.4603   0.01126   0.00479  -0.0663   0.6568   1.0000
   1.000   0.5016   0.01135   0.00476  -0.0640   0.6421   1.0000
   1.500   0.5455   0.01152   0.00484  -0.0620   0.6274   1.0000
   2.000   0.5909   0.01173   0.00497  -0.0601   0.6126   1.0000
   2.500   0.6373   0.01195   0.00514  -0.0583   0.5976   1.0000
   3.000   0.6844   0.01214   0.00526  -0.0565   0.5814   1.0000
   3.500   0.7322   0.01235   0.00544  -0.0549   0.5654   1.0000
   4.000   0.7802   0.01255   0.00560  -0.0533   0.5485   1.0000
   4.500   0.8281   0.01280   0.00584  -0.0517   0.5308   1.0000
   5.000   0.8754   0.01311   0.00621  -0.0500   0.5129   1.0000
   5.500   0.9224   0.01341   0.00655  -0.0483   0.4931   1.0000
   6.000   0.9693   0.01369   0.00682  -0.0465   0.4714   1.0000
   6.500   1.0139   0.01401   0.00725  -0.0444   0.4458   1.0000
   7.000   1.0589   0.01443   0.00774  -0.0425   0.4219   1.0000
   7.500   1.1019   0.01492   0.00829  -0.0402   0.3942   1.0000
   8.000   1.1410   0.01554   0.00898  -0.0375   0.3567   1.0000
   8.500   1.1742   0.01638   0.00978  -0.0340   0.3056   1.0000
   9.000   1.1978   0.01783   0.01101  -0.0293   0.2384   1.0000
   9.500   1.2062   0.02005   0.01290  -0.0229   0.1768   1.0000
  10.000   1.2045   0.02253   0.01516  -0.0155   0.1326   1.0000
  10.500   1.2035   0.02557   0.01810  -0.0099   0.1051   1.0000
  11.000   1.2047   0.02913   0.02169  -0.0061   0.0867   1.0000
  11.500   1.2035   0.03342   0.02603  -0.0033   0.0737   1.0000
  12.000   1.2045   0.03792   0.03059  -0.0011   0.0639   1.0000
  12.500   1.2090   0.04232   0.03499   0.0010   0.0572   1.0000
  13.000   1.2197   0.04631   0.03918   0.0022   0.0515   1.0000
  13.500   1.2357   0.05011   0.04303   0.0042   0.0470   1.0000
  14.000   1.2463   0.05442   0.04763   0.0049   0.0435   1.0000
  14.500   1.2599   0.05860   0.05186   0.0057   0.0402   1.0000
  15.000   1.2646   0.06418   0.05782   0.0061   0.0379   1.0000
  15.500   1.2618   0.07052   0.06450   0.0053   0.0357   1.0000
  16.000   1.2602   0.07703   0.07126   0.0041   0.0339   1.0000
  16.500   1.2565   0.08466   0.07909   0.0031   0.0321   1.0000
  17.000   1.2265   0.09584   0.09076  -0.0017   0.0315   1.0000
  17.500   1.1917   0.10911   0.10449  -0.0082   0.0312   1.0000
  18.000   1.1481   0.12531   0.12113  -0.0176   0.0310   1.0000
