  
       XFOIL         Version 6.96
  
 Calculated polar for: WASP (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3858   0.04186   0.03782  -0.0394   1.0000   0.0785
  -4.500  -0.3115   0.03401   0.02924  -0.0474   0.9907   0.0922
  -4.000  -0.2372   0.01953   0.01240  -0.0488   0.9840   0.0488
  -3.500  -0.1591   0.01681   0.00937  -0.0532   0.9734   0.0579
  -3.000  -0.0788   0.01490   0.00735  -0.0578   0.9624   0.0731
  -2.500   0.0053   0.01316   0.00574  -0.0633   0.9527   0.1093
  -2.000   0.0825   0.01157   0.00481  -0.0677   0.9383   0.2577
  -1.500   0.1419   0.01014   0.00450  -0.0681   0.9153   0.5623
  -0.500   0.3391   0.00861   0.00354  -0.0842   0.8673   1.0000
   0.000   0.3950   0.00863   0.00326  -0.0833   0.8265   1.0000
   0.500   0.4483   0.00877   0.00310  -0.0820   0.7830   1.0000
   1.000   0.4990   0.00902   0.00304  -0.0802   0.7378   1.0000
   1.500   0.5484   0.00934   0.00307  -0.0782   0.6922   1.0000
   2.000   0.5970   0.00971   0.00317  -0.0762   0.6475   1.0000
   2.500   0.6452   0.01013   0.00335  -0.0742   0.6044   1.0000
   3.000   0.6933   0.01060   0.00359  -0.0723   0.5643   1.0000
   3.500   0.7415   0.01109   0.00393  -0.0704   0.5264   1.0000
   4.000   0.7896   0.01164   0.00430  -0.0686   0.4918   1.0000
   4.500   0.8376   0.01218   0.00478  -0.0669   0.4579   1.0000
   5.000   0.8853   0.01276   0.00530  -0.0651   0.4250   1.0000
   5.500   0.9326   0.01340   0.00590  -0.0633   0.3931   1.0000
   6.000   0.9791   0.01409   0.00655  -0.0614   0.3611   1.0000
   6.500   1.0250   0.01486   0.00732  -0.0595   0.3302   1.0000
   7.000   1.0697   0.01572   0.00814  -0.0575   0.2991   1.0000
   7.500   1.1122   0.01642   0.00889  -0.0551   0.2597   1.0000
   8.000   1.1541   0.01734   0.00980  -0.0528   0.2275   1.0000
   8.500   1.1955   0.01829   0.01084  -0.0505   0.1936   1.0000
   9.000   1.2337   0.01946   0.01201  -0.0479   0.1478   1.0000
   9.500   1.2507   0.02265   0.01460  -0.0426   0.0619   1.0000
  10.000   1.2626   0.02589   0.01785  -0.0365   0.0452   1.0000
  10.500   1.2734   0.02864   0.02082  -0.0303   0.0387   1.0000
  11.000   1.2712   0.03279   0.02503  -0.0238   0.0349   1.0000
  11.500   1.2850   0.03608   0.02861  -0.0197   0.0323   1.0000
  12.000   1.2951   0.03986   0.03259  -0.0164   0.0293   1.0000
  12.500   1.3069   0.04490   0.03775  -0.0132   0.0273   1.0000
  13.000   1.3128   0.05064   0.04391  -0.0104   0.0263   1.0000
  13.500   1.3069   0.05668   0.05042  -0.0087   0.0255   1.0000
  14.000   1.2925   0.06403   0.05823  -0.0087   0.0246   1.0000
  14.500   1.2712   0.07287   0.06749  -0.0105   0.0239   1.0000
  15.000   1.2421   0.08366   0.07870  -0.0144   0.0237   1.0000
  15.500   1.2040   0.09710   0.09257  -0.0209   0.0238   1.0000
  16.000   1.1581   0.11377   0.10965  -0.0306   0.0243   1.0000
  16.500   1.1044   0.13455   0.13077  -0.0435   0.0253   1.0000
  17.000   1.0492   0.15838   0.15477  -0.0575   0.0268   1.0000
  18.000 NaN      NaN       NaN       NaN        0.0351   1.0000
