  
       XFOIL         Version 6.96
  
 Calculated polar for: WB-135/35  13.5%  smoothed                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1316   0.01518   0.00821  -0.0964   0.8734   0.2553
  -4.500  -0.0775   0.01497   0.00789  -0.0958   0.8602   0.2780
  -4.000  -0.0250   0.01464   0.00744  -0.0950   0.8470   0.2953
  -3.500   0.0278   0.01436   0.00704  -0.0942   0.8344   0.3153
  -3.000   0.0810   0.01408   0.00673  -0.0936   0.8231   0.3382
  -2.500   0.1349   0.01378   0.00636  -0.0928   0.8100   0.3660
  -2.000   0.1877   0.01344   0.00600  -0.0917   0.7944   0.3965
  -1.500   0.2407   0.01320   0.00579  -0.0908   0.7806   0.4293
  -1.000   0.2940   0.01301   0.00563  -0.0899   0.7672   0.4635
  -0.500   0.3470   0.01285   0.00549  -0.0889   0.7535   0.5024
   0.000   0.3985   0.01271   0.00548  -0.0878   0.7407   0.5446
   0.500   0.4485   0.01254   0.00548  -0.0864   0.7274   0.5973
   1.000   0.4973   0.01216   0.00546  -0.0846   0.7134   0.6760
   2.000   0.6912   0.01151   0.00530  -0.1012   0.6804   1.0000
   2.500   0.7386   0.01164   0.00534  -0.0993   0.6614   1.0000
   3.000   0.7848   0.01174   0.00541  -0.0970   0.6391   1.0000
   3.500   0.8298   0.01183   0.00543  -0.0945   0.6116   1.0000
   4.000   0.8727   0.01197   0.00548  -0.0915   0.5755   1.0000
   4.500   0.9099   0.01228   0.00563  -0.0875   0.5201   1.0000
   5.000   0.9427   0.01301   0.00599  -0.0828   0.4586   1.0000
   5.500   0.9780   0.01395   0.00666  -0.0791   0.4189   1.0000
   6.000   1.0165   0.01490   0.00744  -0.0760   0.3921   1.0000
   6.500   1.0526   0.01585   0.00823  -0.0726   0.3647   1.0000
   7.000   1.0895   0.01665   0.00908  -0.0694   0.3426   1.0000
   7.500   1.1232   0.01752   0.00991  -0.0657   0.3210   1.0000
   8.000   1.1478   0.01822   0.01070  -0.0603   0.2948   1.0000
   8.500   1.1693   0.01904   0.01160  -0.0545   0.2680   1.0000
   9.000   1.1863   0.02020   0.01271  -0.0487   0.2217   1.0000
   9.500   1.1761   0.02351   0.01524  -0.0407   0.1035   1.0000
  10.000   1.1586   0.02824   0.01942  -0.0335   0.0314   1.0000
  10.500   1.1700   0.03127   0.02266  -0.0297   0.0271   1.0000
  11.000   1.1716   0.03532   0.02701  -0.0261   0.0252   1.0000
  11.500   1.1709   0.03990   0.03189  -0.0233   0.0243   1.0000
  12.000   1.1649   0.04533   0.03758  -0.0211   0.0234   1.0000
  12.500   1.1586   0.05118   0.04364  -0.0197   0.0224   1.0000
  13.000   1.1523   0.05739   0.05002  -0.0188   0.0215   1.0000
  13.500   1.1521   0.06305   0.05580  -0.0176   0.0210   1.0000
  14.000   1.1627   0.06745   0.06031  -0.0159   0.0206   1.0000
  14.500   1.1859   0.07055   0.06356  -0.0134   0.0206   1.0000
  15.000   1.2090   0.07419   0.06741  -0.0112   0.0206   1.0000
  15.500   1.2279   0.07893   0.07234  -0.0095   0.0196   1.0000
  16.000   1.2272   0.08596   0.07988  -0.0098   0.0207   1.0000
  16.500   1.2070   0.09615   0.09068  -0.0119   0.0222   1.0000
  17.000   1.1845   0.10732   0.10230  -0.0153   0.0235   1.0000
  17.500   1.1883   0.11539   0.11066  -0.0164   0.0261   1.0000
  18.000   1.1261   0.13403   0.12988  -0.0287   0.0270   1.0000
