  
       XFOIL         Version 6.96
  
 Calculated polar for: WB-140/35/FB 14%                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0939   0.01764   0.00964  -0.0962   0.8625   0.0727
  -4.500  -0.0397   0.01753   0.00952  -0.0961   0.8554   0.1416
  -4.000   0.0189   0.01826   0.01033  -0.0961   0.8499   0.1648
  -3.500   0.0706   0.02004   0.01125  -0.0953   0.8402   0.1841
  -3.000   0.1255   0.01754   0.00883  -0.0960   0.8340   0.2037
  -2.500   0.1761   0.01615   0.00770  -0.0958   0.8245   0.2171
  -2.000   0.2282   0.01521   0.00709  -0.0956   0.8173   0.2302
  -1.500   0.2805   0.01519   0.00718  -0.0955   0.8084   0.2450
  -1.000   0.3357   0.01498   0.00700  -0.0956   0.8004   0.2714
  -0.500   0.3876   0.01489   0.00714  -0.0955   0.7914   0.3094
   0.000   0.4420   0.01452   0.00712  -0.0956   0.7836   0.4145
   0.500   0.4917   0.01425   0.00739  -0.0949   0.7742   0.5689
   1.000   0.5418   0.01351   0.00731  -0.0929   0.7658   0.7774
   1.500   0.6007   0.01315   0.00717  -0.0925   0.7518   0.9086
   2.000   0.6710   0.01289   0.00683  -0.0950   0.7369   0.9728
   2.500   0.7395   0.01293   0.00680  -0.0977   0.7221   0.9975
   3.000   0.7923   0.01322   0.00703  -0.0971   0.7071   1.0000
   3.500   0.8409   0.01349   0.00732  -0.0958   0.6896   1.0000
   4.000   0.8863   0.01347   0.00742  -0.0938   0.6672   1.0000
   4.500   0.9327   0.01322   0.00736  -0.0920   0.6409   1.0000
   5.000   0.9829   0.01284   0.00697  -0.0906   0.6115   1.0000
   5.500   1.0292   0.01289   0.00690  -0.0886   0.5666   1.0000
   6.000   1.0673   0.01354   0.00720  -0.0852   0.4999   1.0000
   6.500   1.0949   0.01484   0.00805  -0.0804   0.4278   1.0000
   7.000   1.1244   0.01606   0.00908  -0.0763   0.3756   1.0000
   7.500   1.1496   0.01730   0.01015  -0.0715   0.3299   1.0000
   8.000   1.1710   0.01867   0.01141  -0.0663   0.2968   1.0000
   8.500   1.1901   0.02036   0.01294  -0.0614   0.2616   1.0000
   9.000   1.2153   0.02199   0.01459  -0.0577   0.2307   1.0000
   9.500   1.2294   0.02440   0.01669  -0.0532   0.1608   1.0000
  10.000   1.2129   0.02957   0.02098  -0.0464   0.0432   1.0000
  10.500   1.2261   0.03287   0.02435  -0.0428   0.0310   1.0000
  11.000   1.2370   0.03648   0.02819  -0.0396   0.0276   1.0000
  11.500   1.2409   0.04090   0.03291  -0.0366   0.0257   1.0000
  12.000   1.2416   0.04578   0.03805  -0.0340   0.0242   1.0000
  12.500   1.2373   0.05134   0.04384  -0.0317   0.0234   1.0000
  13.000   1.2333   0.05719   0.04989  -0.0298   0.0228   1.0000
  13.500   1.2331   0.06284   0.05571  -0.0281   0.0223   1.0000
  14.000   1.2395   0.06777   0.06078  -0.0263   0.0219   1.0000
  14.500   1.2541   0.07181   0.06496  -0.0240   0.0215   1.0000
  15.000   1.2743   0.07546   0.06872  -0.0213   0.0207   1.0000
  15.500   1.2948   0.08000   0.07353  -0.0188   0.0203   1.0000
  16.000   1.2971   0.08634   0.08023  -0.0184   0.0205   1.0000
  16.500   1.2869   0.09434   0.08869  -0.0195   0.0210   1.0000
  17.000   1.2612   0.10553   0.10051  -0.0226   0.0221   1.0000
  17.500   1.2223   0.11998   0.11556  -0.0289   0.0234   1.0000
  18.000   1.1854   0.13544   0.13146  -0.0374   0.0244   1.0000
