  
       XFOIL         Version 6.96
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4840   0.01744   0.00958  -0.0492   1.0000   0.1115
  -4.500  -0.4152   0.01620   0.00861  -0.0533   1.0000   0.1518
  -4.000  -0.3254   0.01441   0.00763  -0.0629   1.0000   0.2793
  -3.500  -0.2860   0.01498   0.01001  -0.0578   1.0000   0.5678
  -3.000  -0.2370   0.01631   0.01121  -0.0555   1.0000   0.6465
  -2.500  -0.2038   0.01788   0.01275  -0.0490   1.0000   0.6734
  -2.000  -0.1736   0.01906   0.01394  -0.0420   1.0000   0.6907
  -1.500  -0.1393   0.01987   0.01475  -0.0364   1.0000   0.7066
  -1.000  -0.1073   0.02056   0.01548  -0.0303   1.0000   0.7231
  -0.500  -0.0773   0.02113   0.01610  -0.0240   1.0000   0.7410
   0.000  -0.0430   0.02149   0.01653  -0.0191   1.0000   0.7585
   0.500   0.0360   0.02233   0.01744  -0.0219   0.9842   0.7848
   1.000   0.1310   0.02207   0.01725  -0.0281   0.9605   0.8002
   1.500   0.2130   0.02084   0.01614  -0.0315   0.9349   0.8071
   2.000   0.3076   0.01894   0.01439  -0.0372   0.8913   0.8130
   2.500   0.4348   0.01794   0.01163  -0.0465   0.4516   0.8181
   3.000   0.4687   0.01944   0.01190  -0.0434   0.2152   0.8208
   3.500   0.5194   0.02062   0.01249  -0.0435   0.1276   0.8230
   4.000   0.5755   0.02173   0.01338  -0.0444   0.0993   0.8248
   4.500   0.6355   0.02281   0.01440  -0.0460   0.0846   0.8255
   5.000   0.6973   0.02421   0.01571  -0.0479   0.0745   0.8265
   5.500   0.7600   0.02563   0.01708  -0.0500   0.0667   0.8273
   6.000   0.8230   0.02756   0.01924  -0.0518   0.0615   0.8273
   6.500   0.8855   0.03015   0.02183  -0.0540   0.0573   0.8282
   7.000   0.8923   0.02017   0.01290  -0.0446   0.0548   0.8306
   7.500   0.9361   0.02473   0.01810  -0.0435   0.0533   0.8305
   8.000   0.9634   0.03208   0.02633  -0.0405   0.0535   0.8302
   8.500   0.9684   0.04176   0.03684  -0.0355   0.0549   0.8302
   9.000   0.9651   0.05119   0.04677  -0.0308   0.0562   0.8306
   9.500   0.6986   0.09420   0.09130  -0.0320   0.0897   0.8292
  10.000   0.8194   0.11405   0.11103  -0.0605   0.0794   0.8269
  10.500   0.8347   0.12087   0.11787  -0.0622   0.0773   0.8268
  11.000   0.8660   0.12558   0.12257  -0.0560   0.0759   0.8273
  11.500   0.8097   0.14703   0.14398  -0.0818   0.0701   0.8272
  12.000   0.8262   0.15424   0.15119  -0.0848   0.0677   0.8272
  12.500   0.8566   0.15987   0.15686  -0.0830   0.0662   0.8272
  13.000   0.8356   0.17388   0.17082  -0.0986   0.0621   0.8268
  13.500   0.8529   0.18100   0.17796  -0.1026   0.0590   0.8268
  14.000   0.8819   0.18735   0.18433  -0.1029   0.0576   0.8269
  14.500   0.6208   0.17084   0.16800  -0.0724   0.0591   0.8296
  15.000   0.6498   0.17710   0.17428  -0.0726   0.0574   0.8297
  15.500   0.9154   0.21208   0.20907  -0.1241   0.0506   0.8276
  16.000   0.9523   0.22058   0.21761  -0.1218   0.0494   0.8282
  16.500   0.9468   0.22791   0.22491  -0.1370   0.0470   0.8280
  17.000   0.9660   0.23481   0.23183  -0.1423   0.0447   0.8281
  17.500   0.9881   0.24131   0.23835  -0.1458   0.0434   0.8284
  18.000   1.0151   0.25067   0.24773  -0.1471   0.0426   0.8289
