Filename  Powerreq Sreq Wingspan
ah79k132 396.11 3.4354 2.6212 
ah79k143 388.85 3.5653 2.6703 
ah80129 365.37 3.9683 2.8172 
ah80136 318.63 5.0083 3.1649 
ah80140 357.99 4.0589 2.8492 
ah82150a 354.61 4.0589 2.8492 
ah82150f 375.19 4.0274 2.8381 
ah83150q 431.08 3.0907 2.4862 
ah83159 334.94 4.7962 3.0972 
ah85l120 302.85 7.7838 3.9456 
ah88k136 327.02 5.6465 3.3605 
ah93156 336.70 4.6578 3.0522 
ah93157 333.88 4.6409 3.0466 
ah93k130 398.23 3.4979 2.6449 
ah93k131 335.52 5.0533 3.1791 
ah93w145 339.12 4.3158 2.9379 
ah93w174 346.49 4.1685 2.8874 
ah93w215 368.75 3.7560 2.7408 
ah93w257 368.30 4.1859 2.8934 
ah93w300 388.61 3.5835 2.6771 
ah93w480b 470.99 2.9673 2.4361 
ah94156 370.55 3.7864 2.7519 
ah94w301 374.68 3.9217 2.8006 
ames01 335.84 4.2021 2.8990 
ames03 324.05 4.6455 3.0481 
amsoil1 342.53 4.2211 2.9055 
amsoil2 302.28 5.3073 3.2580 
apex16 359.41 4.1196 2.8704 
arad13 397.69 3.3107 2.5732 
arad20 371.27 3.7016 2.7209 
atr72sm 398.86 3.2115 2.5344 
august160 342.75 4.5655 3.0217 
avistar 358.24 3.8978 2.7921 
b29root 308.76 5.3661 3.2760 
b707a 303.93 5.3133 3.2598 
b707b 311.57 4.8660 3.1196 
b737a 334.08 4.3237 2.9407 
b737b 342.57 4.0240 2.8369 
bacj 315.91 10.5968 4.6036 
bambino6 360.47 3.8100 2.7604 
boe103 412.97 3.1489 2.5095 
boe106 390.31 3.3890 2.6035 
c141a 334.29 4.5272 3.0091 
c141b 337.68 4.4148 2.9715 
c141c 326.46 4.5893 3.0296 
c141d 332.57 4.4079 2.9691 
c141e 332.88 4.3900 2.9631 
c5a 313.51 5.1781 3.2181 
c5b 326.72 4.6547 3.0511 
c5c 327.03 4.6287 3.0426 
