Filename  Score  S*cd_c  Dc  L/D_c  LDc  Cm  Cmc  WF  WFs
mrc-20  10.00 0.0133   10 289.04   10 -0.4587    8 1.24   10 
goe392   9.80 0.0726    9  71.44   10 -0.8426    1 1.08   10 
s7055   9.65 0.0118   10 342.74   10 -0.4972    8 1.25    9 
goe613   9.65 0.0079   10 563.93   10 -0.5879    6 1.25    9 
goe479   9.65 0.0142   10 327.73   10 -0.6140    5 1.32    9 
e335   9.65 0.0208   10 168.77   10 -0.0956   10 1.27    9 
e327   9.65 0.0203   10 180.00   10 -0.1704   10 1.25    9 
davis   9.65 0.0695   10  66.79   10 -0.6900    3 1.29    9 
mh120   9.35 0.0731    9  61.18    9 -0.6155    5 1.18   10 
usa27   9.30 0.0126   10 384.85   10 -0.6324    5 1.32    8 
raf33   9.30 0.0216   10 197.80   10 -0.3707    9 1.36    8 
goe167   9.30 0.0188   10 225.14   10 -0.5064    8 1.32    8 
e338   9.30 0.0142   10 301.62   10 -0.3404   10 1.36    8 
e337   9.30 0.0138   10 291.84   10 -0.2611   10 1.34    8 
naca2411   9.20 0.0676   10  60.36    9 -0.5442    7 1.31    9 
goe673   9.10 0.0702   10  58.67    8 -0.6075    5 1.13   10 
goe548   9.10 0.0720   10  59.55    8 -0.6614    4 1.09   10 
s4022   8.95 0.0125   10 413.40   10 -0.9190    1 1.39    7 
goe593   8.95 0.0702   10  69.03   10 -0.6831    4 1.41    7 
e433   8.95 0.0280   10 137.65   10 -0.5372    7 1.42    7 
e222   8.85 0.0635   10  62.93    9 -0.5874    6 1.32    8 
rg1410   8.65 0.0659   10  55.19    7 -0.4066    9 1.23   10 
goe547   8.65 0.0748    9  63.90    9 -0.8031    2 1.36    8 
e214   8.60 0.0664   10  74.23   10 -0.8418    1 1.45    6 
e212   8.60 0.0626   10  68.54   10 -0.7119    3 1.43    6 
k3311   8.55 0.0727    9  59.40    8 -0.5800    6 1.31    9 
goe438   8.50 0.0714   10  62.07    9 -0.5601    6 1.42    7 
goe389   8.50 0.0707   10  63.95    9 -0.6051    5 1.41    7 
clarkysm   8.50 0.0708   10  65.71    9 -0.6541    4 1.41    7 
n10   8.40 0.0751    9  66.91   10 -0.5026    8 1.44    6 
hq3011   8.40 0.0717   10  58.65    8 -0.5909    6 1.36    8 
e211   8.40 0.0683   10  58.89    8 -0.6162    5 1.33    8 
wb13535sm   8.35 0.0785    8  60.05    8 -0.6900    3 1.28    9 
rg8   8.30 0.0678   10  55.36    7 -0.5416    7 1.31    9 
df101   8.30 0.0684   10  56.44    7 -0.4674    8 1.27    9 
raf32md   8.30 0.0733    9  64.63    9 -0.7983    2 1.39    7 
v43015   8.25 0.0282   10 141.37   10 -0.1753   10 1.49    5 
n11   8.25 0.0706   10  74.28   10 -0.6095    5 1.50    5 
k3311sm   8.20 0.0726    9  59.46    8 -0.5841    6 1.33    8 
goe629   8.20 0.0762    9  60.20    8 -0.6681    4 1.36    8 
goe505   8.20 0.0805    8  68.07   10 -0.8042    2 1.45    6 
clarkv   8.20 0.0762    9  58.78    8 -0.7054    3 1.37    8 
goe546   8.15 0.0681   10  66.01    9 -0.6781    4 1.43    6 
clarky   8.15 0.0708   10  60.78    9 -0.5960    6 1.46    6 
clarkw   8.15 0.0708   10  63.75    9 -0.6381    4 1.43    6 
goe477   8.10 0.0785    8  63.36    9 -0.7293    3 1.41    7 
e393   8.10 0.0774    8  62.59    9 -0.7770    2 1.42    7 
goe591   8.05 0.0724    9  68.36   10 -0.6908    3 1.47    5 
df102   8.05 0.0671   10  56.97    8 -0.4388    9 1.42    7 
vr1   8.00 0.0731    9  52.18    6 -0.4526    8 1.09   10 
fx68h120   8.00 0.0765    9  49.41    6 -0.3265   10 1.16   10 
goe414   7.95 0.0769    9  64.92    9 -0.7583    2 1.43    6 
fx601001   7.95 0.0734    9  63.23    9 -0.7560    2 1.43    6 
goe330   7.90 0.0683   10  76.02   10 -0.7562    2 1.53    4 
e201   7.90 0.0794    8  53.08    7 -0.5881    6 1.30    9 
curtisc72   7.90 0.0720   10  75.63   10 -0.5868    6 1.51    4 
goe436   7.85 0.0727    9  59.79    8 -0.5448    7 1.42    7 
clarkx   7.85 0.0729    9  59.15    8 -0.6188    5 1.38    7 
clarkk   7.85 0.0724    9  59.54    8 -0.6061    5 1.39    7 
boe106   7.85 0.0767    9  57.00    8 -0.5359    7 1.42    7 
e205   7.80 0.0791    8  49.79    6 -0.4308    9 1.24   10 
clarkyh   7.80 0.0810    8  52.26    6 -0.2872   10 1.24   10 
s2091   7.80 0.0707   10  61.33    9 -0.5446    7 1.50    5 
goe682   7.80 0.0699   10  66.46    9 -0.6582    4 1.47    5 
naca4415   7.75 0.0799    8  63.89    9 -0.7664    2 1.44    6 
lds2   7.75 0.0754    9  53.26    7 -0.4897    8 1.34    8 
goe701   7.70 0.0758    9  67.98   10 -0.7767    2 1.51    4 
goe617   7.70 0.0829    7  55.35    7 -0.5535    6 1.31    9 
goe611   7.70 0.0768    9  68.64   10 -0.7154    3 1.53    4 
goe365   7.70 0.0747    9  69.63   10 -0.6876    3 1.55    4 
e853   7.70 0.0826    7  53.94    7 -0.7669    2 1.27    9 
goe632   7.60 0.0863    6  57.94    8 -0.6179    5 1.35    8 
raf32   7.55 0.0841    7  62.63    9 -0.9270    1 1.45    6 
mrc-16   7.55 0.0784    8  56.82    7 -0.5832    6 1.38    8 
goe176   7.55 0.0720   10  72.54   10 -0.7777    2 1.58    3 
e193   7.55 0.0775    8  54.95    7 -0.5711    6 1.33    8 
c141e   7.55 0.0769    9  47.13    5 -0.4915    8 1.24   10 
c141d   7.55 0.0772    9  46.66    5 -0.4838    8 1.22   10 
oaf102   7.50 0.0768    9  58.95    8 -0.7832    2 1.46    6 
hq3512   7.50 0.0760    9  57.62    8 -0.6232    5 1.46    6 
goe796   7.50 0.0759    9  57.27    8 -0.6323    5 1.44    6 
goe285   7.50 0.0729    9  57.12    8 -0.5015    8 1.45    6 
e392   7.50 0.0760    9  59.12    8 -0.6552    4 1.42    6 
raf38   7.45 0.0803    8  52.54    6 -0.5167    7 1.24    9 
raf31   7.45 0.0775    8  51.29    6 -0.5485    7 1.25    9 
goe723   7.40 0.0784    8  62.31    9 -0.7572    2 1.50    5 
goe693   7.40 0.0759    9  56.21    7 -0.6205    5 1.41    7 
goe509   7.40 0.0781    8  65.11    9 -0.6415    4 1.48    5 
raf48   7.35 0.0851    7  53.69    7 -0.5445    7 1.33    8 
m685   7.35 0.0796    8  46.95    5 -0.3519   10 1.17   10 
goe398   7.35 0.0768    9  66.82   10 -0.6749    4 1.56    3 
e207   7.35 0.0810    8  48.51    5 -0.4530    8 1.22   10 
hq2511   7.30 0.0744    9  51.65    6 -0.4892    8 1.33    8 
sg6042   7.25 0.0742    9  62.81    9 -0.7515    3 1.53    4 
goe619   7.25 0.0753    9  65.08    9 -0.7302    3 1.51    4 
boe103   7.25 0.0743    9  62.15    9 -0.5977    5 1.52    4 
usa27m2   7.20 0.0842    7  60.64    9 -0.6832    3 1.49    5 
mh115   7.20 0.0722   10  78.23   10 -0.9679    1 1.68    2 
goe406   7.20 0.0255   10 176.49   10 -0.5182    7 1.63    2 
e216   7.20 0.0687   10  82.48   10 -1.0933    1 1.65    2 
tsagi12   7.15 0.0855    7  46.97    5 -0.3874    9 1.10   10 
sd7034   7.15 0.0727    9  60.14    8 -0.5470    7 1.49    5 
s4310   7.15 0.0758    9  58.98    8 -0.5674    6 1.50    5 
goe623   7.15 0.0736    9  58.48    8 -0.5555    6 1.48    5 
goe504   7.15 0.0913    5  60.63    9 -0.8100    2 1.44    6 
goe497   7.15 0.0786    8  68.32   10 -0.9162    1 1.59    3 
e854   7.15 0.0866    6  53.74    7 -0.7685    2 1.32    8 
s4233   7.10 0.0816    8  49.87    6 -0.5209    7 1.34    8 
usa35b   7.05 0.0788    8  66.21    9 -0.5381    7 1.54    4 
goe530   7.05 0.0791    8  65.57    9 -0.6209    5 1.54    4 
goe478   7.05 0.0774    8  64.89    9 -0.7302    3 1.53    4 
mh70   7.05 0.0723    9  53.55    7 -0.3931    9 1.45    6 
naca6412   7.00 0.0745    9  71.93   10 -0.8622    1 1.66    2 
hq2512   7.00 0.0789    8  46.93    5 -0.4569    8 1.31    9 
goe363   7.00 0.0725    9  71.14   10 -0.6864    3 1.62    2 
fx79w151a   7.00 0.0859    7  52.59    7 -0.5828    6 1.39    7 
fx63110   7.00 0.0744    9  72.66   10 -0.9205    1 1.68    2 
gs1   6.95 0.0806    8  58.85    8 -0.7196    3 1.49    5 
e197   6.95 0.0879    6  47.63    5 -0.5490    7 1.24   10 
vr7   6.90 0.0822    7  50.38    6 -0.4214    9 1.32    8 
goe480   6.90 0.0770    9  66.42    9 -0.7557    2 1.58    3 
clarkz   6.90 0.0727    9  62.91    9 -0.6174    5 1.56    3 
usnps4   6.85 0.0705   10  73.72   10 -0.7675    2 1.77    1 
usa48   6.80 0.0832    7  45.34    5 -0.4658    8 1.25    9 
usa45m   6.80 0.0854    7  46.05    5 -0.3681    9 1.31    9 
psu-90-125wl   6.80 0.0844    7  45.68    5 -0.4911    8 1.31    9 
s3010   6.80 0.0704   10  52.58    6 -0.3774    9 1.44    6 
goe430   6.80 0.0782    8  68.22   10 -0.9524    1 1.66    2 
n2414   6.75 0.0792    8  49.88    6 -0.4759    8 1.39    7 
m15   6.75 0.0813    8  50.98    6 -0.4582    8 1.40    7 
hq3012   6.75 0.0798    8  51.24    6 -0.5533    6 1.41    7 
goe584   6.75 0.0822    7  60.26    8 -0.6778    4 1.50    5 
wb140   6.70 0.0886    6  52.06    6 -0.6528    4 1.35    8 
tempest2   6.70 0.0841    7  43.57    4 -0.4271    9 1.04   10 
mh18   6.70 0.0854    7  42.68    4 -0.3635    9 1.13   10 
goe615   6.70 0.0804    8  65.94    9 -0.7254    3 1.56    3 
goe493   6.70 0.0864    6  50.35    6 -0.6681    4 1.34    8 
fx60126   6.70 0.0783    8  60.27    9 -0.7412    3 1.60    3 
e395   6.70 0.0808    8  66.70    9 -0.9912    1 1.55    3 
c5d   6.70 0.0834    7  41.80    4 -0.4995    8 1.23   10 
c141c   6.70 0.0820    7  43.59    4 -0.4843    8 1.14   10 
goe550   6.65 0.0843    7  54.51    7 -0.7407    3 1.45    6 
usa28   6.60 0.0896    6  45.97    5 -0.6185    5 1.28    9 
spicasm   6.60 0.0811    8  59.02    8 -0.6058    5 1.53    4 
e434   6.60 0.0935    5  54.19    7 -0.7346    3 1.39    7 
e210   6.60 0.0806    8  58.71    8 -0.7502    3 1.54    4 
defcnd3   6.60 0.0751    9  52.18    6 -0.3847    9 1.43    6 
clarym15   6.60 0.0790    8  59.37    8 -0.6318    5 1.53    4 
goe600   6.55 0.0809    8  44.86    4 -0.4369    9 1.30    9 
goe476   6.55 0.0891    6  59.89    8 -0.7913    2 1.48    5 
fx84w127   6.55 0.0850    7  52.49    6 -0.6075    5 1.39    7 
raf34   6.50 0.0875    6  44.16    4 -0.3435   10 1.19   10 
goe412   6.50 0.0835    7  61.01    9 -0.7907    2 1.56    3 
goe256   6.50 0.0831    7  61.96    9 -0.7477    3 1.56    3 
s8055   6.45 0.0830    7  47.46    5 -0.4410    8 1.36    8 
