  
       XFOIL         Version 6.96
  
 Calculated polar for: A18 (smoothed)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000   0.0001   0.01553   0.00799  -0.0911   0.9951   0.0885
  -2.500   0.0819   0.01472   0.00723  -0.0969   0.9880   0.1326
  -1.500   0.2415   0.01347   0.00640  -0.1078   0.9692   0.2656
  -0.500   0.3935   0.01110   0.00587  -0.1162   0.9495   0.7818
   1.500   0.6620   0.00974   0.00427  -0.1225   0.8747   1.0000
   2.000   0.7184   0.00971   0.00419  -0.1217   0.8459   1.0000
   2.500   0.7710   0.00971   0.00407  -0.1198   0.8026   1.0000
   3.000   0.8234   0.00991   0.00416  -0.1181   0.7575   1.0000
   3.500   0.8758   0.01026   0.00445  -0.1168   0.7149   1.0000
   4.000   0.9271   0.01069   0.00480  -0.1152   0.6667   1.0000
   4.500   0.9757   0.01122   0.00518  -0.1131   0.6012   1.0000
   5.000   1.0217   0.01198   0.00571  -0.1107   0.5136   1.0000
   5.500   1.0586   0.01362   0.00656  -0.1071   0.3303   1.0000
   6.000   1.0876   0.01679   0.00847  -0.1033   0.1248   1.0000
   6.500   1.1203   0.01975   0.01092  -0.0994   0.0586   1.0000
