  
       XFOIL         Version 6.96
  
 Calculated polar for: AG09                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3938   0.04669   0.04266  -0.0279   1.0000   0.0568
  -4.500  -0.3442   0.04014   0.03580  -0.0307   1.0000   0.0647
  -4.000  -0.2908   0.03259   0.02774  -0.0335   1.0000   0.0725
  -3.500  -0.2227   0.01911   0.01229  -0.0343   1.0000   0.0404
  -3.000  -0.1669   0.01488   0.00735  -0.0336   1.0000   0.0453
  -2.500  -0.1126   0.01292   0.00524  -0.0328   1.0000   0.0598
  -2.000  -0.0591   0.01149   0.00381  -0.0320   1.0000   0.0871
  -1.500  -0.0062   0.01049   0.00297  -0.0313   1.0000   0.1319
  -1.000   0.0463   0.00944   0.00238  -0.0308   1.0000   0.2273
  -0.500   0.0952   0.00699   0.00213  -0.0289   1.0000   1.0000
   0.000   0.1467   0.00710   0.00205  -0.0281   1.0000   1.0000
   0.500   0.1980   0.00729   0.00217  -0.0275   1.0000   1.0000
   1.000   0.2930   0.00731   0.00215  -0.0356   0.9574   1.0000
   1.500   0.3615   0.00735   0.00210  -0.0369   0.8746   1.0000
   2.000   0.4084   0.00772   0.00213  -0.0333   0.7664   1.0000
   2.500   0.4566   0.00836   0.00226  -0.0307   0.6450   1.0000
   3.000   0.5071   0.00917   0.00255  -0.0292   0.5218   1.0000
   3.500   0.5588   0.01005   0.00299  -0.0283   0.4184   1.0000
   4.000   0.6113   0.01094   0.00359  -0.0276   0.3365   1.0000
   4.500   0.6640   0.01182   0.00427  -0.0271   0.2678   1.0000
   5.000   0.7167   0.01272   0.00509  -0.0267   0.2041   1.0000
   5.500   0.7687   0.01379   0.00600  -0.0263   0.1350   1.0000
   6.000   0.8181   0.01598   0.00789  -0.0255   0.0568   1.0000
   6.500   0.8656   0.01893   0.01093  -0.0240   0.0346   1.0000
   7.000   0.9120   0.02248   0.01475  -0.0224   0.0269   1.0000
   7.500   0.9579   0.02680   0.01962  -0.0206   0.0242   1.0000
   8.000   0.9972   0.03344   0.02718  -0.0185   0.0241   1.0000
   8.500   1.0116   0.04591   0.04116  -0.0164   0.0274   1.0000
