  
       XFOIL         Version 6.96
  
 Calculated polar for: AG46c -03f                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4724   0.05886   0.05509  -0.0198   1.0000   0.0442
  -4.500  -0.4428   0.04823   0.04439  -0.0232   1.0000   0.0470
  -3.500  -0.3452   0.03396   0.02898  -0.0290   1.0000   0.0721
  -3.000  -0.2968   0.02881   0.02369  -0.0296   1.0000   0.0893
  -2.500  -0.2271   0.01801   0.01089  -0.0272   1.0000   0.0319
  -2.000  -0.1720   0.01414   0.00659  -0.0261   1.0000   0.0335
  -1.500  -0.1183   0.01185   0.00432  -0.0254   1.0000   0.0485
  -1.000  -0.0644   0.00961   0.00289  -0.0253   1.0000   0.2174
  -0.500  -0.0128   0.00688   0.00263  -0.0234   1.0000   1.0000
   0.000   0.0396   0.00692   0.00241  -0.0232   1.0000   1.0000
   0.500   0.1312   0.00701   0.00218  -0.0306   0.9203   1.0000
   1.000   0.1885   0.00726   0.00202  -0.0297   0.8356   1.0000
   1.500   0.2389   0.00766   0.00201  -0.0278   0.7803   1.0000
   2.000   0.2907   0.00810   0.00214  -0.0264   0.7364   1.0000
   2.500   0.3433   0.00858   0.00238  -0.0252   0.6962   1.0000
   3.000   0.3970   0.00880   0.00251  -0.0244   0.6516   1.0000
   3.500   0.4505   0.00898   0.00258  -0.0234   0.5993   1.0000
   4.000   0.5038   0.00930   0.00271  -0.0225   0.5355   1.0000
   4.500   0.5567   0.00982   0.00301  -0.0217   0.4610   1.0000
   5.000   0.6092   0.01053   0.00344  -0.0211   0.3772   1.0000
   5.500   0.6614   0.01145   0.00408  -0.0207   0.2896   1.0000
   6.000   0.7132   0.01260   0.00494  -0.0203   0.2125   1.0000
   6.500   0.7647   0.01388   0.00605  -0.0199   0.1581   1.0000
   7.000   0.8157   0.01529   0.00742  -0.0195   0.1183   1.0000
   7.500   0.8650   0.01710   0.00915  -0.0188   0.0870   1.0000
   8.000   0.9140   0.01899   0.01119  -0.0181   0.0630   1.0000
   8.500   0.9614   0.02147   0.01394  -0.0170   0.0465   1.0000
   9.000   1.0060   0.02492   0.01770  -0.0158   0.0362   1.0000
   9.500   1.0482   0.02882   0.02202  -0.0145   0.0297   1.0000
  10.000   1.0801   0.03547   0.02964  -0.0128   0.0261   1.0000
  10.500   1.0991   0.04311   0.03824  -0.0114   0.0239   1.0000
  11.000   1.0862   0.05404   0.05013  -0.0114   0.0238   1.0000
  11.500   1.0436   0.06631   0.06295  -0.0179   0.0245   1.0000
  12.000   0.9920   0.08716   0.08408  -0.0366   0.0260   1.0000
  12.500   0.9355   0.11483   0.11168  -0.0521   0.0302   1.0000
