  
       XFOIL         Version 6.96
  
 Calculated polar for: AH21 7% version (Andrew Hollom)                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4876   0.02990   0.02365  -0.0336   1.0000   0.0492
  -4.500  -0.4404   0.02462   0.01768  -0.0322   1.0000   0.0434
  -4.000  -0.3933   0.02179   0.01427  -0.0306   1.0000   0.0449
  -3.500  -0.3457   0.01944   0.01152  -0.0289   1.0000   0.0454
  -3.000  -0.2798   0.01777   0.00968  -0.0310   0.9955   0.0484
  -2.500  -0.2112   0.01682   0.00871  -0.0340   0.9882   0.0598
  -2.000  -0.1431   0.01477   0.00801  -0.0378   0.9826   0.3398
  -1.500  -0.0939   0.01358   0.00862  -0.0360   0.9732   0.7879
  -1.000  -0.0079   0.01363   0.00880  -0.0414   0.9663   1.0000
  -0.500   0.0711   0.01406   0.00895  -0.0468   0.9577   1.0000
   0.000   0.1407   0.01419   0.00891  -0.0500   0.9453   1.0000
   0.500   0.2123   0.01426   0.00886  -0.0534   0.9326   1.0000
   1.000   0.2872   0.01415   0.00869  -0.0572   0.9193   1.0000
   1.500   0.3663   0.01376   0.00831  -0.0614   0.9053   1.0000
   2.000   0.4503   0.01297   0.00758  -0.0660   0.8906   1.0000
   2.500   0.5394   0.01171   0.00645  -0.0710   0.8751   1.0000
   3.000   0.6133   0.01067   0.00553  -0.0730   0.8486   1.0000
   3.500   0.6878   0.00984   0.00479  -0.0752   0.7999   1.0000
   4.000   0.7601   0.00974   0.00436  -0.0770   0.6780   1.0000
   4.500   0.7876   0.01110   0.00471  -0.0705   0.4835   1.0000
   5.000   0.8064   0.01296   0.00557  -0.0636   0.2954   1.0000
   5.500   0.8355   0.01486   0.00673  -0.0591   0.1667   1.0000
   6.000   0.8710   0.01656   0.00810  -0.0556   0.1127   1.0000
   6.500   0.9091   0.01825   0.00971  -0.0526   0.0874   1.0000
   7.000   0.9500   0.02009   0.01156  -0.0501   0.0726   1.0000
   7.500   0.9948   0.02229   0.01382  -0.0484   0.0623   1.0000
   8.000   1.0459   0.02553   0.01712  -0.0481   0.0544   1.0000
   8.500   1.0913   0.02788   0.01990  -0.0463   0.0494   1.0000
   9.000   1.1347   0.03102   0.02332  -0.0446   0.0451   1.0000
   9.500   1.1666   0.03625   0.02921  -0.0414   0.0416   1.0000
  10.000   1.1848   0.04104   0.03477  -0.0360   0.0389   1.0000
  10.500   1.2029   0.04448   0.03851  -0.0315   0.0357   1.0000
  11.000   1.1973   0.05134   0.04584  -0.0253   0.0340   1.0000
  11.500   1.1555   0.05918   0.05427  -0.0158   0.0335   1.0000
  12.000   1.1137   0.06634   0.06192  -0.0096   0.0334   1.0000
  12.500   1.0665   0.07585   0.07182  -0.0082   0.0335   1.0000
  13.000   0.9130   0.11601   0.11268  -0.0334   0.0448   1.0000
  13.500   0.6938   0.14679   0.14366  -0.0507   0.0713   1.0000
  14.000   0.8424   0.16138   0.15784  -0.0590   0.0611   1.0000
  14.500   0.8557   0.16857   0.16506  -0.0614   0.0565   1.0000
  15.000   0.8710   0.17765   0.17416  -0.0622   0.0538   1.0000
  15.500   0.8609   0.18810   0.18454  -0.0727   0.0492   1.0000
  16.000   0.8760   0.19508   0.19154  -0.0755   0.0454   1.0000
  16.500   0.9008   0.20446   0.20098  -0.0747   0.0431   1.0000
  17.000   0.8958   0.21247   0.20892  -0.0845   0.0419   1.0000
  17.500   0.9058   0.21981   0.21625  -0.0900   0.0370   1.0000
  18.000   0.9249   0.22623   0.22271  -0.0921   0.0346   1.0000
