  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1958   0.01998   0.01297  -0.0980   0.9653   0.0478
  -4.500  -0.1238   0.01822   0.01092  -0.1013   0.9571   0.0569
  -4.000  -0.0552   0.01634   0.00896  -0.1041   0.9485   0.0695
  -3.500   0.0217   0.01444   0.00724  -0.1088   0.9417   0.1128
  -3.000   0.0903   0.01289   0.00665  -0.1123   0.9315   0.3538
  -2.500   0.1713   0.01260   0.00641  -0.1169   0.9253   0.4552
  -2.000   0.2344   0.01247   0.00632  -0.1177   0.9126   0.5110
  -1.500   0.2972   0.01228   0.00615  -0.1183   0.8996   0.5570
  -1.000   0.3585   0.01200   0.00587  -0.1186   0.8855   0.5943
  -0.500   0.4171   0.01170   0.00561  -0.1183   0.8705   0.6281
   0.000   0.4740   0.01139   0.00534  -0.1176   0.8538   0.6647
   0.500   0.5297   0.01103   0.00506  -0.1166   0.8358   0.7025
   1.000   0.5808   0.01076   0.00497  -0.1148   0.8143   0.7522
   1.500   0.6310   0.01024   0.00473  -0.1125   0.7925   0.8447
   2.000   0.6948   0.01002   0.00452  -0.1137   0.7667   1.0000
   2.500   0.7506   0.01013   0.00451  -0.1132   0.7395   1.0000
   3.000   0.8048   0.01029   0.00456  -0.1124   0.7087   1.0000
   3.500   0.8582   0.01053   0.00470  -0.1113   0.6754   1.0000
   4.000   0.9095   0.01084   0.00491  -0.1099   0.6347   1.0000
   4.500   0.9607   0.01129   0.00525  -0.1086   0.5967   1.0000
   5.000   1.0101   0.01182   0.00571  -0.1070   0.5535   1.0000
   5.500   1.0573   0.01244   0.00625  -0.1052   0.5034   1.0000
   6.000   1.1025   0.01317   0.00690  -0.1030   0.4475   1.0000
   6.500   1.1442   0.01412   0.00768  -0.1004   0.3777   1.0000
   7.000   1.1778   0.01571   0.00879  -0.0969   0.2729   1.0000
   7.500   1.2077   0.01782   0.01034  -0.0932   0.1708   1.0000
   8.000   1.2347   0.02030   0.01235  -0.0892   0.0924   1.0000
   8.500   1.2515   0.02355   0.01534  -0.0835   0.0481   1.0000
   9.000   1.2672   0.02633   0.01820  -0.0777   0.0374   1.0000
   9.500   1.2782   0.03004   0.02193  -0.0719   0.0325   1.0000
  10.000   1.3052   0.03306   0.02521  -0.0682   0.0301   1.0000
  10.500   1.3313   0.03624   0.02860  -0.0649   0.0272   1.0000
  11.500   1.3879   0.04701   0.04011  -0.0598   0.0244   1.0000
  12.000   1.3898   0.05305   0.04674  -0.0554   0.0241   1.0000
  12.500   1.3758   0.06032   0.05461  -0.0514   0.0241   1.0000
  13.000   1.3495   0.06889   0.06373  -0.0490   0.0242   1.0000
  13.500   1.3148   0.07903   0.07436  -0.0493   0.0244   1.0000
  14.000   1.2748   0.09132   0.08707  -0.0526   0.0246   1.0000
  14.500   1.2369   0.10524   0.10136  -0.0585   0.0250   1.0000
  15.000   1.2019   0.11936   0.11583  -0.0679   0.0253   1.0000
  16.500 NaN      NaN       NaN       NaN        0.0454   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
