  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 81-131                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3190   0.04078   0.03478  -0.0459   0.7963   0.0835
  -4.500  -0.2823   0.03691   0.03086  -0.0462   0.7897   0.1014
  -4.000  -0.2159   0.02986   0.02214  -0.0404   0.7856   0.0308
  -3.500  -0.1663   0.02743   0.01947  -0.0385   0.7829   0.0337
  -3.000  -0.1215   0.02620   0.01816  -0.0384   0.7750   0.0338
  -2.500  -0.0815   0.02511   0.01696  -0.0351   0.7711   0.0360
  -2.000  -0.0540   0.02516   0.01686  -0.0314   0.7631   0.0422
  -1.000   0.2550   0.02373   0.01825  -0.0658   0.7617   0.9747
  -0.500   0.3405   0.02342   0.01774  -0.0719   0.7576   0.9889
   0.000   0.4212   0.02323   0.01743  -0.0786   0.7479   1.0000
   0.500   0.4556   0.02305   0.01714  -0.0746   0.7430   1.0000
   1.000   0.4924   0.02394   0.01803  -0.0740   0.7323   1.0000
   1.500   0.5313   0.02371   0.01774  -0.0703   0.7286   1.0000
   2.000   0.5672   0.02453   0.01860  -0.0689   0.7172   1.0000
   2.500   0.6007   0.02530   0.01941  -0.0665   0.7061   1.0000
   3.000   0.6430   0.02517   0.01933  -0.0638   0.6998   1.0000
   3.500   0.6847   0.02498   0.01920  -0.0611   0.6903   1.0000
   4.000   0.7285   0.02427   0.01860  -0.0582   0.6785   1.0000
   4.500   0.7837   0.02241   0.01683  -0.0553   0.6754   1.0000
   5.000   0.8333   0.02064   0.01522  -0.0523   0.6632   1.0000
   5.500   0.8850   0.01862   0.01336  -0.0493   0.6509   1.0000
   6.000   0.9398   0.01588   0.01077  -0.0459   0.6351   1.0000
   6.500   0.9872   0.01498   0.01009  -0.0438   0.5987   1.0000
   7.000   1.0326   0.01435   0.00946  -0.0410   0.5360   1.0000
   7.500   1.0448   0.01617   0.01038  -0.0346   0.3840   1.0000
   8.000   1.0058   0.01959   0.01311  -0.0223   0.2696   1.0000
   8.500   0.9638   0.02351   0.01613  -0.0103   0.1472   1.0000
   9.000   0.9536   0.02683   0.01902  -0.0032   0.0991   1.0000
   9.500   0.9630   0.02932   0.02149   0.0012   0.0791   1.0000
  10.000   0.9752   0.03181   0.02396   0.0049   0.0629   1.0000
  10.500   0.9935   0.03407   0.02637   0.0078   0.0460   1.0000
  11.000   0.9960   0.03787   0.03016   0.0119   0.0246   1.0000
  11.500   1.0032   0.04158   0.03398   0.0155   0.0194   1.0000
  12.000   1.0203   0.04483   0.03746   0.0186   0.0167   1.0000
  12.500   1.0397   0.04811   0.04098   0.0211   0.0147   1.0000
  13.000   1.0562   0.05205   0.04521   0.0236   0.0135   1.0000
  13.500   1.0659   0.05741   0.05096   0.0261   0.0129   1.0000
  14.000   1.0608   0.06433   0.05839   0.0281   0.0127   1.0000
  14.500   1.0419   0.07263   0.06720   0.0290   0.0128   1.0000
  15.000   1.0121   0.08284   0.07792   0.0279   0.0130   1.0000
  15.500   0.9700   0.09626   0.09187   0.0240   0.0134   1.0000
  16.000   0.9123   0.11517   0.11128   0.0151   0.0143   1.0000
  16.500   0.8412   0.14309   0.13953  -0.0007   0.0155   1.0000
  17.000   0.8014   0.16846   0.16482  -0.0123   0.0175   1.0000
  17.500 NaN      NaN       NaN       NaN        0.0190   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
