  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 81-K-144/17                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1121   0.02560   0.01776  -0.0998   0.7861   0.0456
  -4.500  -0.0670   0.02428   0.01632  -0.0978   0.7828   0.0589
  -4.000  -0.0491   0.02425   0.01644  -0.0929   0.7755   0.0837
  -3.500  -0.0128   0.02387   0.01628  -0.0902   0.7707   0.1423
  -3.000   0.0330   0.02296   0.01592  -0.0886   0.7678   0.2739
  -2.000   0.0605   0.02302   0.01800  -0.0734   0.7537   0.8029
  -1.000   0.1148   0.02486   0.01966  -0.0615   0.7391   0.9275
  -0.500   0.2336   0.02533   0.01987  -0.0728   0.7371   0.9615
   1.500   0.5559   0.02787   0.02195  -0.0985   0.7111   1.0000
   2.000   0.6150   0.02739   0.02139  -0.0985   0.7087   1.0000
   3.500   0.6560   0.02900   0.02297  -0.0787   0.6793   1.0000
   4.000   0.6233   0.03189   0.02583  -0.0678   0.6557   1.0000
   4.500   0.6921   0.03126   0.02525  -0.0692   0.6527   1.0000
   5.000   0.7652   0.03032   0.02439  -0.0710   0.6506   1.0000
   6.000   0.8354   0.03169   0.02593  -0.0667   0.6252   1.0000
   6.500   0.9124   0.02990   0.02431  -0.0683   0.6235   1.0000
   7.000   0.9929   0.02760   0.02224  -0.0701   0.6227   1.0000
   7.500   1.0219   0.02838   0.02319  -0.0672   0.6067   1.0000
   8.000   1.1269   0.02090   0.01590  -0.0682   0.5871   1.0000
   8.500   1.1882   0.01900   0.01408  -0.0673   0.5513   1.0000
   9.000   1.2162   0.01954   0.01432  -0.0632   0.4742   1.0000
   9.500   1.2026   0.02322   0.01732  -0.0561   0.3644   1.0000
  10.000   1.1624   0.02934   0.02258  -0.0481   0.2334   1.0000
  10.500   1.1184   0.03656   0.02871  -0.0410   0.0919   1.0000
  11.000   1.1100   0.04187   0.03382  -0.0370   0.0581   1.0000
  11.500   1.1134   0.04645   0.03847  -0.0343   0.0484   1.0000
  12.000   1.1200   0.05081   0.04287  -0.0318   0.0420   1.0000
  12.500   1.1350   0.05442   0.04661  -0.0295   0.0363   1.0000
  13.000   1.1562   0.05732   0.04956  -0.0271   0.0331   1.0000
  13.500   1.1941   0.05902   0.05140  -0.0237   0.0299   1.0000
  14.000   1.2223   0.06202   0.05465  -0.0220   0.0272   1.0000
  14.500   1.2533   0.06545   0.05835  -0.0200   0.0254   1.0000
  16.000 NaN      NaN       NaN       NaN        0.1002   1.0000
  16.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
