  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 82-150 A                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0869   0.02042   0.01236  -0.1046   0.8314   0.0677
  -4.500  -0.0384   0.01893   0.01090  -0.1036   0.8264   0.0799
  -4.000  -0.0023   0.01825   0.01025  -0.1010   0.8177   0.0953
  -3.500   0.0363   0.01602   0.00912  -0.0998   0.8123   0.3086
  -3.000   0.0604   0.01634   0.01092  -0.0932   0.8033   0.7181
  -2.500   0.1086   0.01754   0.01196  -0.0894   0.7984   0.7611
  -2.000   0.1395   0.01882   0.01318  -0.0835   0.7895   0.7889
  -1.500   0.1727   0.01987   0.01420  -0.0752   0.7843   0.8267
  -1.000   0.1915   0.02073   0.01505  -0.0666   0.7745   0.8541
  -0.500   0.2428   0.02059   0.01476  -0.0651   0.7698   0.8715
   0.000   0.2730   0.02084   0.01496  -0.0615   0.7593   0.8779
   0.500   0.3384   0.02036   0.01433  -0.0638   0.7551   0.8819
   1.000   0.3762   0.02066   0.01459  -0.0624   0.7441   0.8870
   1.500   0.4462   0.02002   0.01385  -0.0652   0.7401   0.8891
   2.000   0.4857   0.02024   0.01410  -0.0635   0.7288   0.8926
   2.500   0.5599   0.01959   0.01339  -0.0670   0.7250   0.8950
   3.000   0.6043   0.01982   0.01368  -0.0664   0.7134   0.8982
   4.000   0.7279   0.01918   0.01314  -0.0698   0.6976   0.9035
   4.500   0.7768   0.01915   0.01324  -0.0693   0.6861   0.9067
   5.000   0.8344   0.01887   0.01309  -0.0701   0.6760   0.9107
   5.500   0.9084   0.01812   0.01243  -0.0735   0.6681   0.9134
   6.000   0.9632   0.01780   0.01230  -0.0738   0.6548   0.9170
   6.500   1.0183   0.01732   0.01201  -0.0738   0.6404   0.9212
   7.000   1.0667   0.01627   0.01113  -0.0719   0.6143   0.9274
   7.500   1.0999   0.01522   0.01007  -0.0669   0.5666   0.9348
   8.000   1.1134   0.01536   0.01011  -0.0595   0.5019   0.9467
   8.500   1.1111   0.01713   0.01136  -0.0514   0.3977   0.9737
   9.000   1.0877   0.02158   0.01497  -0.0443   0.2541   1.0000
   9.500   1.0459   0.02864   0.02070  -0.0375   0.0667   1.0000
  10.000   1.0493   0.03315   0.02507  -0.0347   0.0358   1.0000
  10.500   1.0587   0.03732   0.02940  -0.0328   0.0300   1.0000
  11.000   1.0691   0.04155   0.03384  -0.0311   0.0275   1.0000
  11.500   1.0792   0.04595   0.03835  -0.0294   0.0256   1.0000
  12.000   1.0980   0.04983   0.04226  -0.0274   0.0242   1.0000
  12.500   1.1383   0.05249   0.04507  -0.0259   0.0226   1.0000
  13.000   1.1833   0.05553   0.04843  -0.0248   0.0215   1.0000
  13.500   1.2275   0.06036   0.05373  -0.0238   0.0217   1.0000
  14.000   1.2482   0.06798   0.06192  -0.0226   0.0227   1.0000
