  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-W-215                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1467   0.01679   0.00922  -0.0856   0.6728   0.3651
  -4.500  -0.1125   0.01665   0.00933  -0.0817   0.6672   0.4366
  -4.000  -0.0785   0.01671   0.00957  -0.0774   0.6599   0.4893
  -3.500  -0.0349   0.01685   0.00975  -0.0747   0.6533   0.5303
  -3.000   0.0151   0.01718   0.00997  -0.0733   0.6480   0.5647
  -2.500   0.0538   0.01746   0.01039  -0.0698   0.6406   0.5911
  -2.000   0.1005   0.01769   0.01064  -0.0677   0.6340   0.6164
  -1.500   0.1548   0.01791   0.01076  -0.0671   0.6286   0.6400
  -1.000   0.1929   0.01832   0.01130  -0.0636   0.6213   0.6610
  -0.500   0.2399   0.01853   0.01153  -0.0616   0.6143   0.6819
   0.000   0.2955   0.01873   0.01168  -0.0611   0.6091   0.7041
   0.500   0.3307   0.01924   0.01233  -0.0571   0.6013   0.7251
   1.000   0.3782   0.01943   0.01257  -0.0552   0.5942   0.7432
   1.500   0.4386   0.01947   0.01253  -0.0557   0.5890   0.7603
   2.000   0.4656   0.02000   0.01322  -0.0505   0.5803   0.7782
   2.500   0.5158   0.02002   0.01324  -0.0491   0.5735   0.7965
   3.000   0.5756   0.02010   0.01325  -0.0496   0.5684   0.8151
   3.500   0.5927   0.02058   0.01394  -0.0425   0.5584   0.8362
   4.000   0.6517   0.02039   0.01371  -0.0426   0.5526   0.8560
   4.500   0.6786   0.02078   0.01425  -0.0372   0.5441   0.8801
   5.000   0.7216   0.02067   0.01417  -0.0345   0.5364   0.9062
   5.500   0.7971   0.02056   0.01402  -0.0380   0.5302   0.9266
   6.000   0.8564   0.02095   0.01457  -0.0396   0.5195   0.9498
   6.500   0.9634   0.02081   0.01431  -0.0494   0.5123   0.9594
   7.000   1.0428   0.02125   0.01491  -0.0551   0.5007   0.9728
   7.500   1.1304   0.02148   0.01515  -0.0621   0.4906   0.9851
   8.000   1.2220   0.02131   0.01494  -0.0695   0.4799   0.9986
   8.500   1.1719   0.02162   0.01534  -0.0518   0.4706   1.0000
   9.000   1.2218   0.02133   0.01490  -0.0508   0.4613   1.0000
   9.500   1.2056   0.02218   0.01586  -0.0390   0.4499   1.0000
  10.000   1.2358   0.02258   0.01623  -0.0352   0.4388   1.0000
  10.500   1.2753   0.02281   0.01640  -0.0329   0.4268   1.0000
  11.000   1.2760   0.02426   0.01797  -0.0260   0.4134   1.0000
  11.500   1.2901   0.02577   0.01953  -0.0218   0.3998   1.0000
  12.000   1.3109   0.02726   0.02103  -0.0188   0.3861   1.0000
  12.500   1.3330   0.02887   0.02262  -0.0163   0.3717   1.0000
  13.000   1.3521   0.03078   0.02451  -0.0139   0.3565   1.0000
  13.500   1.3634   0.03333   0.02708  -0.0114   0.3409   1.0000
  14.000   1.3636   0.03684   0.03065  -0.0089   0.3249   1.0000
  14.500   1.3645   0.04055   0.03441  -0.0069   0.3086   1.0000
  15.000   1.3647   0.04459   0.03850  -0.0053   0.2924   1.0000
  15.500   1.3645   0.04893   0.04289  -0.0040   0.2764   1.0000
  16.000   1.3640   0.05355   0.04755  -0.0031   0.2607   1.0000
  16.500   1.3629   0.05846   0.05252  -0.0025   0.2453   1.0000
  17.000   1.3605   0.06370   0.05780  -0.0022   0.2300   1.0000
  17.500   1.3567   0.06929   0.06343  -0.0022   0.2150   1.0000
  18.000   1.3515   0.07522   0.06940  -0.0025   0.2002   1.0000
