  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-W-480B                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1828   0.04980   0.03970  -0.0519   0.8780   0.4796
  -4.500  -0.1069   0.04919   0.03904  -0.0597   0.8568   0.4989
  -4.000  -0.0386   0.04909   0.03896  -0.0656   0.8343   0.5207
  -3.500   0.0304   0.04898   0.03885  -0.0716   0.8137   0.5447
  -3.000   0.0987   0.04891   0.03885  -0.0775   0.7932   0.5721
  -2.500   0.1671   0.04889   0.03894  -0.0834   0.7751   0.6033
  -2.000   0.2356   0.04890   0.03902  -0.0893   0.7572   0.6375
  -1.500   0.3037   0.04887   0.03902  -0.0951   0.7400   0.6787
  -1.000   0.3710   0.04906   0.03942  -0.1007   0.7233   0.7224
  -0.500   0.4390   0.04934   0.03989  -0.1066   0.7082   0.7714
   0.000   0.5174   0.04987   0.04055  -0.1153   0.6947   0.8301
   0.500   0.6525   0.05352   0.04445  -0.1402   0.6785   0.8838
   1.000   0.7965   0.05754   0.04856  -0.1675   0.6629   0.9149
   1.500   0.9199   0.06010   0.05096  -0.1886   0.6498   0.9354
   2.500   1.1128   0.06646   0.05705  -0.2172   0.6256   1.0009
   3.000   1.1670   0.06598   0.05650  -0.2205   0.6142   1.0010
   3.500   1.2296   0.06547   0.05573  -0.2257   0.6046   1.0010
   4.000   1.2874   0.06547   0.05570  -0.2295   0.5944   1.0010
   4.500   1.3484   0.06537   0.05545  -0.2340   0.5847   1.0010
   5.000   1.4097   0.06543   0.05539  -0.2387   0.5755   1.0010
   5.500   1.4668   0.06568   0.05560  -0.2422   0.5654   1.0010
   6.000   1.5333   0.06558   0.05527  -0.2482   0.5572   1.0010
   6.500   1.5848   0.06626   0.05606  -0.2503   0.5485   1.0010
   7.000   1.6429   0.06660   0.05633  -0.2541   0.5404   1.0010
   7.500   1.7050   0.06685   0.05643  -0.2591   0.5322   1.0010
   8.000   1.7509   0.06787   0.05755  -0.2597   0.5236   1.0010
   8.500   1.8071   0.06832   0.05792  -0.2631   0.5159   1.0010
   9.000   1.8583   0.06915   0.05871  -0.2652   0.5077   1.0010
   9.500   1.8988   0.07050   0.06016  -0.2646   0.4999   1.0010
  10.000   1.9525   0.07107   0.06060  -0.2674   0.4923   1.0010
  10.500   1.9882   0.07271   0.06232  -0.2657   0.4849   1.0010
  11.000   1.9990   0.07541   0.06515  -0.2577   0.4768   1.0010
  11.500   2.0490   0.07615   0.06577  -0.2598   0.4701   1.0010
  12.000   2.0515   0.07962   0.06943  -0.2503   0.4624   1.0010
  12.500   2.0631   0.08266   0.07258  -0.2434   0.4550   1.0010
  13.000   2.1210   0.08285   0.07258  -0.2476   0.4477   1.0010
  13.500   2.1066   0.08785   0.07788  -0.2354   0.4405   1.0010
  14.000   2.1177   0.09124   0.08137  -0.2296   0.4330   1.0010
  14.500   2.1786   0.09112   0.08109  -0.2347   0.4271   1.0010
  15.000   2.1442   0.09824   0.08856  -0.2205   0.4186   1.0010
  15.500   2.1609   0.10155   0.09192  -0.2171   0.4115   1.0010
  16.000   2.2275   0.10066   0.09083  -0.2232   0.4052   1.0010
  16.500   2.1666   0.11092   0.10155  -0.2070   0.3968   1.0010
  17.000   2.1973   0.11303   0.10362  -0.2070   0.3896   1.0010
  17.500   2.2147   0.11644   0.10709  -0.2053   0.3829   1.0010
  18.000   2.1802   0.12519   0.11613  -0.1965   0.3739   1.0010
