  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA/AMES A-03 AIRFOIL                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3717   0.02045   0.01265  -0.0352   0.9387   0.0484
  -4.500  -0.3169   0.01893   0.01096  -0.0350   0.9347   0.0547
  -4.000  -0.2630   0.01730   0.00934  -0.0352   0.9302   0.0674
  -3.500  -0.2112   0.01600   0.00815  -0.0350   0.9261   0.0965
  -3.000  -0.1720   0.01310   0.00739  -0.0336   0.9183   0.5306
  -2.500  -0.1365   0.01287   0.00806  -0.0274   0.9088   0.7926
  -2.000  -0.0955   0.01329   0.00850  -0.0226   0.8988   0.8702
  -1.500  -0.0555   0.01377   0.00890  -0.0173   0.8889   0.9190
  -1.000   0.0051   0.01413   0.00914  -0.0156   0.8792   0.9599
  -0.500   0.1064   0.01416   0.00900  -0.0228   0.8680   0.9852
   0.000   0.1789   0.01368   0.00841  -0.0254   0.8502   0.9987
   0.500   0.2182   0.01309   0.00775  -0.0219   0.8316   1.0000
   1.000   0.2528   0.01244   0.00703  -0.0172   0.8137   1.0000
   1.500   0.2873   0.01169   0.00623  -0.0121   0.7955   1.0000
   2.000   0.3252   0.01087   0.00538  -0.0075   0.7699   1.0000
   2.500   0.3672   0.01001   0.00449  -0.0034   0.7237   1.0000
   3.000   0.4123   0.01098   0.00370  -0.0009   0.3773   1.0000
   3.500   0.4685   0.01215   0.00437  -0.0022   0.3152   1.0000
   4.000   0.5240   0.01300   0.00500  -0.0029   0.2881   1.0000
   4.500   0.5791   0.01387   0.00573  -0.0033   0.2686   1.0000
   5.000   0.6344   0.01471   0.00651  -0.0037   0.2516   1.0000
   5.500   0.6895   0.01559   0.00739  -0.0041   0.2360   1.0000
   6.000   0.7445   0.01648   0.00832  -0.0045   0.2206   1.0000
   6.500   0.7993   0.01737   0.00928  -0.0049   0.2052   1.0000
   7.000   0.8537   0.01821   0.01024  -0.0053   0.1891   1.0000
   7.500   0.9076   0.01887   0.01103  -0.0057   0.1712   1.0000
   8.000   0.9600   0.01947   0.01166  -0.0060   0.1515   1.0000
   8.500   1.0119   0.01995   0.01239  -0.0064   0.1278   1.0000
   9.000   1.0609   0.02093   0.01348  -0.0064   0.1015   1.0000
   9.500   1.1037   0.02284   0.01532  -0.0058   0.0741   1.0000
  10.000   1.1423   0.02530   0.01793  -0.0046   0.0549   1.0000
  10.500   1.1750   0.02836   0.02115  -0.0028   0.0455   1.0000
  11.000   1.2023   0.03189   0.02483  -0.0007   0.0396   1.0000
  11.500   1.2262   0.03521   0.02850   0.0017   0.0358   1.0000
  12.000   1.2409   0.03927   0.03276   0.0046   0.0333   1.0000
  12.500   1.2415   0.04512   0.03909   0.0076   0.0317   1.0000
  13.000   1.2333   0.05079   0.04528   0.0097   0.0304   1.0000
  13.500   1.2147   0.05823   0.05321   0.0102   0.0295   1.0000
  14.000   1.1831   0.06834   0.06380   0.0075   0.0292   1.0000
  14.500   1.1363   0.08330   0.07925  -0.0009   0.0295   1.0000
  15.000   1.0653   0.10782   0.10423  -0.0181   0.0307   1.0000
  16.000   0.6120   0.17014   0.16679  -0.0343   0.0652   1.0000
  16.500   0.6339   0.17534   0.17204  -0.0340   0.0624   1.0000
  17.000   0.6375   0.18374   0.18044  -0.0364   0.0613   1.0000
  17.500   0.6191   0.18893   0.18562  -0.0427   0.0560   1.0000
  18.000   0.6317   0.19390   0.19064  -0.0440   0.0522   1.0000
