  
       XFOIL         Version 6.96
  
 Calculated polar for: RUTAN CANARD AIRFOIL                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2733   0.02091   0.01303  -0.0686   0.9365   0.0737
  -4.500  -0.2142   0.01935   0.01116  -0.0688   0.9272   0.0795
  -4.000  -0.1622   0.01812   0.00998  -0.0681   0.9146   0.0860
  -3.500  -0.1101   0.01706   0.00893  -0.0672   0.9031   0.0951
  -3.000  -0.0577   0.01616   0.00807  -0.0662   0.8937   0.1082
  -2.500  -0.0062   0.01549   0.00750  -0.0654   0.8814   0.1270
  -2.000   0.0456   0.01483   0.00700  -0.0646   0.8716   0.1560
  -1.500   0.0969   0.01394   0.00653  -0.0638   0.8611   0.2340
  -1.000   0.1274   0.01224   0.00706  -0.0579   0.8499   0.8117
  -0.500   0.1675   0.01244   0.00730  -0.0522   0.8407   0.8837
   0.000   0.2110   0.01272   0.00758  -0.0481   0.8287   0.9305
   0.500   0.2841   0.01281   0.00758  -0.0499   0.8220   0.9655
   1.000   0.3993   0.01303   0.00779  -0.0618   0.8130   0.9901
   1.500   0.4723   0.01250   0.00719  -0.0646   0.7941   1.0000
   2.000   0.5129   0.01195   0.00654  -0.0610   0.7721   1.0000
   2.500   0.5548   0.01149   0.00597  -0.0576   0.7503   1.0000
   3.000   0.5963   0.01119   0.00567  -0.0545   0.7229   1.0000
   3.500   0.6414   0.01096   0.00536  -0.0518   0.6957   1.0000
   4.000   0.6897   0.01082   0.00519  -0.0497   0.6530   1.0000
   4.500   0.7370   0.01094   0.00502  -0.0473   0.5612   1.0000
   5.000   0.7550   0.01410   0.00619  -0.0417   0.2200   1.0000
   5.500   0.7922   0.01600   0.00759  -0.0392   0.1506   1.0000
   6.000   0.8329   0.01755   0.00893  -0.0372   0.1241   1.0000
   6.500   0.8751   0.01900   0.01029  -0.0352   0.1071   1.0000
   7.000   0.9173   0.02060   0.01182  -0.0333   0.0954   1.0000
   7.500   0.9612   0.02236   0.01348  -0.0318   0.0868   1.0000
   8.000   1.0072   0.02397   0.01507  -0.0305   0.0800   1.0000
   8.500   1.0553   0.02600   0.01720  -0.0295   0.0745   1.0000
   9.000   1.1040   0.02805   0.01920  -0.0289   0.0699   1.0000
   9.500   1.1505   0.03060   0.02205  -0.0278   0.0660   1.0000
  10.000   1.1947   0.03296   0.02456  -0.0266   0.0627   1.0000
  10.500   1.2356   0.03642   0.02829  -0.0253   0.0597   1.0000
  11.000   1.2640   0.04022   0.03265  -0.0222   0.0573   1.0000
  11.500   1.2958   0.04318   0.03578  -0.0200   0.0549   1.0000
  12.000   1.3160   0.04821   0.04112  -0.0172   0.0532   1.0000
  12.500   1.2937   0.05392   0.04758  -0.0097   0.0524   1.0000
  13.000   1.2551   0.06112   0.05541  -0.0035   0.0520   1.0000
  13.500   1.2040   0.07054   0.06540  -0.0007   0.0519   1.0000
  14.000   1.1422   0.08301   0.07833  -0.0023   0.0523   1.0000
  14.500   1.0785   0.09885   0.09453  -0.0090   0.0529   1.0000
  15.000   0.8490   0.17667   0.17270  -0.0587   0.0756   1.0000
  15.500   0.8601   0.18414   0.18017  -0.0623   0.0713   1.0000
  16.000   0.8887   0.18867   0.18473  -0.0606   0.0695   1.0000
  16.500   0.8747   0.20140   0.19742  -0.0725   0.0645   1.0000
  17.000   0.8958   0.20705   0.20309  -0.0739   0.0618   1.0000
  17.500   0.9209   0.21437   0.21043  -0.0737   0.0607   1.0000
  18.000   0.9129   0.22384   0.21987  -0.0858   0.0560   1.0000
