  
       XFOIL         Version 6.96
  
 Calculated polar for: ARA-D 6% AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2767   0.07054   0.06735  -0.0405   0.9909   0.0438
  -4.500  -0.1546   0.05848   0.05489  -0.0712   0.9851   0.0516
  -4.000  -0.1055   0.05242   0.04884  -0.0745   0.9773   0.0565
  -3.500   0.0052   0.04266   0.03860  -0.0943   0.9735   0.0663
  -3.000   0.0945   0.03581   0.03123  -0.1054   0.9659   0.0789
  -2.500   0.1820   0.03023   0.02521  -0.1144   0.9615   0.0934
  -2.000   0.2886   0.01875   0.01168  -0.1235   0.9622   0.0473
  -1.500   0.3725   0.01676   0.00939  -0.1289   0.9583   0.0646
  -1.000   0.4460   0.01604   0.00878  -0.1327   0.9484   0.1236
   0.000   0.6029   0.01434   0.00747  -0.1420   0.9330   0.2496
   0.500   0.6655   0.01217   0.00693  -0.1427   0.9201   1.0000
   1.000   0.7289   0.01139   0.00593  -0.1424   0.8972   1.0000
   1.500   0.7863   0.01091   0.00530  -0.1410   0.8740   1.0000
   2.000   0.8395   0.01080   0.00513  -0.1395   0.8481   1.0000
   2.500   0.8931   0.01074   0.00500  -0.1380   0.8191   1.0000
   3.000   0.9462   0.01078   0.00498  -0.1364   0.7838   1.0000
   3.500   0.9983   0.01093   0.00503  -0.1347   0.7392   1.0000
   4.000   1.0488   0.01126   0.00521  -0.1328   0.6784   1.0000
   4.500   1.0957   0.01195   0.00552  -0.1302   0.5841   1.0000
   5.000   1.1320   0.01371   0.00634  -0.1263   0.3995   1.0000
   5.500   1.1680   0.01588   0.00769  -0.1231   0.2731   1.0000
   6.000   1.2103   0.01747   0.00902  -0.1209   0.2233   1.0000
   6.500   1.2536   0.01890   0.01034  -0.1188   0.1892   1.0000
   7.000   1.2963   0.02030   0.01173  -0.1167   0.1598   1.0000
   7.500   1.3371   0.02183   0.01323  -0.1143   0.1345   1.0000
   8.000   1.3773   0.02333   0.01485  -0.1117   0.1125   1.0000
   8.500   1.4132   0.02537   0.01690  -0.1085   0.0945   1.0000
   9.000   1.4486   0.02739   0.01909  -0.1052   0.0801   1.0000
   9.500   1.4801   0.02916   0.02108  -0.1015   0.0666   1.0000
  10.000   1.5066   0.03105   0.02317  -0.0972   0.0549   1.0000
  10.500   1.5245   0.03336   0.02570  -0.0916   0.0445   1.0000
  11.000   1.5343   0.03669   0.02929  -0.0852   0.0334   1.0000
  11.500   1.5377   0.04113   0.03401  -0.0790   0.0266   1.0000
  12.000   1.5425   0.04516   0.03833  -0.0739   0.0226   1.0000
  12.500   1.5338   0.05208   0.04563  -0.0683   0.0207   1.0000
  13.000   1.5246   0.05863   0.05275  -0.0642   0.0197   1.0000
  13.500   1.5051   0.06682   0.06148  -0.0614   0.0190   1.0000
  14.000   1.4762   0.07687   0.07206  -0.0608   0.0186   1.0000
  14.500   1.4394   0.08928   0.08499  -0.0636   0.0185   1.0000
  15.000   1.3965   0.10486   0.10105  -0.0706   0.0187   1.0000
  15.500   1.3488   0.12448   0.12111  -0.0825   0.0191   1.0000
  16.000   1.2949   0.14959   0.14656  -0.0995   0.0200   1.0000
  16.500   0.8847   0.18270   0.17980  -0.0938   0.0360   1.0000
  17.000   0.8752   0.19352   0.19062  -0.0976   0.0368   1.0000
  17.500   0.8573   0.20880   0.20590  -0.1037   0.0504   1.0000
  18.000   0.8738   0.21631   0.21344  -0.1028   0.0477   1.0000
