  
       XFOIL         Version 6.96
  
 Calculated polar for: Smoothed ATR airfoil coordinates obtained  using
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2617   0.01783   0.01031  -0.0465   0.9186   0.0885
  -4.500  -0.2039   0.01660   0.00910  -0.0460   0.8958   0.1020
  -4.000  -0.1534   0.01552   0.00802  -0.0439   0.8682   0.1170
  -3.500  -0.1056   0.01453   0.00701  -0.0412   0.8358   0.1363
  -3.000  -0.0613   0.01344   0.00603  -0.0380   0.7957   0.1710
  -2.500  -0.0218   0.01209   0.00510  -0.0343   0.7482   0.2775
  -2.000   0.0029   0.01048   0.00483  -0.0275   0.6940   0.6409
  -1.500   0.0462   0.01041   0.00480  -0.0231   0.6217   0.7688
  -1.000   0.0957   0.01103   0.00507  -0.0198   0.5341   0.8440
  -0.500   0.1501   0.01197   0.00553  -0.0177   0.4642   0.8975
   0.000   0.2272   0.01308   0.00613  -0.0204   0.4243   0.9297
   0.500   0.3265   0.01399   0.00665  -0.0281   0.3968   0.9509
   1.000   0.4193   0.01462   0.00695  -0.0352   0.3780   0.9694
   1.500   0.5025   0.01497   0.00705  -0.0411   0.3628   0.9821
   2.000   0.5879   0.01527   0.00712  -0.0475   0.3506   0.9938
   2.500   0.6535   0.01543   0.00716  -0.0503   0.3400   1.0000
   3.000   0.6932   0.01583   0.00749  -0.0478   0.3320   1.0000
   3.500   0.7339   0.01620   0.00781  -0.0454   0.3245   1.0000
   4.000   0.7761   0.01686   0.00834  -0.0432   0.3177   1.0000
   4.500   0.8160   0.01730   0.00886  -0.0405   0.3104   1.0000
   5.000   0.8584   0.01793   0.00939  -0.0382   0.3043   1.0000
   5.500   0.8993   0.01872   0.01024  -0.0357   0.2984   1.0000
   6.000   0.9389   0.01933   0.01092  -0.0329   0.2918   1.0000
   6.500   0.9824   0.02017   0.01166  -0.0308   0.2864   1.0000
   7.000   1.0202   0.02108   0.01275  -0.0278   0.2809   1.0000
   7.500   1.0588   0.02181   0.01357  -0.0249   0.2748   1.0000
   8.000   1.1033   0.02278   0.01447  -0.0231   0.2699   1.0000
   8.500   1.1389   0.02389   0.01581  -0.0200   0.2644   1.0000
   9.000   1.1762   0.02478   0.01684  -0.0171   0.2586   1.0000
   9.500   1.2225   0.02578   0.01778  -0.0158   0.2537   1.0000
  10.000   1.2538   0.02711   0.01941  -0.0123   0.2481   1.0000
  10.500   1.2893   0.02816   0.02065  -0.0095   0.2425   1.0000
  11.000   1.3388   0.02922   0.02160  -0.0090   0.2374   1.0000
  11.500   1.3582   0.03080   0.02361  -0.0043   0.2319   1.0000
  12.000   1.3895   0.03181   0.02477  -0.0012   0.2263   1.0000
  12.500   1.4340   0.03300   0.02595  -0.0003   0.2212   1.0000
  13.000   1.4326   0.03491   0.02829   0.0067   0.2157   1.0000
  13.500   1.4544   0.03583   0.02931   0.0109   0.2106   1.0000
  14.000   1.4790   0.03737   0.03093   0.0139   0.2056   1.0000
  14.500   1.4515   0.04072   0.03469   0.0209   0.2006   1.0000
  15.000   1.4808   0.04159   0.03559   0.0228   0.1953   1.0000
  15.500   1.4681   0.04553   0.03979   0.0261   0.1903   1.0000
  16.000   1.4059   0.05413   0.04882   0.0277   0.1852   1.0000
  16.500   1.4832   0.05105   0.04552   0.0287   0.1785   1.0000
  17.000   0.8515   0.16027   0.15545  -0.0225   0.1420   1.0000
  18.000   0.8729   0.17228   0.16760  -0.0283   0.1294   1.0000
