  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING 707 .40 SPAN AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4446   0.04718   0.04190  -0.0148   1.0000   0.0413
  -4.500  -0.3900   0.03662   0.03129  -0.0206   0.9912   0.0448
  -3.500  -0.2368   0.02807   0.02158  -0.0306   0.9638   0.0651
  -3.000  -0.1633   0.02410   0.01747  -0.0356   0.9471   0.0910
  -1.500   0.0664   0.01499   0.00724  -0.0409   0.8315   0.0453
  -1.000   0.1210   0.01402   0.00572  -0.0389   0.7357   0.0423
  -0.500   0.1630   0.01294   0.00436  -0.0357   0.6663   0.0489
   0.000   0.2058   0.01258   0.00351  -0.0326   0.5943   0.0530
   0.500   0.2400   0.01098   0.00267  -0.0285   0.4901   0.4709
   1.000   0.2617   0.01131   0.00321  -0.0209   0.2283   0.8662
   1.500   0.3587   0.01203   0.00380  -0.0286   0.1869   0.9699
   2.000   0.4739   0.01309   0.00424  -0.0415   0.0586   1.0000
   2.500   0.5066   0.01335   0.00445  -0.0377   0.0545   1.0000
   3.000   0.5425   0.01378   0.00483  -0.0342   0.0508   1.0000
   3.500   0.5819   0.01429   0.00535  -0.0313   0.0493   1.0000
   4.000   0.6225   0.01490   0.00599  -0.0286   0.0484   1.0000
   4.500   0.6625   0.01567   0.00681  -0.0258   0.0475   1.0000
   5.000   0.7005   0.01668   0.00791  -0.0227   0.0467   1.0000
   5.500   0.7394   0.01774   0.00902  -0.0199   0.0449   1.0000
   6.000   0.7779   0.01907   0.01047  -0.0170   0.0426   1.0000
   6.500   0.8157   0.02106   0.01249  -0.0141   0.0381   1.0000
   7.000   0.8610   0.02570   0.01716  -0.0127   0.0343   1.0000
   7.500   0.9043   0.02784   0.01966  -0.0106   0.0321   1.0000
   8.000   0.9456   0.03177   0.02406  -0.0083   0.0315   1.0000
   8.500   0.9775   0.03714   0.03004  -0.0051   0.0323   1.0000
   9.000   1.0084   0.04389   0.03719  -0.0024   0.0356   1.0000
