  
       XFOIL         Version 6.96
  
 Calculated polar for: BE50 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3139   0.06135   0.05826  -0.0367   1.0000   0.0487
  -4.500  -0.2611   0.05056   0.04723  -0.0510   1.0000   0.0555
  -4.000  -0.1708   0.03999   0.03609  -0.0675   0.9953   0.0682
  -3.500  -0.0837   0.03239   0.02794  -0.0786   0.9885   0.0826
  -3.000   0.0204   0.01897   0.01242  -0.0879   0.9879   0.0453
  -2.500   0.1112   0.01585   0.00866  -0.0944   0.9810   0.0554
  -2.000   0.2052   0.01388   0.00660  -0.1016   0.9700   0.0783
  -1.500   0.2888   0.01227   0.00530  -0.1072   0.9580   0.1555
  -1.000   0.3683   0.01065   0.00490  -0.1123   0.9450   0.5083
  -0.500   0.4304   0.00911   0.00432  -0.1118   0.9278   1.0000
   0.000   0.4907   0.00891   0.00387  -0.1116   0.9021   1.0000
   0.500   0.5476   0.00876   0.00350  -0.1106   0.8726   1.0000
   1.000   0.6017   0.00874   0.00329  -0.1091   0.8358   1.0000
   1.500   0.6551   0.00882   0.00315  -0.1076   0.7930   1.0000
   2.000   0.7079   0.00905   0.00312  -0.1060   0.7430   1.0000
   2.500   0.7597   0.00943   0.00322  -0.1044   0.6830   1.0000
   3.000   0.8105   0.00998   0.00345  -0.1028   0.6125   1.0000
   3.500   0.8602   0.01072   0.00381  -0.1012   0.5351   1.0000
   4.000   0.9098   0.01159   0.00435  -0.0999   0.4683   1.0000
   4.500   0.9600   0.01249   0.00500  -0.0988   0.4198   1.0000
   5.000   1.0107   0.01339   0.00577  -0.0979   0.3833   1.0000
   5.500   1.0614   0.01428   0.00665  -0.0969   0.3523   1.0000
   6.000   1.1118   0.01518   0.00756  -0.0960   0.3243   1.0000
   6.500   1.1604   0.01595   0.00838  -0.0947   0.2902   1.0000
   7.000   1.2081   0.01660   0.00911  -0.0935   0.2493   1.0000
   7.500   1.2548   0.01743   0.01002  -0.0921   0.2040   1.0000
   8.000   1.2868   0.02040   0.01214  -0.0891   0.0651   1.0000
   8.500   1.3121   0.02416   0.01588  -0.0845   0.0387   1.0000
   9.000   1.3400   0.02710   0.01906  -0.0804   0.0313   1.0000
   9.500   1.3612   0.03110   0.02330  -0.0754   0.0279   1.0000
  10.000   1.3871   0.03467   0.02714  -0.0713   0.0247   1.0000
  10.500   1.4081   0.03985   0.03250  -0.0675   0.0218   1.0000
  11.000   1.4214   0.04674   0.03999  -0.0628   0.0210   1.0000
  11.500   1.4160   0.05243   0.04629  -0.0565   0.0207   1.0000
  12.000   1.3969   0.05942   0.05385  -0.0512   0.0207   1.0000
  12.500   1.3676   0.06808   0.06302  -0.0485   0.0208   1.0000
