  
       XFOIL         Version 6.96
  
 Calculated polar for: LOCKHEED C-141 BL426.57 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5765   0.02027   0.01200  -0.0062   1.0000   0.0625
  -4.500  -0.5129   0.01887   0.01051  -0.0084   0.9960   0.0732
  -4.000  -0.4453   0.01779   0.00946  -0.0115   0.9902   0.0889
  -3.500  -0.3751   0.01684   0.00862  -0.0152   0.9844   0.1160
  -3.000  -0.3119   0.01572   0.00793  -0.0177   0.9765   0.1924
  -2.500  -0.2510   0.01346   0.00790  -0.0200   0.9716   0.6673
  -2.000  -0.1980   0.01336   0.00828  -0.0182   0.9617   0.8254
  -1.500  -0.1358   0.01382   0.00880  -0.0180   0.9537   0.9106
  -1.000  -0.0515   0.01441   0.00927  -0.0230   0.9470   0.9595
  -0.500   0.0886   0.01511   0.00983  -0.0401   0.9496   0.9881
   0.000   0.2033   0.01511   0.00978  -0.0530   0.9467   1.0000
   1.000   0.3697   0.01436   0.00905  -0.0655   0.9274   1.0000
   1.500   0.4522   0.01304   0.00779  -0.0695   0.9042   1.0000
   2.000   0.5183   0.01189   0.00668  -0.0702   0.8827   1.0000
   2.500   0.5640   0.01123   0.00609  -0.0672   0.8536   1.0000
   3.000   0.6086   0.01069   0.00558  -0.0638   0.8161   1.0000
   3.500   0.6545   0.01030   0.00513  -0.0606   0.7593   1.0000
   4.000   0.6961   0.01042   0.00490  -0.0566   0.6523   1.0000
   4.500   0.7139   0.01185   0.00520  -0.0487   0.4275   1.0000
   5.000   0.7229   0.01403   0.00619  -0.0403   0.2214   1.0000
   5.500   0.7465   0.01565   0.00728  -0.0345   0.1439   1.0000
   6.000   0.7765   0.01698   0.00844  -0.0298   0.1086   1.0000
   6.500   0.8074   0.01858   0.00987  -0.0254   0.0877   1.0000
   7.000   0.8443   0.02009   0.01139  -0.0221   0.0735   1.0000
   7.500   0.8842   0.02200   0.01328  -0.0195   0.0628   1.0000
   8.000   0.9269   0.02367   0.01508  -0.0173   0.0554   1.0000
   8.500   0.9731   0.02644   0.01805  -0.0159   0.0498   1.0000
   9.000   1.0156   0.02879   0.02057  -0.0141   0.0455   1.0000
   9.500   1.0572   0.03353   0.02570  -0.0125   0.0430   1.0000
  10.000   1.0824   0.03749   0.03036  -0.0080   0.0411   1.0000
  10.500   1.0964   0.04239   0.03591  -0.0026   0.0395   1.0000
  11.000   1.0872   0.04919   0.04346   0.0048   0.0394   1.0000
  11.500   1.0489   0.05676   0.05168   0.0139   0.0402   1.0000
  12.000   1.0004   0.06537   0.06078   0.0195   0.0411   1.0000
  12.500   0.9488   0.07590   0.07167   0.0197   0.0421   1.0000
  13.000   0.9046   0.08883   0.08479   0.0151   0.0431   1.0000
  13.500   0.6184   0.13012   0.12651   0.0037   0.0750   1.0000
  14.000   0.5549   0.13991   0.13626  -0.0062   0.0723   1.0000
  14.500   0.5473   0.14549   0.14184  -0.0089   0.0677   1.0000
  15.000   0.5622   0.14992   0.14630  -0.0088   0.0647   1.0000
  15.500   0.5753   0.15711   0.15350  -0.0087   0.0631   1.0000
  16.000   0.5440   0.16236   0.15874  -0.0161   0.0593   1.0000
  16.500   0.5517   0.16702   0.16342  -0.0176   0.0550   1.0000
  17.000   0.7927   0.20399   0.20006  -0.0511   0.0470   1.0000
  17.500   0.8117   0.20999   0.20609  -0.0528   0.0446   1.0000
  18.000   0.8332   0.21912   0.21523  -0.0534   0.0433   1.0000
