  
       XFOIL         Version 6.96
  
 Calculated polar for: LOCKHEED C-5A BL488.2 AIRFOIL                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5928   0.02143   0.01304  -0.0090   1.0000   0.0465
  -4.500  -0.5473   0.01972   0.01118  -0.0073   1.0000   0.0504
  -4.000  -0.5024   0.01849   0.00998  -0.0060   1.0000   0.0593
  -3.500  -0.4395   0.01723   0.00883  -0.0084   0.9965   0.0789
  -3.000  -0.3709   0.01506   0.00805  -0.0129   0.9921   0.3280
  -2.500  -0.3064   0.01401   0.00848  -0.0153   0.9867   0.6777
  -2.000  -0.2447   0.01431   0.00900  -0.0160   0.9783   0.7805
  -1.500  -0.1879   0.01472   0.00950  -0.0152   0.9690   0.8475
  -1.000  -0.1261   0.01506   0.00981  -0.0159   0.9601   0.8840
  -0.500  -0.0656   0.01532   0.01004  -0.0163   0.9503   0.9187
   0.000   0.0005   0.01565   0.01035  -0.0176   0.9396   0.9602
   0.500   0.1084   0.01600   0.01064  -0.0285   0.9354   0.9767
   1.000   0.2070   0.01609   0.01074  -0.0380   0.9257   0.9877
   1.500   0.3193   0.01527   0.00996  -0.0489   0.9118   0.9907
   2.000   0.4328   0.01390   0.00869  -0.0594   0.8975   0.9918
   2.500   0.5346   0.01222   0.00713  -0.0670   0.8750   0.9952
   3.000   0.6025   0.01127   0.00627  -0.0687   0.8346   1.0000
   3.500   0.6567   0.01057   0.00550  -0.0674   0.7671   1.0000
   4.000   0.6968   0.01083   0.00507  -0.0634   0.6107   1.0000
   4.500   0.6967   0.01232   0.00542  -0.0525   0.3926   1.0000
   5.000   0.6994   0.01419   0.00622  -0.0429   0.2042   1.0000
   5.500   0.7208   0.01587   0.00736  -0.0367   0.1280   1.0000
   6.000   0.7532   0.01734   0.00864  -0.0325   0.1034   1.0000
   6.500   0.7931   0.01864   0.00997  -0.0296   0.0924   1.0000
   7.000   0.8362   0.02015   0.01148  -0.0276   0.0834   1.0000
   7.500   0.8818   0.02191   0.01318  -0.0262   0.0748   1.0000
   8.000   0.9285   0.02339   0.01485  -0.0247   0.0685   1.0000
   8.500   0.9787   0.02601   0.01758  -0.0242   0.0623   1.0000
   9.000   1.0237   0.02823   0.02008  -0.0226   0.0569   1.0000
   9.500   1.0705   0.03299   0.02514  -0.0220   0.0530   1.0000
  10.000   1.0986   0.03644   0.02929  -0.0176   0.0500   1.0000
  10.500   1.1281   0.03878   0.03184  -0.0143   0.0456   1.0000
  11.000   1.1361   0.04444   0.03805  -0.0088   0.0428   1.0000
  11.500   1.1220   0.04929   0.04365  -0.0001   0.0407   1.0000
  12.000   1.0900   0.05549   0.05044   0.0087   0.0396   1.0000
  12.500   1.0434   0.06348   0.05896   0.0148   0.0392   1.0000
  13.000   0.9722   0.07637   0.07236   0.0147   0.0403   1.0000
  13.500   0.9000   0.09497   0.09126   0.0045   0.0421   1.0000
  14.500   0.5916   0.14210   0.13862  -0.0064   0.0750   1.0000
  15.000   0.5484   0.14914   0.14563  -0.0147   0.0691   1.0000
  15.500   0.5841   0.15397   0.15052  -0.0112   0.0637   1.0000
  16.000   0.5469   0.16039   0.15690  -0.0195   0.0595   1.0000
  16.500   0.5597   0.16491   0.16145  -0.0202   0.0547   1.0000
  17.000   0.5637   0.17172   0.16826  -0.0222   0.0526   1.0000
  17.500   0.5547   0.17705   0.17359  -0.0268   0.0480   1.0000
  18.000   0.5645   0.18194   0.17851  -0.0283   0.0452   1.0000
