  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK K AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2205   0.02711   0.02031  -0.0829   0.9396   0.1102
  -4.500  -0.1521   0.02255   0.01505  -0.0854   0.9306   0.0983
  -4.000  -0.0752   0.02049   0.01270  -0.0891   0.9240   0.0948
  -3.500  -0.0129   0.01872   0.01074  -0.0900   0.9118   0.0930
  -3.000   0.0492   0.01743   0.00934  -0.0907   0.8997   0.0936
  -2.500   0.1115   0.01622   0.00810  -0.0913   0.8882   0.0932
  -2.000   0.1707   0.01523   0.00711  -0.0912   0.8753   0.0935
  -1.500   0.2248   0.01452   0.00640  -0.0903   0.8594   0.0945
  -1.000   0.2792   0.01397   0.00581  -0.0894   0.8430   0.0961
  -0.500   0.3336   0.01346   0.00528  -0.0885   0.8258   0.1014
   0.000   0.3887   0.01311   0.00490  -0.0876   0.8079   0.1082
   0.500   0.4400   0.01254   0.00478  -0.0864   0.7870   0.2319
   1.000   0.4888   0.01160   0.00468  -0.0847   0.7638   0.4879
   1.500   0.5692   0.01042   0.00469  -0.0880   0.7403   0.9890
   2.000   0.6276   0.01054   0.00466  -0.0882   0.7153   1.0000
   2.500   0.6778   0.01071   0.00464  -0.0866   0.6913   1.0000
   3.000   0.7263   0.01093   0.00475  -0.0848   0.6643   1.0000
   3.500   0.7753   0.01117   0.00488  -0.0831   0.6362   1.0000
   4.000   0.8243   0.01147   0.00505  -0.0814   0.6067   1.0000
   4.500   0.8722   0.01182   0.00531  -0.0795   0.5736   1.0000
   5.000   0.9192   0.01226   0.00566  -0.0776   0.5379   1.0000
   5.500   0.9647   0.01280   0.00608  -0.0754   0.4980   1.0000
   6.000   1.0086   0.01347   0.00663  -0.0731   0.4550   1.0000
   6.500   1.0497   0.01428   0.00728  -0.0704   0.4074   1.0000
   7.000   1.0889   0.01525   0.00804  -0.0675   0.3616   1.0000
   7.500   1.1272   0.01624   0.00892  -0.0646   0.3201   1.0000
   8.000   1.1652   0.01728   0.00988  -0.0618   0.2865   1.0000
   8.500   1.2012   0.01834   0.01090  -0.0588   0.2540   1.0000
   9.000   1.2346   0.01945   0.01203  -0.0555   0.2214   1.0000
   9.500   1.2575   0.02092   0.01337  -0.0506   0.1625   1.0000
  10.000   1.2481   0.02503   0.01666  -0.0426   0.0629   1.0000
  10.500   1.2566   0.02818   0.01987  -0.0375   0.0498   1.0000
  11.000   1.2606   0.03186   0.02368  -0.0329   0.0446   1.0000
  11.500   1.2674   0.03564   0.02763  -0.0293   0.0407   1.0000
  12.000   1.2638   0.04067   0.03271  -0.0257   0.0376   1.0000
  12.500   1.2760   0.04455   0.03681  -0.0231   0.0359   1.0000
  13.000   1.2888   0.04857   0.04102  -0.0207   0.0339   1.0000
  13.500   1.3015   0.05273   0.04530  -0.0186   0.0318   1.0000
  14.000   1.3255   0.05691   0.04956  -0.0155   0.0299   1.0000
  14.500   1.3348   0.06246   0.05549  -0.0135   0.0292   1.0000
  15.000   1.3295   0.06884   0.06229  -0.0126   0.0287   1.0000
  15.500   1.3156   0.07646   0.07035  -0.0129   0.0281   1.0000
  16.000   1.2944   0.08557   0.07990  -0.0146   0.0277   1.0000
  16.500   1.2659   0.09654   0.09130  -0.0183   0.0275   1.0000
  17.000   1.2301   0.10983   0.10504  -0.0245   0.0277   1.0000
  17.500   1.1873   0.12595   0.12158  -0.0338   0.0280   1.0000
  18.000   1.1371   0.14589   0.14190  -0.0467   0.0287   1.0000
