  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK W AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2442   0.02180   0.01421  -0.0763   0.9463   0.0626
  -4.500  -0.1829   0.02006   0.01218  -0.0773   0.9359   0.0649
  -4.000  -0.1047   0.01839   0.01054  -0.0818   0.9306   0.0703
  -3.500  -0.0408   0.01714   0.00926  -0.0832   0.9191   0.0773
  -3.000   0.0400   0.01559   0.00788  -0.0876   0.9123   0.1154
  -2.500   0.1028   0.01459   0.00719  -0.0886   0.8999   0.1919
  -2.000   0.1623   0.01401   0.00681  -0.0888   0.8865   0.2589
  -1.500   0.2219   0.01357   0.00651  -0.0888   0.8730   0.3283
  -1.000   0.2800   0.01309   0.00615  -0.0886   0.8588   0.3865
  -0.500   0.3360   0.01248   0.00569  -0.0879   0.8431   0.4427
   0.000   0.3841   0.01135   0.00527  -0.0857   0.8256   0.5887
   0.500   0.5217   0.01050   0.00509  -0.1006   0.8108   1.0000
   1.000   0.5724   0.01044   0.00483  -0.0989   0.7878   1.0000
   1.500   0.6207   0.01046   0.00470  -0.0967   0.7614   1.0000
   2.000   0.6694   0.01050   0.00458  -0.0947   0.7328   1.0000
   2.500   0.7166   0.01061   0.00455  -0.0923   0.6998   1.0000
   3.000   0.7625   0.01082   0.00459  -0.0898   0.6623   1.0000
   3.500   0.8074   0.01114   0.00470  -0.0871   0.6213   1.0000
   4.000   0.8505   0.01159   0.00496  -0.0842   0.5785   1.0000
   4.500   0.8931   0.01216   0.00532  -0.0814   0.5383   1.0000
   5.000   0.9352   0.01279   0.00578  -0.0785   0.5003   1.0000
   5.500   0.9777   0.01347   0.00631  -0.0758   0.4667   1.0000
   6.000   1.0208   0.01417   0.00692  -0.0734   0.4371   1.0000
   6.500   1.0645   0.01494   0.00760  -0.0711   0.4114   1.0000
   7.000   1.1040   0.01562   0.00822  -0.0681   0.3792   1.0000
   7.500   1.1443   0.01628   0.00894  -0.0653   0.3513   1.0000
   8.000   1.1837   0.01700   0.00972  -0.0625   0.3241   1.0000
   8.500   1.2194   0.01779   0.01056  -0.0591   0.2927   1.0000
   9.000   1.2492   0.01878   0.01151  -0.0548   0.2536   1.0000
   9.500   1.2679   0.02025   0.01281  -0.0491   0.1943   1.0000
  10.000   1.2738   0.02293   0.01508  -0.0424   0.1303   1.0000
  10.500   1.2793   0.02601   0.01799  -0.0364   0.0992   1.0000
  11.000   1.2872   0.02915   0.02110  -0.0315   0.0834   1.0000
  11.500   1.2997   0.03218   0.02422  -0.0276   0.0731   1.0000
  12.000   1.3108   0.03556   0.02772  -0.0241   0.0655   1.0000
  12.500   1.3184   0.03946   0.03168  -0.0208   0.0595   1.0000
  13.000   1.3296   0.04317   0.03556  -0.0183   0.0541   1.0000
  13.500   1.3394   0.04735   0.03984  -0.0156   0.0497   1.0000
  14.000   1.3484   0.05158   0.04427  -0.0138   0.0457   1.0000
  14.500   1.3606   0.05599   0.04878  -0.0115   0.0424   1.0000
  15.000   1.3633   0.06123   0.05437  -0.0103   0.0398   1.0000
  15.500   1.3683   0.06630   0.05957  -0.0096   0.0373   1.0000
  16.000   1.3679   0.07268   0.06623  -0.0086   0.0355   1.0000
  16.500   1.3507   0.08113   0.07516  -0.0098   0.0344   1.0000
  17.000   1.3299   0.09069   0.08514  -0.0124   0.0334   1.0000
  17.500   1.3071   0.10113   0.09596  -0.0163   0.0326   1.0000
  18.000   1.2814   0.11279   0.10796  -0.0217   0.0319   1.0000
