  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1933   0.02239   0.01517  -0.0857   0.9399   0.0653
  -4.500  -0.1270   0.02011   0.01257  -0.0877   0.9292   0.0673
  -4.000  -0.0607   0.01853   0.01078  -0.0895   0.9187   0.0718
  -3.500   0.0096   0.01662   0.00880  -0.0919   0.9109   0.0770
  -3.000   0.0672   0.01555   0.00771  -0.0918   0.8972   0.0868
  -2.500   0.1226   0.01405   0.00645  -0.0912   0.8821   0.1278
  -2.000   0.1757   0.01273   0.00578  -0.0903   0.8658   0.2909
  -1.500   0.2257   0.01158   0.00536  -0.0887   0.8487   0.4928
  -1.000   0.2700   0.01039   0.00536  -0.0841   0.8298   0.8690
  -0.500   0.3958   0.01016   0.00492  -0.0971   0.8159   1.0000
   0.000   0.4432   0.01017   0.00471  -0.0953   0.7945   1.0000
   0.500   0.4926   0.01021   0.00453  -0.0937   0.7743   1.0000
   1.000   0.5425   0.01028   0.00439  -0.0921   0.7532   1.0000
   1.500   0.5911   0.01040   0.00438  -0.0904   0.7298   1.0000
   2.000   0.6412   0.01055   0.00435  -0.0888   0.7068   1.0000
   2.500   0.6897   0.01072   0.00441  -0.0869   0.6796   1.0000
   3.000   0.7383   0.01093   0.00450  -0.0852   0.6505   1.0000
   3.500   0.7867   0.01119   0.00462  -0.0833   0.6172   1.0000
   4.000   0.8337   0.01154   0.00483  -0.0812   0.5778   1.0000
   4.500   0.8794   0.01204   0.00512  -0.0790   0.5332   1.0000
   5.000   0.9243   0.01270   0.00554  -0.0768   0.4891   1.0000
   5.500   0.9687   0.01339   0.00606  -0.0747   0.4487   1.0000
   6.000   1.0133   0.01413   0.00664  -0.0727   0.4153   1.0000
   6.500   1.0594   0.01487   0.00735  -0.0710   0.3906   1.0000
   7.000   1.1052   0.01569   0.00810  -0.0694   0.3690   1.0000
   7.500   1.1506   0.01652   0.00896  -0.0678   0.3489   1.0000
   8.000   1.1938   0.01732   0.00985  -0.0657   0.3267   1.0000
   8.500   1.2329   0.01816   0.01074  -0.0631   0.3007   1.0000
   9.000   1.2680   0.01897   0.01164  -0.0599   0.2701   1.0000
   9.500   1.2962   0.01995   0.01263  -0.0557   0.2298   1.0000
  10.000   1.3164   0.02152   0.01407  -0.0507   0.1825   1.0000
  10.500   1.3335   0.02365   0.01609  -0.0459   0.1511   1.0000
  11.000   1.3503   0.02598   0.01838  -0.0416   0.1305   1.0000
  11.500   1.3705   0.02823   0.02073  -0.0382   0.1117   1.0000
  12.000   1.3846   0.03107   0.02362  -0.0349   0.0928   1.0000
  12.500   1.3951   0.03452   0.02708  -0.0319   0.0610   1.0000
  13.000   1.3890   0.03974   0.03220  -0.0288   0.0385   1.0000
  13.500   1.3812   0.04559   0.03818  -0.0266   0.0327   1.0000
  14.000   1.3724   0.05200   0.04483  -0.0255   0.0298   1.0000
  14.500   1.3546   0.06004   0.05308  -0.0256   0.0281   1.0000
  15.000   1.3416   0.06805   0.06136  -0.0263   0.0268   1.0000
  15.500   1.3289   0.07640   0.06995  -0.0277   0.0256   1.0000
  16.000   1.3160   0.08507   0.07881  -0.0296   0.0244   1.0000
  16.500   1.3050   0.09334   0.08719  -0.0312   0.0235   1.0000
  17.000   1.3026   0.09992   0.09389  -0.0316   0.0228   1.0000
  17.500   1.3009   0.10707   0.10131  -0.0330   0.0223   1.0000
  18.000   1.2980   0.11459   0.10910  -0.0349   0.0218   1.0000
