  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK YS AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4229   0.02265   0.01464  -0.0039   0.8209   0.0644
  -4.500  -0.3697   0.02082   0.01256  -0.0030   0.8098   0.0661
  -4.000  -0.3141   0.01936   0.01096  -0.0026   0.7977   0.0689
  -3.500  -0.2604   0.01826   0.00974  -0.0017   0.7840   0.0730
  -3.000  -0.2098   0.01702   0.00854  -0.0002   0.7695   0.0810
  -2.500  -0.1619   0.01595   0.00750   0.0020   0.7547   0.0996
  -2.000  -0.1182   0.01440   0.00677   0.0044   0.7414   0.2594
  -1.500  -0.0889   0.01277   0.00637   0.0096   0.7293   0.5419
  -0.500   0.2897   0.01373   0.00772  -0.0385   0.7013   1.0000
   0.000   0.3387   0.01346   0.00732  -0.0369   0.6853   1.0000
   0.500   0.3880   0.01323   0.00696  -0.0354   0.6682   1.0000
   1.000   0.4373   0.01301   0.00661  -0.0338   0.6486   1.0000
   1.500   0.4865   0.01284   0.00630  -0.0322   0.6269   1.0000
   2.000   0.5360   0.01276   0.00613  -0.0307   0.5999   1.0000
   2.500   0.5852   0.01277   0.00601  -0.0292   0.5683   1.0000
   3.000   0.6341   0.01290   0.00597  -0.0278   0.5332   1.0000
   3.500   0.6831   0.01315   0.00610  -0.0265   0.4963   1.0000
   4.000   0.7317   0.01349   0.00630  -0.0252   0.4628   1.0000
   4.500   0.7802   0.01390   0.00661  -0.0240   0.4357   1.0000
   5.000   0.8280   0.01434   0.00693  -0.0227   0.4093   1.0000
   5.500   0.8759   0.01480   0.00744  -0.0215   0.3879   1.0000
   6.000   0.9231   0.01533   0.00800  -0.0202   0.3684   1.0000
   6.500   0.9694   0.01591   0.00860  -0.0188   0.3493   1.0000
   7.000   1.0145   0.01656   0.00928  -0.0172   0.3297   1.0000
   7.500   1.0581   0.01709   0.01000  -0.0155   0.3046   1.0000
   8.000   1.0994   0.01767   0.01070  -0.0135   0.2730   1.0000
   8.500   1.1375   0.01841   0.01149  -0.0112   0.2309   1.0000
   9.000   1.1675   0.01981   0.01272  -0.0080   0.1832   1.0000
   9.500   1.1892   0.02161   0.01440  -0.0038   0.1523   1.0000
  10.000   1.2060   0.02331   0.01612   0.0013   0.1351   1.0000
  10.500   1.2150   0.02488   0.01779   0.0074   0.1200   1.0000
  11.000   1.1998   0.02649   0.01951   0.0169   0.1099   1.0000
  11.500   1.1872   0.02847   0.02161   0.0247   0.0986   1.0000
  12.000   1.1757   0.03096   0.02416   0.0314   0.0850   1.0000
  12.500   1.1638   0.03435   0.02753   0.0366   0.0614   1.0000
  13.000   1.1461   0.03916   0.03225   0.0403   0.0428   1.0000
  13.500   1.1301   0.04471   0.03785   0.0423   0.0361   1.0000
  14.000   1.1127   0.05115   0.04440   0.0430   0.0333   1.0000
  14.500   1.1000   0.05783   0.05131   0.0427   0.0312   1.0000
  15.000   1.0861   0.06524   0.05889   0.0415   0.0295   1.0000
  15.500   1.0715   0.07304   0.06680   0.0399   0.0283   1.0000
  16.000   1.0648   0.07984   0.07373   0.0388   0.0272   1.0000
  16.500   1.0601   0.08681   0.08090   0.0371   0.0259   1.0000
  17.000   1.0572   0.09351   0.08775   0.0357   0.0248   1.0000
  17.500   1.0572   0.09976   0.09412   0.0344   0.0240   1.0000
  18.000   1.0578   0.10598   0.10050   0.0332   0.0235   1.0000
