  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK Z AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0987   0.04028   0.03546  -0.0980   0.9298   0.1104
  -4.500  -0.0456   0.03602   0.03122  -0.0995   0.9166   0.1164
  -4.000   0.0091   0.02829   0.02247  -0.1007   0.9021   0.0987
  -3.500   0.0615   0.02830   0.02277  -0.1013   0.8879   0.1465
  -3.000   0.1266   0.01821   0.01049  -0.0989   0.8750   0.0679
  -2.500   0.1836   0.01676   0.00879  -0.0980   0.8593   0.0700
  -2.000   0.2371   0.01521   0.00730  -0.0969   0.8421   0.0745
  -1.500   0.2902   0.01427   0.00634  -0.0956   0.8237   0.0834
  -1.000   0.3430   0.01339   0.00556  -0.0943   0.8048   0.1115
  -0.500   0.3871   0.01138   0.00511  -0.0922   0.7858   0.5253
   0.000   0.4895   0.01031   0.00494  -0.0996   0.7673   1.0000
   0.500   0.5396   0.01039   0.00473  -0.0980   0.7461   1.0000
   1.000   0.5881   0.01054   0.00467  -0.0961   0.7222   1.0000
   1.500   0.6381   0.01070   0.00459  -0.0945   0.6990   1.0000
   2.000   0.6870   0.01092   0.00465  -0.0927   0.6734   1.0000
   2.500   0.7372   0.01117   0.00467  -0.0912   0.6481   1.0000
   3.000   0.7857   0.01145   0.00484  -0.0894   0.6196   1.0000
   3.500   0.8347   0.01181   0.00505  -0.0878   0.5910   1.0000
   4.000   0.8836   0.01222   0.00530  -0.0861   0.5623   1.0000
   4.500   0.9314   0.01267   0.00559  -0.0844   0.5316   1.0000
   5.000   0.9780   0.01317   0.00594  -0.0825   0.4994   1.0000
   5.500   1.0239   0.01373   0.00637  -0.0805   0.4678   1.0000
   6.000   1.0696   0.01432   0.00690  -0.0787   0.4390   1.0000
   6.500   1.1153   0.01498   0.00752  -0.0769   0.4133   1.0000
   7.000   1.1598   0.01568   0.00818  -0.0749   0.3884   1.0000
   7.500   1.2026   0.01639   0.00891  -0.0728   0.3622   1.0000
   8.000   1.2427   0.01720   0.00970  -0.0702   0.3355   1.0000
   8.500   1.2791   0.01809   0.01058  -0.0672   0.3051   1.0000
   9.000   1.3100   0.01912   0.01163  -0.0633   0.2653   1.0000
   9.500   1.3262   0.02078   0.01308  -0.0574   0.2148   1.0000
  10.000   1.3376   0.02315   0.01521  -0.0517   0.1739   1.0000
  10.500   1.3502   0.02578   0.01769  -0.0467   0.1538   1.0000
  11.000   1.3678   0.02831   0.02019  -0.0428   0.1403   1.0000
  11.500   1.3893   0.03064   0.02267  -0.0397   0.1300   1.0000
  12.000   1.4090   0.03329   0.02539  -0.0367   0.1223   1.0000
  12.500   1.4277   0.03605   0.02822  -0.0341   0.1152   1.0000
  13.000   1.4471   0.03892   0.03127  -0.0316   0.1092   1.0000
  13.500   1.4623   0.04206   0.03455  -0.0295   0.1033   1.0000
  14.000   1.4776   0.04543   0.03808  -0.0275   0.0979   1.0000
  14.500   1.4847   0.04944   0.04233  -0.0261   0.0921   1.0000
  15.000   1.4923   0.05367   0.04669  -0.0247   0.0866   1.0000
  15.500   1.4920   0.05902   0.05238  -0.0245   0.0811   1.0000
  16.000   1.4889   0.06500   0.05854  -0.0248   0.0750   1.0000
  16.500   1.4782   0.07269   0.06653  -0.0267   0.0681   1.0000
  17.000   1.4621   0.08182   0.07596  -0.0297   0.0597   1.0000
  17.500   1.4413   0.09209   0.08645  -0.0333   0.0513   1.0000
  18.000   1.4197   0.10269   0.09723  -0.0370   0.0449   1.0000
