  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK YM-15 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1366   0.01804   0.01017  -0.0910   0.8926   0.1006
  -4.500  -0.0863   0.01682   0.00909  -0.0899   0.8791   0.1249
  -4.000  -0.0319   0.01588   0.00825  -0.0893   0.8658   0.1553
  -3.500   0.0236   0.01497   0.00752  -0.0887   0.8518   0.2007
  -3.000   0.0785   0.01422   0.00699  -0.0880   0.8373   0.2812
  -2.500   0.1325   0.01354   0.00650  -0.0871   0.8222   0.3520
  -2.000   0.1835   0.01288   0.00609  -0.0857   0.8049   0.4301
  -1.500   0.2309   0.01211   0.00584  -0.0834   0.7877   0.5716
  -1.000   0.2759   0.01150   0.00589  -0.0798   0.7709   0.7677
  -0.500   0.3362   0.01151   0.00605  -0.0785   0.7538   0.8953
   0.000   0.4238   0.01177   0.00615  -0.0833   0.7364   0.9581
   0.500   0.5247   0.01181   0.00598  -0.0920   0.7156   0.9841
   1.000   0.6140   0.01172   0.00571  -0.0990   0.6924   1.0000
   1.500   0.6581   0.01173   0.00555  -0.0969   0.6700   1.0000
   2.000   0.7012   0.01181   0.00548  -0.0945   0.6452   1.0000
   2.500   0.7432   0.01195   0.00544  -0.0917   0.6171   1.0000
   3.000   0.7835   0.01219   0.00552  -0.0885   0.5852   1.0000
   3.500   0.8223   0.01254   0.00566  -0.0851   0.5495   1.0000
   4.000   0.8593   0.01305   0.00592  -0.0813   0.5110   1.0000
   4.500   0.8965   0.01366   0.00630  -0.0777   0.4765   1.0000
   5.000   0.9359   0.01431   0.00678  -0.0746   0.4490   1.0000
   5.500   0.9785   0.01503   0.00730  -0.0722   0.4283   1.0000
   6.000   1.0219   0.01572   0.00790  -0.0700   0.4098   1.0000
   6.500   1.0653   0.01643   0.00854  -0.0679   0.3924   1.0000
   7.000   1.1071   0.01716   0.00921  -0.0656   0.3746   1.0000
   7.500   1.1528   0.01800   0.00997  -0.0641   0.3608   1.0000
   8.000   1.1946   0.01873   0.01079  -0.0619   0.3477   1.0000
   8.500   1.2367   0.01957   0.01171  -0.0599   0.3349   1.0000
   9.000   1.2774   0.02047   0.01263  -0.0577   0.3220   1.0000
   9.500   1.3153   0.02138   0.01356  -0.0552   0.3082   1.0000
  10.000   1.3426   0.02221   0.01452  -0.0508   0.2943   1.0000
  10.500   1.3655   0.02319   0.01566  -0.0460   0.2790   1.0000
  11.000   1.3852   0.02439   0.01698  -0.0413   0.2619   1.0000
  11.500   1.4008   0.02598   0.01866  -0.0367   0.2423   1.0000
  12.000   1.4119   0.02812   0.02092  -0.0323   0.2171   1.0000
  12.500   1.4184   0.03107   0.02386  -0.0284   0.1920   1.0000
  13.000   1.4218   0.03469   0.02738  -0.0249   0.1724   1.0000
  13.500   1.4269   0.03849   0.03116  -0.0220   0.1578   1.0000
  14.000   1.4348   0.04228   0.03505  -0.0197   0.1464   1.0000
  14.500   1.4425   0.04628   0.03913  -0.0178   0.1372   1.0000
  15.000   1.4508   0.05029   0.04312  -0.0161   0.1295   1.0000
  15.500   1.4584   0.05470   0.04780  -0.0151   0.1232   1.0000
  16.000   1.4655   0.05913   0.05226  -0.0142   0.1170   1.0000
  16.500   1.4683   0.06439   0.05780  -0.0140   0.1116   1.0000
  17.000   1.4690   0.07002   0.06359  -0.0142   0.1063   1.0000
  17.500   1.4689   0.07587   0.06961  -0.0146   0.1012   1.0000
  18.000   1.4612   0.08317   0.07717  -0.0163   0.0960   1.0000
