  
       XFOIL         Version 6.96
  
 Calculated polar for: CURTISS CR-1 AIRFOIL                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0654   0.02154   0.01429  -0.1079   0.8664   0.0858
  -4.500  -0.0093   0.02013   0.01279  -0.1079   0.8589   0.0941
  -4.000   0.0343   0.01911   0.01158  -0.1055   0.8474   0.1034
  -3.500   0.0905   0.01827   0.01059  -0.1052   0.8398   0.1173
  -3.000   0.1391   0.01773   0.00996  -0.1035   0.8287   0.1311
  -2.500   0.1898   0.01736   0.00954  -0.1021   0.8178   0.1461
  -2.000   0.2495   0.01683   0.00893  -0.1021   0.8090   0.1623
  -1.500   0.2984   0.01650   0.00858  -0.1003   0.7963   0.1768
  -1.000   0.3510   0.01611   0.00816  -0.0991   0.7845   0.1929
  -0.500   0.4088   0.01555   0.00762  -0.0988   0.7740   0.2128
   0.000   0.4616   0.01514   0.00724  -0.0976   0.7613   0.2391
   0.500   0.5115   0.01475   0.00698  -0.0960   0.7473   0.2722
   1.000   0.5616   0.01428   0.00670  -0.0943   0.7326   0.3135
   1.500   0.6074   0.01347   0.00640  -0.0918   0.7160   0.4369
   3.000   0.8740   0.01218   0.00586  -0.1107   0.6510   1.0000
   3.500   0.9183   0.01222   0.00578  -0.1078   0.6261   1.0000
   4.000   0.9589   0.01235   0.00581  -0.1042   0.5950   1.0000
   4.500   0.9963   0.01262   0.00595  -0.1001   0.5560   1.0000
   5.000   1.0306   0.01312   0.00619  -0.0955   0.5114   1.0000
   5.500   1.0606   0.01388   0.00665  -0.0903   0.4664   1.0000
   6.000   1.0887   0.01474   0.00730  -0.0849   0.4257   1.0000
   6.500   1.1151   0.01569   0.00804  -0.0793   0.3909   1.0000
   7.000   1.1407   0.01670   0.00889  -0.0738   0.3609   1.0000
   7.500   1.1634   0.01777   0.00976  -0.0678   0.3365   1.0000
   8.000   1.1887   0.01878   0.01074  -0.0625   0.3154   1.0000
   8.500   1.2165   0.01987   0.01177  -0.0579   0.2975   1.0000
   9.000   1.2467   0.02100   0.01288  -0.0539   0.2824   1.0000
   9.500   1.2804   0.02218   0.01403  -0.0507   0.2700   1.0000
  10.000   1.3143   0.02334   0.01523  -0.0476   0.2595   1.0000
  10.500   1.3420   0.02456   0.01656  -0.0439   0.2480   1.0000
  11.000   1.3685   0.02589   0.01796  -0.0402   0.2369   1.0000
  11.500   1.3963   0.02729   0.01934  -0.0369   0.2259   1.0000
  12.000   1.4119   0.02888   0.02120  -0.0325   0.2156   1.0000
  12.500   1.4316   0.03067   0.02312  -0.0290   0.2054   1.0000
  13.000   1.4493   0.03264   0.02515  -0.0257   0.1950   1.0000
  13.500   1.4592   0.03507   0.02786  -0.0222   0.1842   1.0000
  14.000   1.4677   0.03791   0.03093  -0.0192   0.1722   1.0000
  14.500   1.4709   0.04147   0.03468  -0.0167   0.1568   1.0000
  15.000   1.4692   0.04603   0.03942  -0.0149   0.1309   1.0000
  15.500   1.4412   0.05386   0.04699  -0.0134   0.0832   1.0000
  16.000   1.4042   0.06357   0.05660  -0.0129   0.0517   1.0000
  16.500   1.3712   0.07387   0.06698  -0.0140   0.0424   1.0000
  17.000   1.3388   0.08499   0.07833  -0.0164   0.0390   1.0000
  17.500   1.3021   0.09749   0.09108  -0.0201   0.0370   1.0000
  18.000   1.2717   0.10952   0.10339  -0.0242   0.0356   1.0000
