  
       XFOIL         Version 6.96
  
 Calculated polar for: Curtis C-72                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1310   0.01466   0.00702  -0.1074   0.8999   0.0901
  -4.500   0.1874   0.01312   0.00594  -0.1073   0.8842   0.1919
  -4.000   0.2390   0.01196   0.00558  -0.1060   0.8636   0.4233
  -3.500   0.2919   0.01158   0.00538  -0.1044   0.8436   0.5362
  -3.000   0.3449   0.01127   0.00523  -0.1029   0.8257   0.6174
  -2.500   0.3974   0.01090   0.00501  -0.1013   0.8074   0.6896
  -2.000   0.4464   0.01022   0.00482  -0.0983   0.7890   0.8504
  -1.500   0.5237   0.01007   0.00454  -0.1024   0.7682   1.0000
  -1.000   0.5779   0.01018   0.00443  -0.1017   0.7454   1.0000
  -0.500   0.6324   0.01033   0.00436  -0.1011   0.7230   1.0000
   0.000   0.6851   0.01052   0.00440  -0.1002   0.6966   1.0000
   0.500   0.7378   0.01075   0.00448  -0.0993   0.6692   1.0000
   1.000   0.7896   0.01102   0.00460  -0.0983   0.6385   1.0000
   1.500   0.8405   0.01134   0.00478  -0.0972   0.6038   1.0000
   2.000   0.8902   0.01177   0.00501  -0.0959   0.5654   1.0000
   2.500   0.9384   0.01230   0.00539  -0.0945   0.5228   1.0000
   3.000   0.9859   0.01297   0.00584  -0.0930   0.4833   1.0000
   3.500   1.0324   0.01366   0.00638  -0.0916   0.4448   1.0000
   4.000   1.0794   0.01441   0.00702  -0.0903   0.4147   1.0000
   4.500   1.1270   0.01524   0.00776  -0.0892   0.3917   1.0000
   5.000   1.1742   0.01603   0.00860  -0.0882   0.3696   1.0000
   5.500   1.2197   0.01687   0.00945  -0.0869   0.3474   1.0000
   6.000   1.2640   0.01779   0.01041  -0.0854   0.3260   1.0000
   6.500   1.3050   0.01863   0.01139  -0.0835   0.3012   1.0000
   7.000   1.3402   0.01953   0.01236  -0.0806   0.2693   1.0000
   7.500   1.3681   0.02060   0.01341  -0.0769   0.2260   1.0000
   8.000   1.3885   0.02222   0.01492  -0.0722   0.1863   1.0000
   8.500   1.4064   0.02431   0.01693  -0.0678   0.1565   1.0000
   9.000   1.4208   0.02679   0.01936  -0.0635   0.1343   1.0000
   9.500   1.4378   0.02931   0.02200  -0.0602   0.1130   1.0000
  10.000   1.4460   0.03269   0.02543  -0.0567   0.0900   1.0000
  10.500   1.4422   0.03748   0.03019  -0.0533   0.0631   1.0000
  11.000   1.4318   0.04338   0.03608  -0.0506   0.0495   1.0000
  11.500   1.4212   0.04978   0.04261  -0.0489   0.0430   1.0000
  12.000   1.4122   0.05644   0.04951  -0.0480   0.0389   1.0000
  12.500   1.4000   0.06383   0.05702  -0.0479   0.0360   1.0000
  13.000   1.3921   0.07096   0.06437  -0.0479   0.0336   1.0000
  13.500   1.3874   0.07797   0.07158  -0.0483   0.0315   1.0000
  14.000   1.3849   0.08447   0.07816  -0.0485   0.0299   1.0000
  14.500   1.3844   0.09082   0.08471  -0.0483   0.0285   1.0000
  15.000   1.3780   0.09877   0.09300  -0.0501   0.0273   1.0000
  15.500   1.3699   0.10721   0.10173  -0.0527   0.0261   1.0000
  16.000   1.3625   0.11566   0.11040  -0.0556   0.0252   1.0000
  16.500   1.3551   0.12416   0.11912  -0.0587   0.0245   1.0000
  17.000   1.3404   0.13442   0.12967  -0.0632   0.0241   1.0000
  17.500   1.3126   0.14846   0.14410  -0.0714   0.0240   1.0000
