  
       XFOIL         Version 6.96
  
 Calculated polar for: DEFIANT CANARD BL110 AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1181   0.02029   0.01270  -0.0797   0.8387   0.0433
  -4.500  -0.0679   0.01855   0.01073  -0.0779   0.8223   0.0470
  -4.000  -0.0206   0.01676   0.00883  -0.0757   0.8049   0.0520
  -3.500   0.0250   0.01560   0.00754  -0.0732   0.7872   0.0612
  -2.500   0.0825   0.01176   0.00568  -0.0630   0.7469   0.5211
  -2.000   0.1185   0.01117   0.00576  -0.0572   0.7262   0.7699
  -1.500   0.1676   0.01121   0.00581  -0.0538   0.7017   0.8551
  -1.000   0.2322   0.01146   0.00582  -0.0537   0.6773   0.9008
  -0.500   0.3186   0.01192   0.00592  -0.0585   0.6502   0.9290
   0.000   0.4201   0.01244   0.00604  -0.0669   0.6174   0.9515
   0.500   0.5016   0.01266   0.00590  -0.0724   0.5869   0.9651
   1.000   0.5777   0.01285   0.00577  -0.0772   0.5595   0.9773
   1.500   0.6531   0.01305   0.00569  -0.0821   0.5335   0.9891
   2.000   0.7307   0.01323   0.00564  -0.0877   0.5114   1.0000
   2.500   0.7641   0.01344   0.00575  -0.0845   0.4958   1.0000
   3.000   0.7985   0.01370   0.00588  -0.0813   0.4835   1.0000
   3.500   0.8330   0.01397   0.00613  -0.0779   0.4723   1.0000
   4.000   0.8698   0.01434   0.00647  -0.0748   0.4626   1.0000
   4.500   0.9104   0.01478   0.00681  -0.0724   0.4541   1.0000
   5.000   0.9491   0.01520   0.00730  -0.0696   0.4450   1.0000
   5.500   0.9916   0.01571   0.00780  -0.0674   0.4370   1.0000
   6.000   1.0331   0.01621   0.00835  -0.0651   0.4283   1.0000
   6.500   1.0753   0.01681   0.00900  -0.0630   0.4197   1.0000
   7.000   1.1202   0.01740   0.00958  -0.0614   0.4108   1.0000
   7.500   1.1601   0.01809   0.01044  -0.0589   0.4015   1.0000
   8.000   1.2060   0.01890   0.01129  -0.0576   0.3932   1.0000
   8.500   1.2481   0.01974   0.01228  -0.0557   0.3846   1.0000
   9.000   1.2904   0.02073   0.01342  -0.0539   0.3759   1.0000
   9.500   1.3307   0.02143   0.01416  -0.0517   0.3635   1.0000
  10.000   1.3688   0.02218   0.01503  -0.0492   0.3528   1.0000
  10.500   1.3961   0.02293   0.01603  -0.0449   0.3410   1.0000
  11.000   1.4209   0.02358   0.01686  -0.0402   0.3290   1.0000
  11.500   1.4273   0.02399   0.01744  -0.0323   0.3156   1.0000
  12.000   1.4246   0.02470   0.01840  -0.0240   0.3008   1.0000
  12.500   1.4238   0.02597   0.01991  -0.0175   0.2823   1.0000
  13.000   1.4218   0.02820   0.02221  -0.0123   0.2592   1.0000
  13.500   1.4146   0.03167   0.02568  -0.0080   0.2344   1.0000
  14.000   1.4072   0.03592   0.03011  -0.0048   0.2024   1.0000
  14.500   1.3688   0.04358   0.03754  -0.0022   0.1518   1.0000
  15.000   1.3306   0.05267   0.04661  -0.0015   0.1251   1.0000
  15.500   1.2955   0.06247   0.05646  -0.0023   0.1056   1.0000
  16.000   1.2626   0.07264   0.06671  -0.0039   0.0883   1.0000
  17.000   1.1856   0.09631   0.09030  -0.0098   0.0441   1.0000
  17.500   1.1531   0.10796   0.10187  -0.0132   0.0313   1.0000
  18.000   1.1334   0.11790   0.11187  -0.0164   0.0253   1.0000
