  
       XFOIL         Version 6.96
  
 Calculated polar for: DU86-084/18 8.44%                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4714   0.02391   0.01708  -0.0224   0.9832   0.0248
  -4.500  -0.4213   0.02008   0.01252  -0.0208   0.9797   0.0281
  -4.000  -0.3694   0.01693   0.00917  -0.0198   0.9761   0.0331
  -3.500  -0.3137   0.01495   0.00707  -0.0200   0.9723   0.0498
  -3.000  -0.2660   0.01195   0.00582  -0.0200   0.9682   0.4035
  -2.500  -0.2413   0.01118   0.00683  -0.0115   0.9616   0.8622
  -2.000  -0.1621   0.01227   0.00758  -0.0131   0.9590   0.9531
  -1.500   0.0224   0.01219   0.00704  -0.0385   0.9677   0.9847
  -1.000   0.1438   0.01161   0.00626  -0.0526   0.9672   1.0000
  -0.500   0.2279   0.01130   0.00585  -0.0591   0.9581   1.0000
   0.000   0.3031   0.01106   0.00557  -0.0634   0.9448   1.0000
   0.500   0.3558   0.01106   0.00557  -0.0625   0.9239   1.0000
   1.000   0.3947   0.01122   0.00575  -0.0584   0.9020   1.0000
   1.500   0.4302   0.01141   0.00598  -0.0538   0.8798   1.0000
   2.000   0.4660   0.01152   0.00616  -0.0487   0.8573   1.0000
   2.500   0.5020   0.01151   0.00621  -0.0435   0.8315   1.0000
   3.000   0.5396   0.01126   0.00609  -0.0387   0.8000   1.0000
   3.500   0.5802   0.01054   0.00566  -0.0349   0.7464   1.0000
   4.000   0.6154   0.00967   0.00426  -0.0282   0.5994   1.0000
   4.500   0.6439   0.01129   0.00477  -0.0231   0.3775   1.0000
   5.000   0.6762   0.01287   0.00572  -0.0195   0.2322   1.0000
   5.500   0.7088   0.01445   0.00683  -0.0160   0.1396   1.0000
   6.000   0.7407   0.01607   0.00830  -0.0120   0.0933   1.0000
   6.500   0.7726   0.01759   0.00981  -0.0081   0.0667   1.0000
   7.000   0.8034   0.01931   0.01166  -0.0040   0.0436   1.0000
   7.500   0.8361   0.02229   0.01479   0.0000   0.0297   1.0000
   8.000   0.8741   0.02629   0.01922   0.0028   0.0227   1.0000
   8.500   0.9089   0.03146   0.02507   0.0057   0.0201   1.0000
   9.500   0.9257   0.04528   0.04042   0.0132   0.0163   1.0000
  10.000   0.9040   0.05242   0.04819   0.0180   0.0161   1.0000
  10.500   0.8676   0.06053   0.05667   0.0197   0.0165   1.0000
  11.000   0.8259   0.07155   0.06798   0.0158   0.0169   1.0000
  12.000 NaN      NaN       NaN       NaN        0.0397   1.0000
  12.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
