  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER 1233 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0203   0.01535   0.00787  -0.1100   0.7342   0.1686
  -4.500   0.0600   0.01438   0.00711  -0.1077   0.7055   0.2413
  -4.000   0.0928   0.01281   0.00660  -0.1047   0.6803   0.4961
  -3.500   0.1386   0.01318   0.00713  -0.1015   0.6557   0.6242
  -3.000   0.1879   0.01393   0.00769  -0.0989   0.6327   0.6674
  -2.500   0.2380   0.01462   0.00811  -0.0968   0.6119   0.6975
  -2.000   0.2861   0.01530   0.00860  -0.0940   0.5925   0.7185
  -1.500   0.3333   0.01589   0.00902  -0.0913   0.5744   0.7376
  -1.000   0.3777   0.01656   0.00956  -0.0876   0.5581   0.7573
  -0.500   0.4197   0.01716   0.01005  -0.0834   0.5430   0.7771
   0.000   0.4692   0.01745   0.01012  -0.0821   0.5288   0.7926
   0.500   0.5121   0.01756   0.01015  -0.0789   0.5155   0.8020
   1.000   0.5622   0.01762   0.01008  -0.0784   0.5023   0.8130
   1.500   0.6113   0.01779   0.01010  -0.0772   0.4908   0.8214
   2.000   0.6631   0.01786   0.01008  -0.0771   0.4794   0.8306
   2.500   0.7099   0.01805   0.01022  -0.0756   0.4687   0.8385
   3.000   0.7658   0.01829   0.01028  -0.0763   0.4587   0.8473
   3.500   0.8096   0.01850   0.01055  -0.0744   0.4492   0.8550
   4.000   0.8670   0.01885   0.01074  -0.0755   0.4402   0.8638
   4.500   0.9074   0.01908   0.01108  -0.0729   0.4312   0.8717
   5.000   0.9632   0.01949   0.01139  -0.0737   0.4233   0.8805
   5.500   1.0037   0.01986   0.01186  -0.0713   0.4153   0.8893
   6.000   1.0533   0.02023   0.01223  -0.0709   0.4074   0.8983
   6.500   1.1000   0.02081   0.01283  -0.0699   0.4008   0.9086
   7.000   1.1373   0.02119   0.01336  -0.0673   0.3932   0.9196
   7.500   1.1907   0.02172   0.01381  -0.0675   0.3867   0.9318
   8.000   1.2233   0.02237   0.01471  -0.0643   0.3801   0.9487
   8.500   1.2766   0.02297   0.01541  -0.0651   0.3731   0.9709
   9.000   1.3436   0.02401   0.01646  -0.0690   0.3666   1.0000
   9.500   1.3803   0.02509   0.01778  -0.0676   0.3599   1.0000
  10.000   1.4406   0.02592   0.01858  -0.0700   0.3535   1.0000
  10.500   1.4786   0.02737   0.02019  -0.0689   0.3476   1.0000
  11.000   1.5045   0.02862   0.02163  -0.0656   0.3411   1.0000
  11.500   1.5690   0.02948   0.02241  -0.0683   0.3353   1.0000
  12.000   1.5693   0.03137   0.02462  -0.0614   0.3292   1.0000
  12.500   1.5884   0.03279   0.02619  -0.0575   0.3229   1.0000
  13.000   1.6422   0.03369   0.02705  -0.0585   0.3166   1.0000
  13.500   1.6115   0.03674   0.03049  -0.0493   0.3101   1.0000
  14.000   1.6562   0.03733   0.03107  -0.0490   0.3034   1.0000
  14.500   1.6357   0.04117   0.03521  -0.0431   0.2970   1.0000
  15.000   1.6292   0.04452   0.03876  -0.0394   0.2899   1.0000
  15.500   1.6506   0.04668   0.04102  -0.0380   0.2830   1.0000
  16.000   1.5888   0.05519   0.04990  -0.0342   0.2750   1.0000
  16.500   1.6218   0.05651   0.05125  -0.0339   0.2675   1.0000
  17.000   1.5415   0.06936   0.06445  -0.0336   0.2579   1.0000
  17.500   1.3319   0.10354   0.09900  -0.0419   0.2387   1.0000
  18.000   1.4726   0.08916   0.08462  -0.0376   0.2376   1.0000
