  
       XFOIL         Version 6.96
  
 Calculated polar for: E174  (Dicke 8.92%)                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1257   0.03910   0.03522  -0.0901   0.9121   0.0671
  -4.500  -0.0796   0.03309   0.02861  -0.0921   0.8824   0.0797
  -4.000  -0.0330   0.02850   0.02347  -0.0922   0.8571   0.0944
  -3.500   0.0303   0.01722   0.00998  -0.0897   0.8375   0.0310
  -3.000   0.0834   0.01540   0.00783  -0.0885   0.8171   0.0356
  -2.500   0.1363   0.01347   0.00566  -0.0873   0.7994   0.0411
  -2.000   0.1892   0.01167   0.00434  -0.0867   0.7830   0.1886
  -1.500   0.2336   0.00996   0.00430  -0.0848   0.7675   0.6677
  -1.000   0.3004   0.00935   0.00397  -0.0855   0.7530   1.0000
  -0.500   0.3545   0.00959   0.00382  -0.0850   0.7385   1.0000
   0.000   0.4089   0.00984   0.00379  -0.0847   0.7246   1.0000
   0.500   0.4634   0.01012   0.00385  -0.0844   0.7110   1.0000
   1.000   0.5180   0.01041   0.00399  -0.0842   0.6977   1.0000
   1.500   0.5726   0.01073   0.00419  -0.0840   0.6847   1.0000
   2.000   0.6272   0.01107   0.00446  -0.0837   0.6719   1.0000
   2.500   0.6817   0.01141   0.00476  -0.0835   0.6590   1.0000
   3.000   0.7360   0.01174   0.00509  -0.0831   0.6454   1.0000
   3.500   0.7900   0.01203   0.00539  -0.0827   0.6301   1.0000
   4.000   0.8436   0.01227   0.00568  -0.0821   0.6134   1.0000
   4.500   0.8972   0.01248   0.00595  -0.0814   0.5958   1.0000
   5.000   0.9500   0.01267   0.00624  -0.0806   0.5757   1.0000
   5.500   1.0022   0.01279   0.00651  -0.0797   0.5525   1.0000
   6.000   1.0515   0.01273   0.00655  -0.0780   0.5122   1.0000
   6.500   1.0982   0.01294   0.00677  -0.0761   0.4515   1.0000
   7.000   1.1382   0.01397   0.00747  -0.0735   0.3413   1.0000
   7.500   1.1608   0.01693   0.00943  -0.0695   0.1722   1.0000
   8.000   1.1700   0.02124   0.01276  -0.0639   0.0388   1.0000
   8.500   1.1921   0.02390   0.01560  -0.0595   0.0304   1.0000
   9.000   1.2008   0.02696   0.01880  -0.0536   0.0273   1.0000
   9.500   1.2120   0.03054   0.02255  -0.0487   0.0260   1.0000
  10.000   1.2383   0.03387   0.02611  -0.0455   0.0248   1.0000
  10.500   1.2693   0.03732   0.02981  -0.0430   0.0230   1.0000
  11.000   1.3059   0.04212   0.03503  -0.0410   0.0225   1.0000
  11.500   1.3260   0.04858   0.04215  -0.0381   0.0228   1.0000
  12.000   1.3181   0.05633   0.05063  -0.0346   0.0237   1.0000
  12.500   1.2947   0.06509   0.05997  -0.0325   0.0246   1.0000
  13.000   1.2620   0.07531   0.07067  -0.0328   0.0254   1.0000
  13.500   1.0948   0.08403   0.08006  -0.0306   0.0251   1.0000
  14.000   1.0338   0.09624   0.09268  -0.0358   0.0254   1.0000
  14.500   0.9780   0.11046   0.10725  -0.0444   0.0259   1.0000
  15.000   0.9314   0.12594   0.12300  -0.0541   0.0266   1.0000
