  
       XFOIL         Version 6.96
  
 Calculated polar for: E195  (11.82%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1749   0.01711   0.00958  -0.0815   0.8628   0.0412
  -4.500  -0.1265   0.01530   0.00754  -0.0796   0.8411   0.0453
  -4.000  -0.0791   0.01386   0.00600  -0.0779   0.8207   0.0652
  -3.500  -0.0333   0.01229   0.00514  -0.0765   0.8024   0.2387
  -3.000   0.0145   0.01151   0.00489  -0.0753   0.7862   0.4122
  -2.500   0.0630   0.01112   0.00483  -0.0736   0.7712   0.5539
  -2.000   0.1120   0.01086   0.00478  -0.0718   0.7573   0.6595
  -1.500   0.1605   0.01064   0.00477  -0.0696   0.7443   0.7606
  -1.000   0.2140   0.01053   0.00482  -0.0678   0.7322   0.8736
  -0.500   0.3021   0.01068   0.00479  -0.0735   0.7210   0.9580
   0.000   0.4116   0.01074   0.00461  -0.0848   0.7087   0.9980
   0.500   0.4586   0.01092   0.00464  -0.0838   0.6964   1.0000
   1.000   0.5044   0.01119   0.00479  -0.0823   0.6850   1.0000
   1.500   0.5525   0.01149   0.00499  -0.0809   0.6742   1.0000
   2.000   0.6019   0.01180   0.00520  -0.0798   0.6635   1.0000
   2.500   0.6502   0.01215   0.00555  -0.0785   0.6516   1.0000
   3.000   0.6994   0.01252   0.00593  -0.0773   0.6398   1.0000
   3.500   0.7496   0.01285   0.00627  -0.0762   0.6276   1.0000
   4.000   0.8002   0.01313   0.00659  -0.0751   0.6142   1.0000
   4.500   0.8506   0.01336   0.00687  -0.0739   0.5992   1.0000
   5.000   0.9008   0.01355   0.00714  -0.0727   0.5828   1.0000
   5.500   0.9509   0.01366   0.00733  -0.0714   0.5647   1.0000
   6.000   1.0010   0.01373   0.00749  -0.0700   0.5448   1.0000
   6.500   1.0479   0.01381   0.00774  -0.0681   0.5201   1.0000
   7.000   1.0921   0.01386   0.00791  -0.0656   0.4848   1.0000
   7.500   1.1304   0.01416   0.00820  -0.0622   0.4267   1.0000
   8.000   1.1583   0.01525   0.00898  -0.0575   0.3344   1.0000
   8.500   1.1652   0.01769   0.01073  -0.0504   0.2171   1.0000
   9.000   1.1675   0.02019   0.01277  -0.0429   0.1376   1.0000
   9.500   1.1627   0.02326   0.01543  -0.0355   0.0723   1.0000
  10.000   1.1473   0.02779   0.01972  -0.0286   0.0352   1.0000
  10.500   1.1413   0.03235   0.02439  -0.0244   0.0289   1.0000
  11.000   1.1498   0.03619   0.02846  -0.0217   0.0259   1.0000
  11.500   1.1560   0.04045   0.03282  -0.0196   0.0230   1.0000
  12.000   1.1646   0.04493   0.03742  -0.0169   0.0215   1.0000
  12.500   1.1857   0.04861   0.04134  -0.0148   0.0205   1.0000
  13.000   1.2095   0.05273   0.04578  -0.0126   0.0199   1.0000
  13.500   1.2256   0.05804   0.05151  -0.0109   0.0196   1.0000
  14.000   1.2253   0.06513   0.05910  -0.0100   0.0196   1.0000
  14.500   1.2090   0.07387   0.06837  -0.0105   0.0198   1.0000
  15.000   1.1823   0.08411   0.07909  -0.0129   0.0199   1.0000
  15.500   1.1478   0.09649   0.09192  -0.0175   0.0204   1.0000
  16.000   1.1087   0.11102   0.10686  -0.0248   0.0208   1.0000
  16.500   1.0678   0.12783   0.12400  -0.0346   0.0213   1.0000
  18.000 NaN      NaN       NaN       NaN        0.0373   0.9113
