  
       XFOIL         Version 6.96
  
 Calculated polar for: E230  (9.96%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6675   0.01235   0.00549   0.0309   1.0000   0.2683
  -4.500  -0.6240   0.01134   0.00488   0.0328   1.0000   0.3699
  -4.000  -0.5849   0.01048   0.00443   0.0358   1.0000   0.4730
  -3.500  -0.5525   0.00985   0.00411   0.0402   1.0000   0.5559
  -3.000  -0.5233   0.00938   0.00394   0.0452   1.0000   0.6380
  -2.500  -0.4475   0.00906   0.00394   0.0411   0.9852   0.7364
  -2.000  -0.3591   0.00897   0.00402   0.0352   0.9689   0.8154
  -1.500  -0.2705   0.00915   0.00424   0.0297   0.9492   0.8694
  -1.000  -0.1941   0.00953   0.00455   0.0271   0.9214   0.9040
  -0.500  -0.1203   0.00997   0.00488   0.0252   0.8901   0.9260
   0.000  -0.0495   0.01031   0.00511   0.0235   0.8549   0.9469
   0.500   0.0291   0.01050   0.00518   0.0198   0.8163   0.9645
   1.000   0.1079   0.01052   0.00508   0.0156   0.7719   0.9827
   1.500   0.1924   0.01025   0.00469   0.0098   0.7192   0.9977
   2.000   0.2415   0.01013   0.00442   0.0108   0.6668   1.0000
   2.500   0.2857   0.01014   0.00428   0.0129   0.6105   1.0000
   3.000   0.3315   0.01027   0.00427   0.0147   0.5498   1.0000
   3.500   0.3786   0.01054   0.00436   0.0163   0.4826   1.0000
   4.000   0.4262   0.01095   0.00455   0.0176   0.3982   1.0000
   4.500   0.4739   0.01162   0.00489   0.0186   0.2973   1.0000
   5.000   0.5210   0.01257   0.00546   0.0194   0.1946   1.0000
   5.500   0.5656   0.01440   0.00663   0.0204   0.0679   1.0000
   6.000   0.6082   0.01666   0.00885   0.0223   0.0391   1.0000
   6.500   0.6476   0.01903   0.01126   0.0247   0.0335   1.0000
   7.000   0.6888   0.02117   0.01361   0.0272   0.0308   1.0000
   7.500   0.7288   0.02410   0.01681   0.0299   0.0295   1.0000
   8.000   0.7657   0.02814   0.02135   0.0328   0.0293   1.0000
   8.500   0.7904   0.03431   0.02840   0.0365   0.0307   1.0000
   9.000   0.7992   0.04153   0.03637   0.0404   0.0320   1.0000
   9.500   0.7910   0.04895   0.04439   0.0441   0.0326   1.0000
