  
       XFOIL         Version 6.96
  
 Calculated polar for: E476                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5117   0.01379   0.00754  -0.0135   0.8957   0.5282
  -4.500  -0.4635   0.01368   0.00739  -0.0118   0.8809   0.5563
  -4.000  -0.4148   0.01360   0.00729  -0.0101   0.8662   0.5827
  -3.500  -0.3645   0.01357   0.00727  -0.0086   0.8516   0.6067
  -3.000  -0.3145   0.01355   0.00722  -0.0070   0.8369   0.6305
  -2.500  -0.2627   0.01358   0.00725  -0.0057   0.8222   0.6519
  -2.000  -0.2117   0.01359   0.00722  -0.0044   0.8073   0.6734
  -1.500  -0.1583   0.01365   0.00729  -0.0033   0.7924   0.6917
  -1.000  -0.1053   0.01371   0.00734  -0.0022   0.7773   0.7100
  -0.500  -0.0524   0.01373   0.00734  -0.0011   0.7618   0.7280
   0.000   0.0000   0.01372   0.00729   0.0000   0.7459   0.7459
   0.500   0.0525   0.01373   0.00734   0.0011   0.7281   0.7618
   1.000   0.1053   0.01371   0.00734   0.0022   0.7100   0.7773
   1.500   0.1583   0.01365   0.00729   0.0033   0.6917   0.7924
   2.000   0.2117   0.01359   0.00722   0.0044   0.6734   0.8073
   2.500   0.2627   0.01358   0.00725   0.0057   0.6520   0.8222
   3.000   0.3145   0.01355   0.00722   0.0070   0.6305   0.8369
   3.500   0.3645   0.01357   0.00727   0.0085   0.6067   0.8516
   4.000   0.4148   0.01360   0.00729   0.0101   0.5827   0.8662
   4.500   0.4635   0.01367   0.00739   0.0118   0.5563   0.8809
   5.000   0.5117   0.01379   0.00754   0.0135   0.5282   0.8957
   5.500   0.5607   0.01397   0.00773   0.0151   0.4983   0.9105
   6.000   0.6120   0.01424   0.00799   0.0160   0.4663   0.9251
   6.500   0.6666   0.01462   0.00842   0.0159   0.4295   0.9393
   7.000   0.7283   0.01519   0.00896   0.0142   0.3890   0.9518
   7.500   0.7981   0.01597   0.00971   0.0103   0.3411   0.9617
   8.000   0.8626   0.01694   0.01058   0.0071   0.2919   0.9739
   8.500   0.9260   0.01818   0.01173   0.0034   0.2400   0.9875
   9.000   0.9795   0.01962   0.01302   0.0009   0.1923   1.0000
   9.500   0.9328   0.01973   0.01310   0.0175   0.1820   1.0000
  10.000   0.9310   0.02109   0.01431   0.0254   0.1582   1.0000
  10.500   0.9398   0.02298   0.01610   0.0305   0.1338   1.0000
  11.000   0.9514   0.02519   0.01833   0.0344   0.1120   1.0000
  11.500   0.9601   0.02791   0.02099   0.0379   0.0946   1.0000
  12.000   0.9674   0.03104   0.02408   0.0408   0.0802   1.0000
  12.500   0.9764   0.03432   0.02744   0.0430   0.0689   1.0000
  13.000   0.9846   0.03794   0.03116   0.0448   0.0598   1.0000
  13.500   0.9907   0.04197   0.03524   0.0463   0.0528   1.0000
  14.000   0.9976   0.04610   0.03955   0.0469   0.0469   1.0000
  14.500   1.0026   0.05077   0.04432   0.0476   0.0420   1.0000
  15.000   1.0061   0.05583   0.04961   0.0471   0.0381   1.0000
  15.500   1.0083   0.06126   0.05507   0.0469   0.0342   1.0000
  16.000   1.0034   0.06804   0.06219   0.0452   0.0320   1.0000
  16.500   0.9950   0.07568   0.07014   0.0427   0.0299   1.0000
  17.000   0.9859   0.08373   0.07838   0.0394   0.0279   1.0000
  17.500   0.9750   0.09238   0.08720   0.0359   0.0264   1.0000
  18.000   0.9389   0.10591   0.10112   0.0294   0.0256   1.0000
