  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER 818 HYDROFOIL AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.500  -0.2485   0.01791   0.00995  -0.0705   0.9860   0.0137
  -3.000  -0.1745   0.01597   0.00843  -0.0755   0.9834   0.2018
  -2.500  -0.1099   0.01568   0.00922  -0.0785   0.9796   0.5006
  -2.000  -0.0527   0.01587   0.00929  -0.0794   0.9735   0.5456
  -1.500   0.0147   0.01630   0.00974  -0.0824   0.9689   0.5832
  -1.000   0.0683   0.01644   0.00997  -0.0826   0.9613   0.6181
  -0.500   0.1374   0.01687   0.01046  -0.0858   0.9561   0.6566
   0.000   0.1907   0.01706   0.01079  -0.0860   0.9470   0.6942
   0.500   0.2523   0.01733   0.01125  -0.0875   0.9389   0.7343
   1.000   0.3199   0.01752   0.01167  -0.0901   0.9311   0.7767
   1.500   0.3753   0.01760   0.01203  -0.0901   0.9199   0.8233
   2.000   0.4309   0.01748   0.01235  -0.0896   0.9079   0.8810
   2.500   0.5027   0.01704   0.01227  -0.0925   0.8951   1.0000
   3.000   0.6855   0.01023   0.00602  -0.1078   0.8241   1.0000
   3.500   0.6814   0.01526   0.00691  -0.0949   0.0263   1.0000
   4.000   0.7258   0.01751   0.00939  -0.0924   0.0218   1.0000
   4.500   0.7792   0.02106   0.01303  -0.0910   0.0212   1.0000
   5.000   0.8396   0.02570   0.01798  -0.0914   0.0136   1.0000
   5.500   0.8998   0.03120   0.02403  -0.0901   0.0167   1.0000
   6.000   0.9581   0.04112   0.03523  -0.0841   0.0425   1.0000
   6.500   0.9814   0.04813   0.04294  -0.0792   0.0352   1.0000
   7.000   1.0016   0.05465   0.05013  -0.0743   0.0305   1.0000
   7.500   1.0165   0.06319   0.05882  -0.0715   0.0280   1.0000
