  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER E837 HYDROFOIL AIRFOIL                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5353   0.01462   0.00878  -0.0036   0.8375   0.6090
  -4.500  -0.4829   0.01493   0.00895  -0.0027   0.8254   0.6283
  -4.000  -0.4303   0.01513   0.00899  -0.0020   0.8138   0.6448
  -3.500  -0.3765   0.01532   0.00907  -0.0015   0.8033   0.6591
  -3.000  -0.3221   0.01547   0.00909  -0.0010   0.7941   0.6717
  -2.500  -0.2681   0.01553   0.00909  -0.0008   0.7830   0.6831
  -2.000  -0.2149   0.01555   0.00903  -0.0005   0.7732   0.6947
  -1.500  -0.1618   0.01549   0.00882  -0.0002   0.7647   0.7064
  -1.000  -0.1074   0.01555   0.00891  -0.0002   0.7540   0.7157
  -0.500  -0.0537   0.01555   0.00889  -0.0001   0.7445   0.7251
   0.000   0.0000   0.01546   0.00872   0.0000   0.7359   0.7359
   0.500   0.0538   0.01555   0.00889   0.0001   0.7252   0.7445
   1.000   0.1074   0.01555   0.00891   0.0002   0.7157   0.7539
   1.500   0.1618   0.01549   0.00882   0.0002   0.7064   0.7647
   2.000   0.2150   0.01555   0.00903   0.0005   0.6947   0.7732
   2.500   0.2681   0.01553   0.00909   0.0007   0.6831   0.7830
   3.000   0.3221   0.01547   0.00909   0.0009   0.6716   0.7941
   3.500   0.3766   0.01532   0.00907   0.0015   0.6591   0.8033
   4.000   0.4303   0.01513   0.00899   0.0020   0.6448   0.8138
   4.500   0.4829   0.01493   0.00894   0.0027   0.6283   0.8254
   5.000   0.5353   0.01461   0.00878   0.0036   0.6090   0.8375
   5.500   0.5886   0.01421   0.00850   0.0047   0.5884   0.8494
   6.000   0.6370   0.01383   0.00831   0.0065   0.5588   0.8627
   6.500   0.6820   0.01357   0.00823   0.0089   0.5182   0.8781
   7.000   0.7191   0.01360   0.00821   0.0125   0.4448   0.8966
   7.500   0.7452   0.01444   0.00875   0.0175   0.3422   0.9191
   8.000   0.7690   0.01645   0.01022   0.0210   0.2165   0.9502
   8.500   0.8056   0.02033   0.01330   0.0184   0.0823   0.9901
   9.000   0.7990   0.02258   0.01533   0.0246   0.0583   1.0000
   9.500   0.8078   0.02525   0.01797   0.0285   0.0462   1.0000
  10.000   0.8189   0.02834   0.02105   0.0319   0.0384   1.0000
  10.500   0.8384   0.03107   0.02379   0.0342   0.0320   1.0000
  11.000   0.8684   0.03414   0.02702   0.0366   0.0282   1.0000
  11.500   0.9015   0.03727   0.03034   0.0384   0.0256   1.0000
  12.000   0.9383   0.04268   0.03594   0.0395   0.0229   1.0000
  12.500   0.9403   0.04658   0.04028   0.0418   0.0221   1.0000
  13.000   0.9353   0.05249   0.04669   0.0435   0.0217   1.0000
  13.500   0.9188   0.05968   0.05437   0.0441   0.0218   1.0000
  14.000   0.8893   0.06849   0.06363   0.0430   0.0218   1.0000
  14.500   0.8534   0.07891   0.07445   0.0396   0.0221   1.0000
  15.000   0.8110   0.09204   0.08789   0.0333   0.0224   1.0000
  15.500   0.7762   0.10638   0.10248   0.0258   0.0231   1.0000
  16.000   0.4686   0.15532   0.15225  -0.0039   0.0605   1.0000
  16.500   0.4730   0.16126   0.15820  -0.0078   0.0543   1.0000
  17.500   0.4838   0.17489   0.17183  -0.0154   0.0496   1.0000
  18.000   0.4864   0.18140   0.17834  -0.0201   0.0450   1.0000
