  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER E853 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1898   0.01718   0.00995  -0.0973   0.9329   0.0343
  -4.500  -0.1189   0.01462   0.00752  -0.1014   0.9230   0.0951
  -4.000  -0.0399   0.01198   0.00626  -0.1081   0.9174   0.4658
  -3.500   0.0288   0.01201   0.00613  -0.1103   0.9054   0.5383
  -3.000   0.0957   0.01195   0.00592  -0.1121   0.8929   0.5752
  -2.500   0.1599   0.01197   0.00579  -0.1134   0.8797   0.6095
  -2.000   0.2207   0.01193   0.00566  -0.1141   0.8661   0.6343
  -1.500   0.2804   0.01185   0.00546  -0.1150   0.8525   0.6518
  -1.000   0.3380   0.01182   0.00535  -0.1154   0.8394   0.6676
  -0.500   0.3945   0.01184   0.00534  -0.1157   0.8266   0.6840
   0.000   0.4504   0.01191   0.00540  -0.1158   0.8146   0.7019
   0.500   0.5063   0.01200   0.00550  -0.1160   0.8032   0.7215
   1.000   0.5620   0.01208   0.00567  -0.1160   0.7926   0.7426
   1.500   0.6153   0.01221   0.00591  -0.1156   0.7812   0.7675
   2.000   0.6662   0.01235   0.00627  -0.1147   0.7694   0.7975
   2.500   0.7148   0.01245   0.00659  -0.1130   0.7571   0.8358
   3.000   0.7583   0.01238   0.00679  -0.1099   0.7433   0.8943
   3.500   0.8225   0.01220   0.00673  -0.1114   0.7264   1.0000
   4.000   0.8783   0.01215   0.00671  -0.1112   0.7009   1.0000
   4.500   0.9313   0.01217   0.00680  -0.1103   0.6757   1.0000
   5.000   0.9821   0.01218   0.00694  -0.1088   0.6463   1.0000
   5.500   1.0281   0.01219   0.00705  -0.1063   0.6040   1.0000
   6.000   1.0657   0.01242   0.00722  -0.1021   0.5204   1.0000
   6.500   1.0722   0.01468   0.00830  -0.0931   0.3028   1.0000
   7.000   1.0721   0.01810   0.01057  -0.0845   0.1266   1.0000
   7.500   1.0809   0.02085   0.01298  -0.0772   0.0679   1.0000
   8.000   1.0949   0.02356   0.01566  -0.0710   0.0401   1.0000
   8.500   1.1065   0.02692   0.01903  -0.0651   0.0251   1.0000
   9.000   1.1296   0.02998   0.02225  -0.0610   0.0179   1.0000
   9.500   1.1713   0.03573   0.02831  -0.0592   0.0149   1.0000
  10.000   1.2113   0.04175   0.03500  -0.0573   0.0143   1.0000
  10.500   1.2214   0.04884   0.04287  -0.0526   0.0144   1.0000
  11.000   1.2068   0.05654   0.05121  -0.0469   0.0148   1.0000
