  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER EA 6(-1)-012 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4833   0.01562   0.00754  -0.0197   0.9493   0.1054
  -4.500  -0.4230   0.01452   0.00648  -0.0211   0.9326   0.1179
  -4.000  -0.3756   0.01315   0.00553  -0.0202   0.9160   0.1774
  -3.500  -0.3509   0.01084   0.00506  -0.0154   0.8990   0.5365
  -3.000  -0.3024   0.01099   0.00541  -0.0131   0.8863   0.6430
  -2.500  -0.2503   0.01140   0.00582  -0.0114   0.8757   0.6870
  -2.000  -0.1995   0.01195   0.00633  -0.0093   0.8638   0.7226
  -1.500  -0.1497   0.01255   0.00694  -0.0068   0.8506   0.7527
  -1.000  -0.1005   0.01307   0.00754  -0.0039   0.8384   0.7793
  -0.500  -0.0518   0.01335   0.00782  -0.0013   0.8266   0.8020
   0.000   0.0000   0.01337   0.00779   0.0000   0.8150   0.8151
   0.500   0.0518   0.01335   0.00782   0.0013   0.8021   0.8266
   1.000   0.1005   0.01307   0.00754   0.0039   0.7794   0.8384
   1.500   0.1497   0.01255   0.00694   0.0068   0.7527   0.8506
   2.000   0.1995   0.01196   0.00633   0.0093   0.7227   0.8637
   2.500   0.2503   0.01140   0.00582   0.0114   0.6869   0.8757
   3.000   0.3024   0.01100   0.00541   0.0131   0.6432   0.8863
   3.500   0.3509   0.01084   0.00506   0.0154   0.5363   0.8990
   4.000   0.3756   0.01315   0.00553   0.0202   0.1772   0.9160
   4.500   0.4231   0.01452   0.00649   0.0211   0.1180   0.9326
   5.000   0.4833   0.01562   0.00754   0.0196   0.1053   0.9493
   5.500   0.5523   0.01695   0.00889   0.0165   0.0982   0.9654
   6.000   0.6241   0.01871   0.01051   0.0124   0.0910   0.9808
   6.500   0.7004   0.02043   0.01235   0.0077   0.0873   0.9957
   7.000   0.7374   0.02184   0.01383   0.0101   0.0849   1.0000
   7.500   0.7820   0.02365   0.01569   0.0116   0.0824   1.0000
   8.000   0.8300   0.02693   0.01897   0.0120   0.0791   1.0000
   8.500   0.8736   0.02935   0.02181   0.0136   0.0777   1.0000
   9.000   0.9129   0.03274   0.02571   0.0155   0.0763   1.0000
   9.500   0.9463   0.03642   0.02987   0.0176   0.0739   1.0000
  10.000   0.9687   0.04152   0.03553   0.0204   0.0730   1.0000
  10.500   1.0069   0.04489   0.03887   0.0212   0.0702   1.0000
  11.000   1.0078   0.05305   0.04751   0.0240   0.0691   1.0000
  11.500   0.9852   0.06006   0.05510   0.0282   0.0689   1.0000
  12.000   0.7017   0.10798   0.10410   0.0078   0.1045   1.0000
  12.500   0.6434   0.12629   0.12229  -0.0075   0.0953   1.0000
  13.000   0.6794   0.12952   0.12556  -0.0048   0.0916   1.0000
  13.500   0.6492   0.14329   0.13927  -0.0153   0.0838   1.0000
  14.000   0.6794   0.14774   0.14375  -0.0141   0.0802   1.0000
  14.500   0.6610   0.15960   0.15557  -0.0230   0.0739   1.0000
  15.000   0.6894   0.16464   0.16065  -0.0227   0.0701   1.0000
  15.500   0.6787   0.17528   0.17124  -0.0307   0.0655   1.0000
  16.000   0.7003   0.18098   0.17697  -0.0322   0.0611   1.0000
  16.500   0.7224   0.18958   0.18559  -0.0335   0.0596   1.0000
  17.000   0.7147   0.19734   0.19330  -0.0423   0.0540   1.0000
  17.500   0.7420   0.20317   0.19916  -0.0426   0.0515   1.0000
  18.000   0.7551   0.21243   0.20843  -0.0465   0.0507   1.0000
